,AP_T05,AP_T07,AP_T0GE,BALD,BLAC,BORD,BUCK_I,BUCK_R,CAIR,COOM,COPE,HARE,KIMR,L4DV,L6DV,MJ,MMIN,NANS,PLU1,PLU2,RV,SCHU,STAR,VETO,WOOD,YOUN,AP_K2,AP_K3,AP_KRP,DODG_C,COND
AP_T05,0.0,16.666666,83.33333,16.666666,16.666666,16.666666,16.666666,16.666666,16.666666,16.666666,16.666666,16.666666,16.666666,0.0,8.333333,25.0,16.666666,16.666666,8.333333,16.666666,16.666666,16.666666,16.666666,41.666668,16.666666,16.666666,8.333333,25.0,16.666666,16.666666,69.44444
AP_T07,16.666666,0.0,83.33333,16.666666,16.666666,16.666666,16.666666,16.666666,16.666666,16.666666,16.666666,16.666666,16.666666,16.666666,16.666666,25.0,16.666666,16.666666,8.333333,16.666666,16.666666,16.666666,16.666666,41.666668,16.666666,16.666666,25.0,25.0,16.666666,16.666666,69.44444
AP_T0GE,83.33333,83.33333,0.0,83.33333,83.33333,83.33333,83.33333,83.33333,83.33333,83.33333,83.33333,83.33333,83.33333,83.33333,83.33333,83.33333,83.33333,83.33333,83.33333,83.33333,83.33333,83.33333,83.33333,83.33333,83.33333,83.33333,83.33333,83.33333,83.33333,83.33333,13.888888
BALD,16.666666,16.666666,83.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.666666,16.666666,8.333333,0.0,0.0,8.333333,0.0,0.0,0.0,0.0,33.333332,0.0,0.0,8.333333,8.333333,0.0,0.0,69.44444
BLAC,16.666666,16.666666,83.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.666666,16.666666,8.333333,0.0,0.0,8.333333,0.0,0.0,0.0,0.0,33.333332,0.0,0.0,8.333333,8.333333,0.0,0.0,69.44444
BORD,16.666666,16.666666,83.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.666666,16.666666,8.333333,0.0,0.0,8.333333,0.0,0.0,0.0,0.0,33.333332,0.0,0.0,8.333333,8.333333,0.0,0.0,69.44444
BUCK_I,16.666666,16.666666,83.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.666666,16.666666,8.333333,0.0,0.0,8.333333,0.0,0.0,0.0,0.0,33.333332,0.0,0.0,8.333333,8.333333,0.0,0.0,69.44444
BUCK_R,16.666666,16.666666,83.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.666666,16.666666,8.333333,0.0,0.0,8.333333,0.0,0.0,0.0,0.0,33.333332,0.0,0.0,8.333333,8.333333,0.0,0.0,69.44444
CAIR,16.666666,16.666666,83.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.666666,16.666666,8.333333,0.0,0.0,8.333333,0.0,0.0,0.0,0.0,33.333332,0.0,0.0,8.333333,8.333333,0.0,0.0,69.44444
COOM,16.666666,16.666666,83.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.666666,16.666666,8.333333,0.0,0.0,8.333333,0.0,0.0,0.0,0.0,33.333332,0.0,0.0,8.333333,8.333333,0.0,0.0,69.44444
