"","cand_A","cand_B"
"58097",3,8
"58098",10,4
"58099",3,5
"58100",6,9
"58101",6,4
"58102",7,9
"58103",7,9
"58104",4,8
"58105",6,3
"58106",5,6
"58107",5,5
"58108",2,7
"58109",5,8
"58110",5,4
"58111",5,5
"58112",5,5
"58113",0,10
"58114",1,9
"58115",7,0
"58116",10,2
"58117",9,3
"58118",7,9
"58119",0,10
"58120",6,3
"58121",7,0
"58122",10,8
"58123",5,4
"58124",5,7
"58125",8,4
"58126",0,6
"58127",10,0
"58128",3,3
"58129",6,6
"58130",8,2
"58131",2,8
"58132",1,9
"58133",4,5
"58134",3,2
"58135",7,6
"58136",5,7
"58137",5,5
"58138",2,10
"58139",9,2
"58140",4,8
"58141",2,7
"58142",0,10
"58143",8,4
"58144",2,8
"58145",4,5
"58146",7,5
"58147",3,7
"58148",6,6
"58149",2,7
"58150",7,1
"58151",5,5
"58152",1,8
"58153",0,8
"58154",1,8
"58155",1,5
"58156",9,1
"58157",5,4
"58158",0,0
"58159",5,8
"58160",2,7
"58161",8,6
"58162",6,1
"58163",8,2
"58164",1,1
"58165",3,8
"58166",6,4
"58167",3,8
"58168",3,9
"58169",2,8
"58170",6,4
"58171",6,4
"58172",10,2
"58173",4,5
"58174",2,8
"58175",7,1
"58176",8,5
"58177",5,8
"58178",4,8
"58179",1,9
"58180",2,8
"58181",1,9
"58182",0,10
"58183",10,0
"58184",10,5
"58185",3,4
"58186",8,3
"58187",4,6
"58188",6,3
"58189",5,7
"58190",5,3
"58191",10,1
"58192",10,0
"58193",5,0
"58194",8,2
"58195",3,1
"58196",8,5
"58197",9,3
"58198",1,6
"58199",5,8
"58200",9,2
"58201",8,6
"58202",7,2
"58203",0,0
"58204",0,10
"58205",6,3
"58206",5,5
"58207",7,4
"58208",2,8
"58209",10,8
"58210",8,5
"58211",4,6
"58212",3,8
"58213",7,6
"58214",5,10
"58215",1,0
"58216",0,10
"58217",4,6
"58218",4,2
"58219",10,3
"58220",10,4
"58221",10,10
"58222",3,8
"58223",7,4
"58224",3,8
"58225",8,7
"58226",10,2
"58227",10,0
"58228",3,9
"58229",4,5
"58230",0,9
"58231",5,9
"58232",3,7
"58233",0,7
"58234",10,0
"58235",5,5
"58236",3,8
"58237",7,5
"58238",2,10
"58239",7,4
"58240",8,4
"58241",7,1
"58242",5,5
"58243",6,3
"58244",8,4
"58245",10,1
"58246",10,0
"58247",2,8
"58248",0,10
"58249",3,10
"58250",7,5
