"","cand_A","cand_B","cand_C","cand_D","cand_E","cand_F","cand_G","cand_H","cand_I"
"10318",7,7,1,2,0,1,0,4,0
"10319",0,0,0,0,0,0,0,0,0
"10322",0,0,0,0,0,0,0,0,0
"10323",9,1,4,0,0,0,0,0,0
"10324",10,10,10,0,10,10,10,0,2
"10326",0,0,10,10,10,0,0,0,0
"10327",1,1,1,5,3,5,8,2,8
"10328",0,0,0,0,0,0,0,0,0
"10331",8,2,9,3,4,2,1,7,7
"10333",0,0,0,0,0,0,0,0,0
"10334",0,0,0,0,0,0,0,8,0
"10335",0,0,10,0,0,0,0,0,10
"10336",0,0,0,0,0,0,0,0,0
"10337",0,0,0,0,0,0,0,0,0
"10338",0,0,0,0,0,0,0,0,0
"10339",0,0,0,10,0,0,0,0,0
"10340",0,0,0,0,0,0,0,0,0
"10341",0,0,0,0,0,0,0,0,0
"10342",0,0,0,0,0,0,0,0,0
"10343",0,0,0,0,0,0,7,0,7
"10344",0,0,0,10,0,10,10,0,10
"10345",8,0,0,0,0,0,0,0,0
"10346",0,0,0,0,0,0,0,0,0
"10347",0,10,0,0,0,0,0,0,0
"10348",0,0,0,0,0,0,0,0,0
"10349",0,0,0,5,5,5,5,0,5
"10351",6,5,0,0,0,0,0,4,0
"10352",0,0,0,0,0,0,0,0,0
"10353",8,8,10,0,0,0,0,0,0
"10354",0,0,0,0,0,0,0,0,0
"10355",0,0,0,0,0,0,0,0,0
"10356",0,0,0,0,0,0,0,0,0
"10357",10,0,0,0,0,0,0,0,0
"10358",0,0,10,0,0,0,0,0,0
"10359",0,0,0,0,0,0,0,0,0
"10360",0,0,0,0,0,0,0,0,0
"10362",0,0,0,0,0,0,0,0,0
"10363",2,4,0,0,0,0,0,0,0
"10364",0,0,0,0,0,0,0,0,0
"10365",0,0,0,0,0,0,0,0,0
"10366",10,10,7,3,4,6,2,10,6
"10369",10,10,8,5,5,5,5,10,5
"10370",0,0,0,0,0,0,0,0,0
"10372",0,0,0,0,0,0,0,0,0
"10373",0,0,0,0,0,0,0,0,0
"10374",6,10,0,0,0,0,0,5,0
"10375",1,1,2,5,2,7,10,1,4
"10376",1,1,3,4,3,6,4,3,6
"10377",3,1,2,1,2,5,1,3,1
"10378",3,3,3,4,4,4,2,3,3
"10379",1,1,1,5,1,8,5,1,5
"10380",1,1,3,4,4,4,4,1,3
"10381",1,1,1,3,3,9,4,1,2
"10382",0,0,0,0,0,8,2,0,3
"10383",1,1,1,5,4,5,4,1,4
"10384",9,9,3,1,3,1,1,9,2
"10385",1,1,1,1,1,2,1,1,1
"10386",2,1,1,3,2,6,2,3,2
"10387",1,1,1,3,3,6,4,1,2
"10388",1,1,8,3,3,2,2,1,3
"10389",0,0,5,7,7,8,7,1,7
"10390",7,6,0,1,0,1,0,1,0
"10391",6,6,2,1,2,2,1,7,2
"10394",9,9,2,1,2,2,1,3,2
"10395",4,4,4,1,4,4,1,4,4
"10396",6,9,1,1,1,1,1,5,1
"10397",5,5,3,3,3,3,2,6,3
"10399",10,7,7,1,1,1,1,10,1
"10400",1,1,1,1,1,1,1,1,1
"10403",1,1,1,8,8,1,1,1,8
"10404",1,1,1,1,1,1,1,1,9
"10405",1,1,4,6,4,8,10,3,6
"10407",7,7,5,0,0,0,0,9,0
"10411",1,1,1,1,1,1,1,1,1
"10413",1,1,1,1,1,1,1,1,1
"10414",1,1,1,1,1,1,1,1,1
"10415",1,1,1,1,1,1,1,1,1
"10416",0,0,0,0,0,0,0,0,0
"10418",1,1,1,3,1,1,5,1,1
"10421",10,4,0,0,3,0,0,6,5
"10422",1,1,1,6,1,7,6,1,1
"10424",1,1,1,1,1,1,1,1,1
"10428",8,5,7,2,4,4,0,8,1
"10429",10,1,1,1,1,1,1,10,1
"10430",1,1,1,10,1,1,1,1,1
"10431",0,0,0,0,0,1,0,0,0
"10433",9,9,6,1,5,2,1,9,2
"10435",10,10,10,1,10,1,1,10,1
"10436",8,1,1,1,1,1,1,8,1
