"","cand_A","cand_B","cand_C","cand_D","cand_E"
"23863",7,1,0,0,0
"23864",5,5,4,6,4
"23865",0,5,7,5,5
"23866",8,2,2,2,1
"23867",8,5,3,5,5
"23868",10,0,0,0,0
"23869",3,4,2,5,2
"23871",8,5,2,6,2
"23872",6,6,1,3,1
"23873",1,5,1,0,3
"23874",3,2,9,3,5
"23875",0,3,6,6,7
"23876",0,6,7,1,8
"23877",0,7,8,0,10
"23878",0,0,10,0,4
"23879",2,4,8,5,5
"23880",0,2,8,5,5
"23881",4,1,3,1,1
"23885",8,2,3,2,0
"23886",0,0,5,4,7
"23887",3,3,1,2,1
"23888",6,2,2,2,2
"23889",10,0,2,1,1
"23891",10,0,0,0,0
"23893",3,4,10,6,2
"23894",9,0,0,0,0
"23895",2,9,3,3,4
"23896",0,0,5,5,5
"23897",2,1,0,3,1
"23898",8,0,0,2,0
"23900",5,3,2,2,0
"23901",9,6,6,5,4
"23902",8,0,0,0,0
"23903",2,3,3,3,3
