"","cand_A","cand_B","cand_C","cand_D","cand_E"
"23030",2,4,1,9,4
"23031",1,1,1,1,1
"23032",8,8,3,4,4
"23033",0,7,1,3,0
"23034",3,8,4,6,6
"23035",0,0,0,0,0
"23036",0,8,1,4,2
"23037",0,5,1,1,1
"23038",10,0,0,0,0
"23039",2,3,6,6,0
"23040",0,8,0,0,0
"23041",1,1,6,5,4
"23042",0,3,2,8,2
"23043",10,2,2,2,2
"23044",0,0,0,0,0
"23045",6,3,1,1,1
"23046",0,0,0,0,0
"23047",5,10,0,1,0
"23049",1,1,1,1,1
"23050",10,0,0,2,0
"23051",10,5,0,0,0
"23052",10,1,1,1,1
"23053",0,1,3,3,5
"23054",10,0,0,0,0
"23055",10,0,0,0,0
"23056",9,4,0,0,0
"23057",3,3,0,0,0
"23058",6,3,1,1,2
"23059",5,10,7,5,0
"23060",5,3,3,2,3
"23061",0,6,0,3,2
"23062",2,9,2,0,0
"23063",4,7,4,5,4
"23064",0,10,0,0,0
"23065",4,3,6,3,2
"23066",10,0,0,0,0
"23068",2,2,5,5,5
"23069",0,10,2,4,3
"23070",6,5,3,4,4
"23071",10,1,0,0,0
"23072",2,4,2,9,4
"23073",7,4,0,2,0
"23074",8,6,3,3,3
"23075",3,4,5,2,3
"23076",0,10,0,0,0
"23077",8,0,0,0,0
"23078",2,2,2,2,2
"23079",0,7,2,1,2
"23080",7,5,1,1,1
"23081",1,6,5,2,3
"23082",10,7,3,2,3
"23083",2,2,6,8,5
"23084",0,1,2,2,7
"23085",3,2,3,5,3
"23086",8,3,1,2,0
"23087",0,0,2,8,2
"23088",0,0,0,0,0
"23089",0,10,0,5,2
"23090",5,5,0,0,0
"23091",0,8,6,1,6
"23092",0,0,5,0,9
"23093",0,3,6,3,4
"23094",0,0,3,0,10
"23095",0,0,5,5,10
"23096",10,0,0,2,1
"23097",0,0,4,0,10
"23098",0,0,0,10,5
"23099",0,0,5,0,10
"23100",5,10,0,0,0
"23101",2,3,3,1,4
"23102",10,6,2,2,6
"23103",6,5,2,3,2
"23104",0,10,3,3,2
"23105",8,4,8,3,6
"23106",4,3,3,8,4
"23107",0,10,4,0,4
"23108",0,7,3,5,5
"23109",2,4,3,7,3
"23110",0,6,4,3,4
"23111",7,4,5,2,4
"23112",5,3,2,4,2
"23113",5,5,3,7,3
"23114",8,5,5,5,5
"23115",0,5,0,0,0
"23116",1,5,3,8,3
"23117",0,10,0,0,0
"23118",0,4,5,7,6
"23119",2,2,0,2,1
"23120",1,4,5,7,6
"23121",6,3,3,5,5
"23122",0,0,4,0,10
"23123",10,3,0,1,0
"23124",5,3,1,1,0
"23125",0,0,0,0,0
"23126",0,0,0,0,0
"23127",7,1,0,1,0
"23128",5,5,5,5,5
"23129",5,4,3,2,1
"23130",2,7,4,6,7
"23131",0,10,0,0,0
"23132",0,0,10,0,10
"23134",1,4,2,5,3
"23135",0,6,2,3,3
"23136",0,6,4,5,4
"23137",0,0,4,3,10
"23138",0,1,6,3,10
"23139",0,3,7,2,7
"23140",7,6,4,5,4
"23141",5,5,5,5,5
"23142",4,0,2,4,2
"23143",3,1,2,2,1
"23144",10,5,2,2,2
"23145",7,3,5,5,5
"23146",8,0,0,0,0
"23147",2,4,6,3,5
"23148",1,1,5,1,9
"23149",5,4,1,0,0
"23150",1,3,4,7,5
"23151",5,10,2,5,0
"23152",0,0,5,5,5
"23153",5,8,1,5,1
"23154",1,5,3,7,2
"23155",1,2,2,2,3
"23156",9,0,0,0,0
"23157",10,0,0,3,0
"23158",8,2,3,5,4
"23159",1,9,2,3,0
"23161",0,9,1,1,2
"23162",0,1,1,1,1
"23163",5,7,5,7,5
"23164",8,2,1,2,3
"23165",10,0,0,0,0
"23166",0,0,0,7,0
"23167",10,6,2,2,0
