"","cand_A","cand_B","cand_C","cand_D","cand_E"
"56040",5,5,3,2,3
"56042",6,5,4,4,4
"56043",3,5,3,2,4
"56045",1,8,1,1,0
"56046",5,5,8,5,5
"56047",6,6,8,5,3
"56048",4,4,4,3,3
"56049",6,1,5,7,1
"56050",2,2,2,1,2
"56051",9,1,2,2,2
"56052",0,0,0,7,5
"56053",4,4,4,2,4
"56054",6,6,7,7,7
"56055",5,5,4,2,3
"56056",4,4,3,3,4
"56057",5,5,6,5,5
"56058",5,5,5,5,5
"56060",7,2,5,5,3
"56061",4,4,7,7,5
"56062",1,2,9,5,2
"56063",6,6,4,7,4
"56065",3,4,4,1,3
"56066",8,0,7,6,5
"56067",5,5,5,5,5
"56068",3,3,4,3,2
"56069",0,8,6,1,5
"56070",3,5,8,6,6
"56071",7,2,3,7,2
"56072",8,0,0,3,3
"56073",7,3,4,4,4
"56074",5,7,8,8,5
"56075",8,6,4,5,5
"56076",7,0,0,3,0
"56077",10,5,5,5,5
"56079",6,3,3,7,3
"56080",0,6,4,1,1
"56081",6,3,4,4,4
"56082",3,5,2,3,4
"56084",5,7,6,7,5
"56085",0,6,2,0,2
"56086",6,6,7,6,6
"56087",5,5,5,5,5
"56088",7,0,4,2,1
"56089",7,4,5,6,4
"56090",5,8,8,5,8
"56091",8,5,3,3,4
"56092",7,10,7,7,7
"56093",7,5,5,6,4
"56094",6,4,5,4,5
"56096",8,8,8,8,8
"56097",7,0,5,7,3
"56098",4,8,5,6,6
"56099",0,0,0,0,0
"56100",8,2,6,5,2
"56101",4,1,5,8,0
"56103",0,0,10,0,0
"56104",7,5,7,5,4
"56105",4,4,2,7,6
"56106",1,2,1,0,0
"56107",7,0,5,5,3
"56108",3,7,4,4,5
"56109",8,1,6,5,3
"56110",5,5,5,5,5
"56111",7,2,6,6,2
"56113",10,0,4,5,3
"56114",7,5,5,5,5
"56115",1,5,2,2,3
"56116",10,0,3,3,0
"56117",8,0,1,8,0
"56118",9,3,7,7,6
"56119",6,7,8,7,5
"56121",6,3,5,6,5
"56122",7,5,6,6,0
"56123",0,8,5,1,6
"56124",8,3,3,7,4
"56125",4,6,0,0,0
"56126",4,6,4,2,2
"56127",10,5,1,2,3
"56128",7,0,10,9,1
"56130",8,2,7,5,3
"56131",5,0,8,8,2
"56132",5,5,5,5,5
"56133",3,5,6,5,0
"56135",3,5,6,5,5
"56136",8,3,7,6,4
"56137",10,2,4,6,5
"56138",5,0,10,1,2
"56139",8,4,3,3,3
"56140",7,4,5,5,5
"56141",5,2,2,5,4
"56142",9,1,1,7,3
"56143",10,2,3,4,1
"56144",7,4,5,5,3
"56145",3,10,3,3,3
"56146",4,5,6,3,6
"56147",0,10,1,1,2
"56148",2,2,1,1,1
"56149",2,9,1,1,2
"56150",5,8,8,3,7
"56151",4,5,1,2,3
"56152",5,0,0,0,0
"56153",7,7,6,6,5
"56154",6,5,5,7,6
"56155",9,5,5,2,2
"56156",7,5,5,5,5
"56157",8,6,3,2,3
"56158",3,5,9,5,6
"56159",7,2,5,5,3
"56160",4,6,4,3,5
"56161",4,4,4,3,3
"56162",3,2,4,6,3
"56164",0,10,2,5,2
"56166",6,7,8,7,3
"56167",4,5,0,0,0
"56168",4,4,5,5,4
"56169",7,4,8,5,5
"56170",10,1,3,3,2
"56171",9,1,7,10,7
"56172",7,3,4,7,5
"56173",10,0,8,8,5
"56174",4,6,3,3,5
"56175",5,9,5,5,4
"56176",2,2,2,2,2
"56178",7,5,4,6,3
"56179",6,5,7,7,5
"56180",5,5,5,5,5
"56181",9,2,3,7,3
"56182",5,5,5,5,5
"56183",8,5,6,4,2
"56184",8,3,5,5,5
"56185",5,5,5,5,5
"56186",8,1,0,6,1
"56187",7,3,1,7,5
"56188",4,6,2,1,2
"56189",8,6,5,4,4
"56190",9,10,9,10,10
"56191",10,0,0,0,0
"56192",7,6,1,2,4
"56193",0,8,0,0,0
"56194",5,5,5,5,5
"56195",6,0,6,8,0
"56196",5,5,6,5,2
"56197",5,2,7,7,5
"56198",10,2,6,10,1
"56199",4,7,5,3,7
"56200",6,2,3,3,4
"56201",1,5,8,3,3
"56203",4,7,6,2,5
"56204",5,5,5,5,5
"56205",3,4,3,3,3
"56206",7,3,8,8,6
"56207",6,5,4,5,6
"56208",5,5,6,7,5
"56211",7,5,3,5,3
"56212",5,5,5,6,5
"56213",8,3,7,8,2
"56214",10,0,0,5,0
"56215",2,8,4,2,5
"56217",3,5,0,1,2
"56218",4,3,2,3,3
"56219",8,5,7,8,7
"56220",0,6,7,0,8
"56221",6,5,5,6,5
"56222",8,0,3,5,5
"56223",0,10,5,5,5
"56224",8,3,5,3,5
"56225",10,0,5,9,1
"56226",7,6,6,6,6
"56227",10,5,8,2,3
"56228",3,7,5,4,4
"56229",5,3,3,5,5
"56230",5,10,4,1,2
"56231",1,10,9,3,3
"56232",0,5,0,0,3
"56233",2,8,2,2,4
"56234",4,4,5,4,4
"56235",5,5,5,4,4
"56236",9,1,7,5,5
"56237",0,0,0,0,0
"56238",6,0,4,1,1
"56239",6,3,3,5,0
"56240",8,0,7,8,3
"56241",1,10,0,0,0
"56242",6,3,4,4,5
"56243",10,5,5,5,3
"56244",6,6,8,7,3
"56245",8,5,10,8,7
"56246",9,0,7,9,7
"56247",8,7,3,5,6
"56248",7,4,6,6,5
"56249",6,5,5,5,5
"56250",6,6,5,5,2
"56251",8,5,5,4,3
"56252",5,1,2,3,2
"56254",2,4,4,3,3
"56255",7,3,6,5,3
"56256",6,2,1,7,3
"56257",5,5,0,0,0
"56258",0,0,0,5,0
"56259",0,6,1,1,2
"56260",6,2,0,4,3
"56261",1,5,1,0,2
"56262",2,6,3,2,1
"56263",5,4,6,7,5
"56264",7,5,7,7,6
"56265",5,5,7,6,5
"56266",5,4,6,6,4
"56268",4,4,7,5,4
"56269",10,0,2,10,1
"56270",6,5,6,6,4
"56271",4,8,5,6,3
"56272",6,7,7,4,4
"56273",9,6,6,7,6
"56275",9,6,7,4,3
"56276",8,3,6,7,5
"56277",1,3,3,3,3
"56278",5,0,0,3,0
"56279",3,3,3,3,3
"56280",5,3,4,4,2
"56281",5,5,5,5,5
"56282",7,3,4,5,5
"56283",6,0,6,3,2
"56285",5,5,3,3,3
"56286",7,3,5,5,1
"56287",5,5,1,3,5
"56288",10,0,2,2,0
"56289",5,5,3,4,4
"56290",1,5,5,2,5
"56291",1,2,4,3,3
"56292",5,10,7,5,6
"56293",5,5,3,3,3
"56295",8,3,5,5,2
"56296",0,5,0,0,3
"56297",2,2,1,0,1
"56298",6,5,5,6,5
"56299",5,4,6,6,5
"56300",5,5,7,6,6
"56301",8,5,8,7,4
"56302",8,0,0,6,3
"56303",10,10,7,8,5
"56304",7,5,4,5,5
"56305",7,0,5,6,5
"56306",7,7,7,7,7
"56307",7,2,0,8,3
"56308",9,0,5,7,5
"56309",7,6,7,7,5
"56310",10,0,7,9,5
"56311",5,0,3,3,3
"56312",9,0,5,8,6
"56313",8,5,6,8,6
"56315",6,2,5,7,4
"56316",10,2,3,6,2
"56317",4,4,4,2,2
"56318",0,3,4,0,0
"56319",5,5,4,2,4
"56320",6,4,5,6,5
"56321",5,3,5,7,6
"56322",5,2,4,5,3
"56323",5,5,5,5,5
"56324",5,5,5,5,5
"56325",6,5,6,6,5
"56326",9,1,3,3,2
"56327",7,3,10,10,7
"56328",10,0,5,5,5
"56329",0,0,0,0,0
"56331",8,3,5,7,5
"56332",7,3,5,6,3
"56334",2,7,5,6,5
"56335",4,6,5,5,4
"56336",4,3,5,4,4
"56337",6,3,4,3,3
"56338",5,5,5,5,5
"56339",8,7,7,5,0
"56340",5,0,4,7,3
"56341",0,8,5,2,5
"56342",7,6,7,7,6
"56343",5,6,0,2,3
"56344",10,0,2,5,1
"56345",3,6,0,1,4
"56346",10,0,2,2,0
"56347",9,0,1,5,2
"56348",4,0,2,6,0
"56350",0,10,0,0,0
"56351",9,0,6,9,4
"56352",7,5,6,6,5
"56353",3,10,5,5,1
"56354",6,7,6,6,5
"56355",8,3,6,7,4
"56356",9,9,8,9,10
"56357",8,3,3,7,4
"56358",5,5,8,8,5
"56359",5,5,3,3,3
"56360",5,5,3,3,5
"56361",6,6,7,6,5
"56362",0,8,3,2,2
"56363",0,10,5,1,4
"56364",8,8,0,1,8
"56365",4,5,3,3,3
"56366",10,0,0,0,0
"56368",6,5,6,3,4
"56369",5,5,5,5,5
"56371",8,0,7,9,5
"56372",8,7,8,9,7
"56373",7,4,5,6,5
"56375",3,7,3,3,3
"56376",7,3,5,6,5
"56377",5,6,6,5,6
"56378",9,6,8,5,7
"56379",1,6,8,8,2
"56380",7,2,6,8,6
"56381",8,5,2,2,3
"56382",8,8,6,1,3
"56383",4,2,5,6,5
"56384",6,3,5,7,5
"56385",4,7,7,6,5
"56386",5,0,6,6,4
"56388",6,5,4,5,4
"56389",5,6,6,5,6
"56390",10,1,5,10,5
"56391",5,5,5,5,5
"56392",5,5,5,5,5
"56393",4,3,2,10,4
"56395",8,1,1,8,1
"56396",5,5,4,6,4
"56397",5,5,5,5,5
"56398",5,5,5,5,5
"56399",7,5,3,4,6
"56400",3,3,5,5,5
"56402",8,0,3,10,0
"56403",5,5,5,5,5
"56404",1,7,1,3,2
"56406",6,4,5,5,4
"56407",5,5,5,5,5
"56408",8,1,0,5,1
"56410",8,3,5,7,6
"56411",7,0,5,8,5
"56412",5,3,3,3,3
"56413",5,5,5,5,5
"56414",5,5,5,5,5
"56415",0,8,1,0,5
"56416",6,4,5,5,4
"56417",5,4,4,5,4
"56418",7,2,2,8,0
"56419",3,6,2,1,2
"56420",5,1,5,7,7
"56421",6,3,3,4,4
"56422",3,5,6,0,5
"56423",0,0,0,0,10
"56425",4,4,5,3,4
"56426",7,4,6,6,4
"56427",8,1,8,6,3
"56428",9,0,5,5,4
"56429",5,5,6,6,5
"56430",4,7,2,3,5
"56431",5,1,4,5,1
"56432",6,3,6,6,5
"56434",2,8,5,1,5
"56435",1,7,4,2,3
"56436",7,6,6,6,3
"56437",7,3,7,6,5
"56438",9,5,7,4,6
"56439",6,3,5,4,3
"56440",7,2,4,3,4
"56442",7,3,3,7,5
"56443",6,5,5,5,5
"56444",5,5,7,6,5
"56445",8,3,3,6,4
"56447",8,4,5,8,4
"56448",6,2,5,6,5
"56449",6,8,8,7,7
"56450",2,6,8,4,5
"56451",8,2,6,6,1
"56452",7,1,6,6,5
"56453",4,4,5,4,4
"56454",8,2,4,4,4
"56455",10,0,5,7,0
"56456",5,4,4,5,4
"56457",4,6,4,2,5
"56458",7,5,4,6,4
"56459",5,3,4,5,2
"56460",7,3,7,3,3
"56462",3,8,3,3,5
"56463",5,2,6,5,4
"56465",5,7,3,4,4
"56466",6,2,6,5,6
"56468",6,2,7,7,2
"56469",8,0,1,2,3
"56470",9,3,5,6,4
"56471",5,4,3,5,4
"56473",4,6,4,2,3
"56474",6,4,5,5,5
"56475",0,7,0,0,3
"56476",9,2,3,8,3
"56477",2,2,8,8,5
"56479",6,5,3,2,2
"56480",0,0,2,0,0
"56481",3,5,2,0,1
"56482",6,0,2,3,1
"56483",4,7,4,8,5
"56484",3,5,5,3,5
"56485",4,1,6,8,3
"56486",7,5,3,3,3
"56487",4,6,2,4,3
"56488",4,6,5,5,2
"56489",5,5,5,5,5
"56490",0,0,5,1,0
"56492",7,0,6,3,3
"56493",10,0,3,3,0
"56494",5,5,5,5,5
"56495",10,0,9,8,0
"56496",5,4,2,4,2
"56497",6,5,6,5,6
"56498",6,0,5,8,5
"56499",7,9,5,5,5
"56500",5,5,5,5,5
"56501",6,4,7,4,5
"56502",0,6,5,1,3
"56503",10,0,6,7,6
"56504",5,5,5,5,5
"56506",8,5,3,7,6
"56507",8,3,5,5,2
"56508",7,3,7,7,5
"56509",5,5,5,4,5
"56510",7,7,6,7,6
