"","cand_A","cand_B","cand_C","cand_D","cand_E"
"55144",5,2,1,2,2
"55145",1,3,1,1,1
"55148",6,6,0,4,5
"55149",7,3,3,5,3
"55151",6,4,6,7,6
"55152",7,0,0,9,5
"55153",8,3,5,8,3
"55154",10,0,3,8,3
"55155",9,1,3,5,3
"55156",3,3,5,5,4
"55157",6,0,7,7,5
"55158",4,5,3,2,3
"55159",7,5,5,6,5
"55160",5,5,5,5,5
"55162",6,3,5,9,5
"55163",7,2,6,6,2
"55164",7,3,5,6,3
"55165",8,2,4,4,3
"55166",1,8,6,2,5
"55167",0,10,1,2,5
"55168",5,5,0,0,0
"55170",5,8,4,4,5
"55171",5,5,5,5,5
"55172",2,6,2,2,4
"55173",8,5,6,8,7
"55174",8,8,9,7,9
"55175",5,5,5,5,5
"55176",6,2,6,6,5
"55177",3,8,3,3,3
"55178",9,1,5,5,2
"55179",5,4,6,5,5
"55180",7,1,5,5,1
"55181",3,6,7,4,5
"55182",0,0,1,3,3
"55183",8,0,2,5,3
"55184",5,6,5,3,4
"55185",8,5,2,6,4
"55186",5,2,3,4,6
"55187",4,5,3,3,3
"55188",8,2,5,8,5
"55189",7,3,5,6,3
"55190",2,6,2,2,2
"55191",5,2,5,8,4
"55192",7,0,7,5,5
"55193",5,5,5,5,5
"55194",9,2,5,7,3
"55195",3,5,4,3,3
"55196",5,3,4,5,3
"55197",5,5,5,5,5
"55198",2,8,6,6,5
"55201",5,5,5,5,5
"55202",0,9,5,3,5
"55203",6,5,5,5,5
"55204",8,4,5,6,5
"55205",10,0,4,3,0
"55206",8,4,4,7,5
"55207",5,5,6,4,3
"55208",4,6,4,1,2
"55210",3,3,3,0,4
"55211",2,2,2,1,1
"55213",8,0,5,7,1
"55214",6,5,4,4,7
"55215",2,7,7,4,6
"55216",5,5,5,5,5
"55217",7,2,3,5,3
"55218",3,3,4,5,4
"55219",5,4,5,5,6
"55220",7,5,7,3,4
"55221",8,3,7,7,5
"55223",5,6,1,3,5
"55224",4,6,3,2,3
"55225",5,5,5,5,5
"55229",2,5,6,4,5
"55230",6,3,7,7,3
"55231",7,0,2,5,2
"55232",5,5,6,3,5
"55233",5,5,5,5,5
"55234",5,5,5,5,5
"55235",5,5,5,5,5
"55236",5,5,5,5,5
"55237",5,5,7,7,5
"55238",2,5,5,3,3
"55239",6,3,5,5,3
"55240",5,6,3,2,3
"55241",2,7,5,2,6
"55242",8,7,10,0,8
"55243",9,0,9,9,1
"55244",5,5,4,4,4
"55245",4,5,5,3,5
"55247",0,0,0,0,0
"55249",4,5,4,0,4
"55251",3,0,0,7,3
"55252",7,0,7,8,5
"55253",8,3,7,9,5
"55254",5,6,7,7,7
"55255",7,3,4,4,4
"55256",6,5,2,4,2
"55257",4,3,2,5,5
"55258",5,5,4,4,4
"55260",2,8,5,2,5
"55261",5,0,5,5,5
"55262",10,1,3,10,5
"55264",7,5,8,4,6
"55266",5,7,6,3,5
"55267",5,5,6,5,3
"55268",5,5,5,3,3
"55269",5,6,3,3,5
"55270",7,3,2,3,4
"55271",8,4,5,9,4
"55272",3,5,2,2,3
"55274",5,5,4,4,4
"55275",7,6,7,8,8
"55276",5,5,5,5,5
"55277",7,2,6,7,5
"55278",10,2,4,5,1
"55280",7,1,7,7,5
"55281",5,4,4,4,3
"55282",8,3,4,3,2
"55284",4,5,7,6,5
"55286",4,2,4,3,2
"55287",8,4,4,4,3
"55288",8,4,4,6,4
"55289",8,3,5,5,4
"55290",5,8,6,2,4
"55291",8,3,4,6,3
"55293",8,4,6,6,4
"55294",5,3,8,6,0
"55295",8,3,5,7,5
"55297",8,2,4,5,5
"55298",7,0,9,8,5
"55299",4,6,5,7,7
"55300",1,6,3,2,1
"55301",6,0,4,7,4
"55302",5,5,5,5,5
"55303",6,6,6,6,6
"55304",10,3,1,5,5
"55306",0,0,5,5,1
"55307",5,5,5,5,5
"55308",5,5,5,5,5
"55309",10,0,4,8,3
"55310",5,5,5,5,5
"55311",5,5,5,5,5
"55312",7,5,1,2,3
"55313",8,3,4,5,4
"55314",7,4,9,2,3
"55316",1,2,6,5,4
"55317",0,8,1,2,4
"55318",4,2,6,6,1
"55319",5,6,2,5,3
"55320",8,2,5,7,6
"55321",5,0,6,9,3
"55322",2,6,3,2,3
"55323",7,2,5,5,4
"55324",7,1,6,3,1
"55326",5,5,5,5,5
"55327",0,7,10,10,5
"55328",6,5,6,7,5
"55329",4,5,3,3,4
"55330",5,6,2,3,3
"55331",7,3,0,7,3
"55332",4,6,0,4,3
"55334",4,5,3,5,5
"55335",5,2,0,5,0
"55336",0,9,4,0,2
"55337",2,6,2,3,4
"55338",5,5,3,4,5
"55339",6,3,3,3,3
"55340",6,1,5,5,3
"55341",5,0,1,1,1
"55342",3,8,6,7,5
"55343",5,5,5,5,5
"55344",6,0,3,7,2
"55346",5,5,5,5,5
"55347",10,5,6,6,6
"55348",0,0,0,0,0
"55349",9,0,8,6,6
"55350",5,7,6,5,4
"55351",4,6,6,5,5
"55353",7,6,6,5,5
"55354",5,1,7,8,1
"55355",6,3,5,8,7
"55357",2,4,0,0,2
"55358",2,9,5,3,5
"55359",6,1,5,7,5
"55361",0,9,1,2,3
"55365",1,7,7,1,5
"55367",6,4,3,4,3
"55368",5,0,3,5,3
"55369",0,5,1,0,1
"55370",6,5,2,0,0
"55371",4,8,3,1,3
"55372",8,3,4,6,5
"55373",8,3,1,2,3
"55374",8,0,2,5,1
"55375",4,0,1,2,0
"55376",5,2,6,6,3
"55377",0,5,3,4,6
"55378",6,3,4,5,4
"55379",6,3,5,7,4
"55380",7,2,5,8,4
"55382",8,0,1,2,2
"55383",7,2,3,7,1
"55385",4,5,4,2,3
"55386",0,8,0,0,0
"55388",7,1,3,3,5
"55389",0,0,9,9,1
"55390",6,3,2,3,1
"55391",7,3,4,6,4
"55392",10,0,0,3,2
"55394",7,4,7,7,6
"55395",6,6,7,6,6
"55396",8,2,6,6,2
"55397",8,0,0,3,0
"55398",5,5,4,3,4
"55400",8,5,7,5,4
"55401",7,8,4,5,2
"55403",8,5,4,6,3
"55404",0,10,5,0,8
"55405",3,5,3,3,4
"55406",6,5,5,6,4
"55407",7,5,4,7,4
"55408",2,4,0,0,1
"55409",6,7,3,3,6
"55410",8,1,6,4,3
"55411",8,2,5,7,5
"55412",7,3,9,7,1
"55414",6,1,0,4,1
"55415",3,3,3,4,1
"55416",4,4,5,4,4
"55417",6,3,6,5,5
"55418",6,5,6,5,3
"55419",5,3,5,5,3
"55420",5,0,7,10,2
"55421",3,2,8,6,4
"55425",5,5,2,2,3
"55426",7,1,5,5,3
"55427",2,0,5,5,5
"55428",7,7,7,7,7
"55429",6,6,6,6,6
"55430",9,0,4,7,1
"55431",8,0,2,7,5
"55432",3,3,2,2,1
"55433",8,5,5,8,5
"55435",8,0,8,8,8
"55436",8,0,6,5,5
"55437",5,5,5,5,5
"55438",9,3,3,6,3
"55439",5,1,5,8,5
"55441",3,5,1,0,0
"55442",5,5,3,3,3
"55443",8,5,2,6,3
"55444",7,0,5,6,5
"55445",4,5,4,3,5
"55446",7,3,6,7,4
"55447",6,2,7,4,5
"55448",5,5,5,5,5
"55450",5,5,5,5,5
"55451",3,5,5,5,4
"55453",7,8,5,5,6
"55454",7,2,3,4,4
"55457",9,2,3,7,5
"55458",1,8,5,5,5
"55459",1,9,2,2,2
"55461",2,3,5,4,1
"55462",5,7,4,3,7
"55463",5,5,5,7,5
"55464",8,3,1,5,3
"55465",5,3,2,7,1
"55466",9,1,7,7,4
"55467",5,5,0,2,5
"55469",5,4,5,5,5
"55470",4,0,3,5,2
"55471",5,8,5,2,2
"55472",6,2,3,5,1
"55473",10,0,5,8,5
"55474",9,0,0,10,3
"55475",8,1,3,8,1
"55476",5,5,5,5,5
"55478",8,3,5,7,6
"55479",2,7,2,0,3
"55480",2,6,5,2,3
"55481",5,5,5,4,5
"55482",6,2,7,6,5
"55483",5,3,2,4,3
"55484",8,0,0,8,0
"55485",5,5,7,6,4
"55486",10,4,6,3,3
"55487",5,5,5,5,5
"55488",5,6,7,6,7
"55489",7,3,6,7,5
"55492",7,1,1,5,4
"55494",5,5,5,5,5
"55495",6,4,3,5,5
"55497",6,3,5,6,5
"55499",2,5,5,1,2
"55500",5,4,5,5,5
"55501",5,10,2,3,4
"55502",6,3,7,3,3
"55503",6,7,5,5,6
"55504",8,0,0,0,0
"55505",2,8,5,5,5
"55506",8,0,0,2,0
"55507",4,7,6,6,4
"55508",4,5,6,4,3
"55509",7,4,8,6,6
"55510",1,5,0,0,0
"55511",10,3,8,7,4
"55512",6,0,4,4,2
"55513",7,2,4,5,5
"55514",3,3,3,3,2
"55516",6,5,4,7,4
"55518",7,7,7,6,6
"55520",5,3,6,5,4
"55521",10,0,5,0,0
"55522",7,3,2,5,2
"55523",7,5,7,2,3
"55524",8,4,4,6,5
"55525",5,5,5,5,5
"55526",10,0,2,9,2
"55527",8,6,4,4,4
"55528",4,3,7,5,3
"55529",5,5,5,5,3
"55533",5,5,5,5,5
"55534",6,5,4,5,5
"55535",9,6,0,1,2
"55536",10,0,5,5,5
"55537",6,5,4,5,5
"55539",5,5,5,5,5
"55540",3,1,5,7,1
"55542",7,0,5,5,4
"55543",5,5,5,5,5
"55544",8,8,4,5,6
"55545",6,4,4,5,4
"55546",0,10,0,0,0
"55547",5,7,5,0,1
"55548",4,5,4,5,5
"55549",8,6,7,7,7
"55550",5,1,5,5,4
"55552",10,0,7,5,3
"55553",5,2,5,5,5
"55555",3,7,4,2,2
"55556",5,5,5,5,5
"55557",5,3,5,5,5
"55558",5,5,5,5,5
"55559",8,5,6,6,5
"55561",4,3,8,8,4
"55562",4,4,6,5,5
"55563",6,4,7,6,4
"55564",0,5,5,3,4
"55565",8,2,3,5,2
"55566",8,5,6,7,6
"55567",0,0,5,5,0
"55568",4,6,6,4,6
"55569",8,2,4,6,3
"55570",5,5,5,5,5
"55572",5,5,5,5,5
"55573",7,4,2,3,6
"55574",2,8,6,5,1
"55575",7,5,5,3,7
"55576",8,3,3,7,2
"55577",5,5,5,5,5
"55578",3,6,4,1,1
"55579",7,6,7,6,7
"55580",7,4,5,6,3
"55581",8,3,5,7,5
"55582",5,5,7,7,5
"55583",7,5,3,1,2
"55584",4,5,5,3,2
"55586",8,3,3,3,3
"55587",7,0,8,7,5
"55588",5,5,5,0,5
"55589",7,4,7,7,4
"55590",5,5,3,3,3
"55591",7,0,1,7,1
"55592",7,3,5,0,5
