"","cand_A","cand_B","cand_C","cand_D","cand_E","cand_F","cand_G","cand_H"
"26316",7,4,5,2,5,0,4,4
"26318",3,7,6,2,6,4,3,8
"26319",5,6,3,7,8,1,2,1
"26320",7,5,4,3,6,2,6,6
"26321",3,7,8,3,4,8,5,6
"26322",8,6,3,4,4,2,4,2
"26323",7,4,0,7,2,6,8,4
"26324",6,6,6,0,6,7,3,5
"26325",2,2,2,5,2,3,5,2
"26326",8,6,1,8,7,1,5,7
"26327",0,9,5,0,2,2,2,0
"26328",0,7,10,0,3,9,6,4
"26329",0,8,10,0,2,5,5,3
"26332",9,5,2,2,6,0,2,6
"26335",6,7,8,0,6,6,2,7
"26336",10,5,1,8,5,0,10,2
"26337",4,5,3,2,3,7,6,5
"26339",0,5,0,5,5,3,1,0
"26340",10,9,0,7,7,0,6,0
"26341",0,8,8,0,2,5,2,2
"26343",0,5,5,6,2,2,8,3
"26344",7,4,5,2,3,0,5,0
"26345",6,8,4,2,2,1,1,4
"26346",2,7,9,0,5,7,9,8
"26347",6,5,3,5,7,3,6,3
"26349",5,5,5,1,2,1,2,8
"26350",4,8,7,4,5,8,6,5
"26351",5,6,7,0,5,0,5,0
"26352",6,6,5,6,7,0,4,4
"26354",0,6,9,0,2,6,4,6
"26355",2,9,8,1,6,8,5,5
"26356",10,5,3,5,7,0,5,5
"26357",0,9,3,3,6,7,6,3
"26358",5,5,5,5,5,2,5,5
"26359",4,2,1,2,2,1,2,1
"26360",5,4,0,3,5,0,3,0
"26362",6,5,2,5,5,3,4,5
"26363",2,8,9,1,4,6,4,4
"26364",3,0,0,3,3,0,10,0
"26365",1,6,9,5,8,6,4,5
"26366",7,7,7,4,7,5,5,5
"26367",4,7,7,8,3,7,7,5
"26368",3,9,8,3,3,7,0,5
"26370",5,7,8,4,6,7,5,5
"26371",7,4,2,4,6,3,7,7
"26372",8,8,4,5,5,0,8,0
"26373",5,4,1,8,2,1,7,2
"26374",0,5,0,0,0,8,0,0
"26375",8,3,2,5,3,1,2,3
"26376",6,6,2,2,8,0,4,2
"26377",7,2,0,10,7,0,6,5
"26378",3,8,5,0,0,3,3,0
"26380",9,7,6,7,5,4,4,6
"26381",5,7,6,2,5,6,6,6
"26382",5,6,5,5,5,4,4,5
"26383",0,2,1,2,1,2,3,2
"26384",0,7,7,0,3,6,2,5
"26386",1,9,8,3,5,6,4,5
"26387",5,6,7,3,5,2,2,5
"26389",2,6,8,0,2,6,5,6
"26390",1,3,3,1,2,10,10,2
"26391",7,5,2,3,6,5,6,6
"26392",8,7,6,4,4,4,6,6
"26393",6,7,2,5,8,3,4,1
"26394",10,0,0,9,2,0,0,0
"26395",0,5,5,2,5,5,10,6
"26396",0,3,3,5,3,7,6,7
"26397",8,2,9,0,0,2,0,3
"26399",8,6,7,5,6,5,6,10
"26400",3,8,7,7,7,7,6,6
"26402",0,10,7,0,0,8,4,0
"26403",5,5,5,5,5,0,0,5
"26404",1,7,8,0,6,5,5,5
"26405",6,4,8,3,6,5,5,3
"26407",5,8,4,4,5,2,4,5
"26408",6,3,4,6,5,2,8,6
"26411",5,9,8,2,7,7,5,5
"26412",0,1,2,2,1,2,2,0
"26413",0,5,9,2,2,9,4,7
"26414",9,0,0,9,6,0,7,0
"26415",0,7,8,1,3,8,4,4
"26416",7,4,3,0,5,2,4,8
"26417",0,5,0,2,2,8,2,5
"26418",2,9,8,3,3,7,0,5
"26420",5,7,8,0,4,6,0,6
"26421",6,5,5,5,5,5,5,5
"26422",8,2,0,10,5,0,8,0
"26423",3,10,6,1,3,5,4,4
"26424",7,4,4,8,8,5,5,0
"26425",0,8,5,2,0,7,6,3
"26427",0,3,3,2,5,2,8,2
"26428",2,7,6,0,3,6,4,5
"26429",1,8,10,3,10,5,8,8
"26430",5,3,1,5,5,1,3,1
"26432",0,7,7,0,2,8,1,6
"26433",0,7,3,5,5,2,6,2
"26434",8,6,7,4,6,5,5,8
"26435",8,5,4,6,6,5,7,5
"26437",8,7,3,5,7,2,6,0
"26438",3,5,8,1,2,6,1,3
"26440",0,7,0,0,5,4,0,7
"26441",3,5,7,0,4,4,3,3
"26442",5,5,3,3,3,1,3,3
"26444",8,4,4,0,5,1,6,1
"26445",10,0,0,8,8,0,2,7
