"","cand_A","cand_B","cand_C","cand_D","cand_E","cand_I"
"22205",6,5,4,3,6,0
"22208",10,0,3,7,5,0
"22211",5,7,5,5,6,2
"22214",0,4,2,0,3,4
"22215",2,7,5,3,1,3
"22216",3,2,2,4,2,1
"22217",7,3,2,7,8,0
"22218",5,0,0,5,5,0
"22220",6,3,4,6,4,3
"22221",7,2,0,0,8,0
"22222",0,5,5,0,0,0
"22225",5,2,6,4,7,0
"22226",4,8,8,3,3,6
"22227",7,0,3,5,9,0
"22228",0,5,5,1,1,3
"22230",7,7,7,8,6,5
"22231",4,7,9,5,4,8
"22232",8,0,1,6,9,1
"22233",6,1,1,5,0,0
"22234",0,10,7,0,0,4
"22235",0,5,5,0,0,5
"22236",5,2,2,5,5,5
"22239",6,2,4,8,8,0
"22244",10,0,0,10,10,10
"22245",0,5,5,0,2,3
"22247",3,6,4,5,4,6
"22249",10,5,2,10,0,0
"22250",7,3,6,6,8,0
"22254",5,0,3,6,8,0
"22255",6,3,4,5,5,3
"22256",10,5,0,0,9,0
"22258",6,3,3,4,5,2
"22261",3,7,6,5,5,5
"22263",5,8,5,5,8,1
"22264",5,0,0,5,0,0
"22265",0,10,10,0,0,10
"22266",0,10,7,0,0,5
"22267",0,5,5,0,0,5
"22268",7,0,1,5,6,0
"22269",1,6,7,2,5,6
"22270",0,10,10,0,0,5
"22271",6,5,8,4,5,4
"22272",5,5,3,4,3,0
"22274",4,5,7,5,3,3
"22275",3,5,3,3,6,4
"22276",2,5,5,0,2,5
"22278",0,8,9,3,5,4
"22279",0,6,6,3,5,5
"22280",3,3,2,1,2,3
"22281",5,0,3,8,3,0
"22282",5,5,5,5,5,5
"22283",6,2,3,6,6,3
"22284",7,5,5,5,5,3
"22285",3,1,5,0,4,0
"22286",0,8,8,5,0,2
"22287",0,10,10,0,0,10
"22288",3,8,6,4,2,0
"22290",10,10,8,10,10,10
"22291",10,1,2,8,3,7
"22293",6,5,5,8,8,4
"22296",2,6,4,5,6,5
"22298",1,6,6,1,2,4
"22299",3,4,2,3,4,2
"22300",4,6,6,5,5,6
"22301",5,2,5,5,5,5
"22302",3,3,3,3,3,3
"22303",1,7,7,3,4,7
"22305",0,9,4,0,4,3
"22307",0,9,8,0,0,0
"22308",0,0,10,6,6,6
"22309",0,0,0,5,10,0
"22311",1,1,10,1,2,0
"22312",3,5,5,3,3,2
"22314",1,9,8,1,0,5
"22315",0,9,10,2,4,7
"22317",4,5,5,5,5,7
"22318",8,1,3,8,3,3
"22320",2,6,7,2,7,6
"22322",5,5,5,5,5,0
"22324",6,1,4,5,7,0
"22325",3,3,2,2,3,0
"22327",3,6,5,6,5,5
"22329",4,8,7,5,6,9
"22330",0,7,8,1,1,6
"22331",3,5,5,3,2,5
"22333",0,7,1,0,0,7
"22335",1,5,8,2,2,5
"22336",8,5,6,8,8,4
"22337",0,5,10,0,5,10
"22339",7,0,3,8,9,0
"22341",9,0,2,9,9,0
"22342",0,5,7,3,4,2
"22343",0,10,10,0,0,6
"22344",1,5,6,1,5,8
"22345",0,8,6,2,0,6
"22347",5,3,4,4,2,3
"22348",5,0,0,5,5,0
"22349",2,2,6,4,4,1
"22352",7,6,5,6,6,0
"22353",2,6,6,3,3,6
"22356",0,5,5,1,2,4
"22357",4,0,0,4,4,0
"22359",0,0,0,3,0,0
"22360",5,4,5,5,5,2
"22361",1,6,8,3,2,8
"22362",0,0,5,0,6,8
"22364",0,7,7,0,2,8
"22366",4,5,8,3,6,3
"22367",4,6,8,4,5,5
"22369",6,5,5,4,8,3
"22371",0,7,6,0,2,2
"22372",2,8,7,3,5,7
"22374",8,0,5,10,10,0
"22376",6,4,6,8,7,3
"22377",3,3,5,5,5,3
"22379",2,7,5,3,3,5
"22381",0,6,7,7,0,8
"22383",0,10,5,0,0,5
"22388",2,8,7,4,6,1
"22389",10,0,0,8,8,0
"22390",5,0,0,5,8,0
