"","cand_A","cand_B","cand_C","cand_D","cand_E","cand_F","cand_G","cand_H"
"20969",10,2,0,2,0,0,3,6
"20970",3,5,0,0,0,0,3,0
"20971",10,2,1,0,4,0,1,0
"20972",7,6,0,0,8,5,0,0
"20974",5,5,0,3,2,3,3,6
"20975",2,0,0,0,0,0,0,0
"20976",0,0,8,0,7,0,0,5
"20978",2,0,0,0,0,0,2,0
"20979",10,1,0,2,3,1,5,2
"20980",1,3,0,3,0,5,1,3
"20981",4,3,1,9,1,6,2,5
"20982",1,5,3,3,1,3,3,10
"20983",5,0,0,0,1,1,4,4
"20984",5,5,0,5,5,5,5,0
"20985",8,0,0,0,10,0,0,0
"20986",0,5,0,3,0,5,0,7
"20987",6,2,0,2,9,2,2,7
"20988",0,4,0,3,0,5,1,1
"20989",5,0,0,0,5,2,5,4
"20990",1,6,0,6,1,6,1,2
"20991",3,2,0,2,2,0,2,4
"20992",8,1,0,3,3,1,0,0
"20993",7,1,0,6,7,5,1,1
"20996",1,3,0,3,1,10,0,2
"20997",8,2,0,4,6,1,1,1
"20998",2,1,0,0,1,0,0,0
"20999",0,0,0,0,2,0,0,0
"21000",0,4,0,2,2,5,2,2
"21001",5,0,0,0,2,0,1,6
"21002",5,1,0,1,4,1,1,1
"21003",1,0,0,0,5,0,0,0
"21004",3,1,0,1,2,4,0,0
"21005",4,4,1,3,1,7,3,7
"21006",9,0,0,0,8,8,0,10
"21007",0,6,0,5,3,9,0,3
"21009",5,5,0,5,4,6,3,6
"21010",1,0,0,0,1,0,1,3
"21011",5,3,1,3,4,3,4,4
"21012",0,5,1,5,5,5,0,4
"21014",6,2,0,0,1,0,8,5
"21015",0,7,0,9,2,5,0,1
"21016",8,0,0,0,10,0,4,6
"21017",7,3,0,5,6,4,1,4
"21018",1,1,0,0,2,0,0,1
"21020",6,2,2,5,6,6,6,7
"21022",1,0,0,0,4,0,0,0
"21023",2,1,0,0,0,0,2,0
"21024",7,3,0,3,5,2,5,5
"21025",2,0,0,0,1,0,0,0
"21026",3,2,2,2,3,2,2,3
"21027",8,4,0,5,6,4,2,2
"21028",1,9,8,0,0,4,1,1
"21029",3,7,2,5,1,7,3,7
"21030",0,9,5,7,5,3,5,5
"21031",2,4,0,0,0,2,2,3
"21033",0,5,0,2,1,2,1,1
"21034",5,4,0,5,5,5,2,5
"21035",8,2,0,2,5,2,5,4
"21036",5,0,0,1,6,2,1,0
"21037",0,0,0,0,0,0,0,0
"21039",0,7,0,0,0,7,7,7
"21040",4,2,0,1,3,5,3,7
"21041",0,2,1,2,3,7,0,1
"21042",4,4,1,2,3,2,2,2
"21043",5,4,8,0,3,4,3,7
"21044",0,3,0,3,0,8,0,7
"21046",2,2,0,0,0,9,0,0
"21047",4,0,0,0,6,0,0,0
"21048",4,7,0,4,4,2,0,3
