"","cand_A","cand_B","cand_C","cand_D","cand_E","cand_F"
"2218",3,8,7,2,1,1
"2219",4,6,8,3,3,1
"2220",10,2,2,8,3,3
"2221",2,4,8,1,1,1
"2222",9,2,4,7,5,3
"2223",4,2,7,3,1,1
"2224",7,2,9,7,3,0
"2225",7,3,6,3,2,1
"2226",5,4,8,2,3,1
"2227",5,2,8,5,0,0
"2230",3,4,4,5,5,3
"2231",4,3,8,3,2,1
"2232",4,5,7,5,1,1
"2233",10,2,3,7,1,2
"2234",7,5,5,6,5,0
"2237",7,3,8,6,3,1
"2238",5,2,8,3,1,1
"2239",8,5,6,4,2,2
"2240",7,1,10,6,3,0
"2241",5,6,9,4,4,3
"2242",8,4,7,2,3,2
"2243",7,2,10,4,4,0
"2245",6,0,9,6,0,0
"2246",6,3,7,6,3,3
"2247",10,5,4,4,3,5
"2248",10,0,6,4,3,0
"2250",4,1,10,2,0,0
"2251",3,7,7,2,0,1
"2252",2,5,5,0,2,0
"2254",5,2,8,2,1,1
"2255",9,3,9,5,3,2
"2256",8,4,1,3,5,4
"2257",4,5,8,4,3,2
"2258",3,3,8,3,1,1
"2259",7,2,4,3,5,1
"2260",6,3,9,5,3,2
"2261",7,2,7,5,3,1
"2262",8,2,6,6,8,1
"2263",4,1,8,7,2,2
"2264",3,3,8,3,1,1
"2265",8,4,7,2,1,1
"2266",4,3,6,1,1,1
"2267",5,6,9,3,1,1
"2268",7,1,9,6,1,1
"2269",8,4,5,5,3,2
"2270",8,3,5,4,2,0
"2271",9,3,8,5,5,1
"2274",9,3,4,2,6,6
"2276",3,4,8,5,2,2
"2277",10,1,9,5,1,0
"2278",5,0,10,6,6,0
"2279",2,5,9,1,0,0
"2280",2,6,9,5,2,7
"2281",6,0,9,5,0,0
"2282",7,5,9,8,7,3
"2284",5,2,9,3,2,1
"2285",8,3,8,5,0,0
"2286",9,3,6,4,2,3
"2287",7,4,9,5,4,2
"2288",7,0,8,7,1,1
"2289",9,1,10,4,0,0
"2290",7,4,10,4,0,0
"2291",10,6,3,2,2,8
"2292",1,1,1,1,1,1
"2293",5,5,5,0,0,0
"2294",2,2,2,2,2,2
"2295",3,2,3,3,1,1
"2296",2,5,3,5,8,2
"2299",5,6,7,3,5,2
"2301",2,5,0,2,7,5
"2302",1,8,0,6,8,5
"2303",0,5,0,1,6,8
"2304",3,4,2,4,9,3
"2305",3,8,0,4,4,9
"2306",0,5,0,1,9,6
"2307",0,4,0,3,8,7
"2308",0,6,0,3,8,9
"2309",0,4,0,0,5,6
"2310",6,9,1,6,3,5
"2312",1,5,0,4,9,7
"2313",0,7,0,2,8,8
"2314",4,3,0,0,10,6
"2315",2,4,0,2,6,4
"2316",0,6,0,1,1,7
"2317",0,1,0,3,10,3
"2318",1,9,0,4,2,2
"2320",2,8,0,5,6,7
"2321",1,7,4,1,4,3
"2322",2,7,1,5,8,6
"2323",3,5,0,5,9,7
"2324",1,9,0,6,6,6
"2325",0,0,0,6,8,5
"2326",2,7,0,0,3,10
"2327",2,10,0,7,7,4
"2328",1,10,0,5,7,7
"2329",4,7,0,2,8,6
"2331",4,9,0,5,6,7
"2332",2,7,0,5,6,9
"2333",2,6,0,2,8,8
"2334",2,3,3,0,4,5
"2335",2,7,1,2,5,5
"2336",1,9,1,2,5,5
"2337",6,9,3,7,5,6
"2338",0,8,0,3,3,5
"2339",6,5,6,5,6,5
"2340",4,7,1,4,9,5
"2341",3,9,1,6,7,5
"2342",3,6,0,4,4,9
"2343",1,10,5,2,2,3
"2344",4,5,3,4,3,3
"2345",5,9,1,3,9,4
"2346",4,6,1,6,6,6
"2347",2,6,0,6,7,5
"2348",2,4,1,6,5,9
"2349",1,4,0,5,9,5
"2350",5,10,0,4,7,5
"2351",4,2,0,6,10,2
"2352",3,9,0,6,7,6
"2353",4,9,0,5,7,6
"2354",0,5,0,5,8,4
"2355",3,10,0,8,8,6
"2358",5,3,2,3,1,2
"2359",9,1,1,7,1,3
"2360",5,7,5,3,2,1
"2361",4,3,2,3,2,2
"2362",4,7,4,5,7,3
"2363",8,3,5,4,0,1
"2364",6,5,9,4,2,2
"2365",10,1,5,5,0,2
"2366",4,9,2,4,5,4
"2367",3,5,7,2,2,2
"2368",3,5,8,3,3,3
"2369",7,4,4,5,3,3
"2370",3,2,4,6,0,0
"2371",6,4,4,5,5,4
"2372",8,3,6,3,2,1
"2373",8,4,6,6,4,5
"2374",5,4,6,0,1,0
"2375",7,5,1,9,1,4
"2376",6,3,10,3,4,3
"2377",7,3,5,3,2,1
"2378",3,4,5,2,2,2
"2379",5,2,9,2,0,0
"2380",2,3,0,3,2,6
"2381",9,3,5,5,4,4
"2382",8,6,3,5,5,6
"2383",3,9,1,3,2,2
"2385",8,3,2,5,5,4
"2386",5,3,7,4,1,1
"2387",6,4,7,5,2,2
"2388",5,5,2,5,7,5
"2390",3,5,4,3,5,5
"2391",8,4,1,6,2,4
"2392",3,3,2,2,6,3
"2393",8,5,4,5,5,5
"2394",9,3,5,4,0,1
"2395",5,4,2,2,5,4
"2396",9,4,4,5,1,3
"2397",8,5,0,5,8,6
"2398",9,3,5,6,0,2
"2399",4,6,1,8,5,7
"2400",5,6,7,4,3,2
"2401",8,4,5,6,4,4
"2402",7,6,5,2,7,3
"2403",7,5,4,6,6,4
"2404",10,3,4,5,8,5
"2405",8,2,5,7,5,2
"2406",4,5,2,4,2,7
"2408",2,8,2,3,5,2
"2409",8,4,5,6,4,4
"2410",6,3,8,4,2,0
"2411",8,3,4,6,6,6
"2412",9,3,4,5,6,3
"2413",6,3,8,2,3,1
"2418",9,3,1,5,8,6
"2419",4,4,3,9,6,5
"2421",4,2,8,7,4,2
"2423",4,5,3,8,2,5
"2424",5,2,5,5,5,4
"2425",5,9,1,5,5,5
"2426",8,4,3,5,4,5
"2427",10,3,3,6,5,5
"2428",7,7,3,5,3,0
"2429",5,8,4,3,1,3
"2430",5,3,7,3,3,1
"2431",9,5,2,1,0,0
"2432",5,5,1,4,5,1
"2433",7,4,6,4,2,1
"2434",5,2,0,4,0,2
"2435",5,2,9,4,3,1
"2436",7,5,7,6,6,0
"2437",5,3,7,3,2,2
"2438",3,5,5,2,3,0
"2439",8,0,0,1,0,0
"2440",8,3,6,5,1,1
"2441",8,5,0,7,4,3
"2442",8,4,7,2,2,1
"2443",9,7,0,3,7,2
"2444",5,5,7,4,3,3
"2445",6,2,6,5,2,2
