"","cand_A","cand_B","cand_C","cand_D","cand_E","cand_F"
"8792",3,4,4,1,5,3
"8795",3,4,7,9,6,5
"8796",0,7,8,8,8,0
"8797",6,7,7,7,6,4
"8799",2,8,5,6,3,1
"8800",2,1,0,10,0,0
"8801",5,8,0,4,0,0
"8802",4,5,5,5,4,1
"8803",4,6,5,7,6,1
"8804",6,6,5,3,7,0
"8805",3,8,7,4,4,6
"8808",1,4,7,9,4,0
"8810",5,8,6,3,1,1
"8813",2,10,5,0,2,1
"8814",6,8,6,0,6,0
"8815",2,7,6,6,7,0
"8816",7,10,6,5,8,0
"8817",0,10,0,0,5,0
"8818",0,6,7,7,8,0
"8819",6,3,4,5,4,3
"8820",0,0,4,8,3,3
"8822",6,3,1,4,2,2
"8823",0,6,4,9,7,0
"8824",8,0,5,10,7,3
"9292",1,6,8,2,8,0
"9303",5,7,7,4,6,0
"9477",5,0,3,7,3,9
"9478",6,8,5,3,3,3
"9479",7,7,6,8,5,2
"9480",0,5,2,10,2,0
"9481",0,5,8,5,5,0
"9482",4,7,6,5,3,0
"9483",10,0,0,0,0,10
"9484",0,8,3,8,3,0
"9485",5,8,9,3,7,0
"9486",7,7,5,9,5,6
"9489",0,10,10,0,4,0
"9490",8,9,4,4,3,3
"9491",7,9,2,5,0,2
"9492",2,6,7,8,8,0
"9496",2,6,4,7,0,0
"9497",1,5,5,8,6,0
"9498",5,8,6,5,2,0
"9499",4,9,7,0,6,4
"9500",1,7,7,7,2,2
"9501",8,0,0,0,0,9
"9502",5,8,6,7,7,0
"9503",4,5,7,7,3,0
"9504",1,5,8,6,7,0
"9505",4,2,6,7,4,3
"9506",8,3,5,5,5,3
"9507",9,0,3,7,1,3
"9508",1,5,7,8,7,0
"9509",6,8,6,0,6,6
"9510",5,7,8,5,6,0
"9512",0,9,8,0,3,0
"9513",5,8,8,2,6,5
"9516",2,7,7,6,6,0
"9518",1,5,8,7,8,1
"9520",7,5,3,7,1,1
"9521",1,9,9,2,7,5
"9522",6,9,8,0,6,0
"9523",4,7,7,6,8,2
"9524",2,4,8,7,7,0
"9526",3,2,6,7,6,0
"9527",1,7,7,3,7,5
"9528",0,0,0,10,2,0
"9529",0,8,0,0,0,0
"9530",4,6,7,5,7,0
"9532",1,2,8,6,7,0
"9533",7,5,7,6,8,6
"9537",5,8,7,6,7,2
"9538",2,7,6,7,3,0
"9540",6,6,4,5,3,2
"9541",4,5,6,7,2,0
"9542",5,8,7,5,6,5
"9543",3,8,6,3,6,0
"9544",5,6,3,0,1,0
"9545",2,6,6,8,7,1
"9546",7,7,4,4,2,0
"9550",3,5,5,7,8,4
