"","cand_A","cand_B","cand_C","cand_D","cand_E","cand_F","cand_G","cand_H"
"28245",8,0,0,5,5,0,0,10
"28247",8,6,0,0,0,5,4,5
"28248",7,5,0,6,6,4,4,6
"28249",6,0,0,2,2,2,0,5
"28250",6,2,4,0,1,4,6,5
"28251",10,0,0,7,7,0,0,10
"28252",10,8,0,6,6,6,3,3
"28253",8,2,0,7,7,4,2,8
"28254",3,6,2,0,0,8,5,2
"28255",8,5,3,7,7,8,0,9
"28257",0,8,5,0,0,8,0,3
"28259",10,5,0,7,8,2,0,8
"28260",4,4,6,4,8,8,10,10
"28261",10,0,0,7,0,0,0,5
"28262",2,6,5,0,0,8,3,0
"28263",4,6,3,4,4,3,4,3
"28264",0,0,5,1,0,1,0,0
"28265",3,9,6,0,0,8,6,3
"28266",4,8,0,0,0,6,0,0
"28267",4,6,8,5,4,9,3,0
"28268",5,0,0,10,10,0,0,0
"28269",0,0,10,0,0,5,0,0
"28270",3,3,5,3,3,3,3,3
"28271",7,4,7,0,3,3,0,0
"28272",4,8,10,3,0,6,0,2
"28273",0,0,10,8,6,0,5,0
"28274",0,0,2,0,0,0,0,0
"28275",0,5,7,0,0,7,0,0
"28276",5,5,7,3,0,5,4,4
"28277",0,5,10,6,6,3,0,0
"28278",0,0,5,0,0,5,0,0
"28279",0,0,9,0,0,2,0,0
"28281",0,0,10,0,0,0,0,0
"28282",0,2,7,0,0,0,0,0
"28283",0,0,10,0,0,0,0,0
"28286",10,2,0,7,7,2,0,7
"28287",9,0,0,10,5,0,0,0
"28289",7,6,4,0,0,5,5,3
"28290",6,7,1,3,3,3,5,5
"28291",8,5,0,2,2,2,0,3
"28293",0,5,10,1,1,1,0,0
"28294",4,4,1,0,3,3,2,7
"28296",6,8,1,2,1,2,3,5
"28297",8,2,1,10,10,1,0,5
"28298",10,8,4,5,5,8,9,6
"28302",7,2,0,10,10,0,1,0
"28303",4,0,6,3,2,0,4,2
"28304",0,1,5,0,0,5,0,0
"28305",5,8,1,0,0,3,3,5
"28306",5,5,6,2,2,5,6,3
"28307",10,4,1,5,5,6,0,6
"28308",5,3,0,1,1,1,4,7
"28309",10,0,0,10,10,0,10,1
"28311",0,7,0,0,0,2,0,0
"28313",6,5,1,1,1,3,8,5
"28314",0,2,10,0,0,5,0,0
"28315",0,0,0,0,0,0,0,0
"28317",0,0,10,5,4,5,0,0
"28318",10,8,3,4,4,4,4,6
"28319",8,8,0,6,6,6,6,6
"28320",0,1,3,0,0,6,4,0
"28321",7,7,4,4,4,10,8,5
"28322",5,5,0,4,4,0,0,8
"28323",0,4,4,2,2,5,5,2
"28325",2,6,3,1,1,8,4,2
"28326",0,1,7,0,0,3,2,0
"28327",0,4,6,0,0,8,4,0
"28329",1,0,0,0,0,0,1,5
"28330",0,0,0,0,0,0,0,0
"28331",8,0,5,10,10,0,6,8
"28332",10,8,1,7,5,3,3,6
"28333",10,5,0,5,5,0,0,0
"28334",0,2,5,0,0,3,5,0
"28335",10,3,0,8,7,0,0,8
"28336",5,3,3,1,1,2,3,3
"28338",0,5,8,1,2,5,2,1
"28340",0,0,3,0,0,4,0,0
"28342",3,9,5,1,0,7,3,1
"28344",3,9,3,2,2,7,9,4
"28345",2,4,0,0,0,3,0,10
"28346",3,4,2,1,1,4,2,3
"28347",7,9,5,1,0,5,4,8
"28348",8,0,0,5,3,0,0,6
"28349",10,7,0,0,0,0,0,2
"28350",0,2,10,0,0,0,0,0
"28352",4,5,2,4,5,7,6,5
"28353",9,5,0,4,4,4,4,9
"28354",0,0,0,0,0,0,0,0
"28355",0,0,10,0,0,0,0,0
"28356",5,4,0,3,2,2,8,9
"28357",8,7,2,3,2,1,1,5
"28358",8,7,2,7,7,6,3,5
"28361",7,8,3,2,2,4,1,2
"28362",8,8,5,0,0,3,3,0
"28363",0,0,10,0,0,0,0,0
"28364",1,3,7,1,0,1,4,2
"28365",0,5,6,0,0,4,2,0
"28367",6,6,4,5,5,5,5,5
"28369",0,0,2,0,0,0,0,0
"28370",6,8,1,0,0,0,1,3
"28372",8,4,0,4,4,4,0,6
"28373",0,10,8,0,0,0,10,8
"28374",5,5,8,8,4,6,6,6
"28375",1,5,10,1,1,9,1,1
"28376",8,7,1,2,2,4,9,3
"28377",5,10,7,1,1,10,5,3
"28378",6,5,3,5,5,3,3,8
"28379",2,5,0,4,4,2,8,5
"28380",8,3,0,5,5,3,0,9
"28381",0,5,0,0,0,0,0,0
"28383",9,1,1,3,2,3,2,4
"28384",5,3,0,0,0,3,7,5
"28385",1,4,4,1,0,9,1,0
"28386",7,6,0,0,0,4,5,6
"28388",8,7,1,4,4,2,5,5
"28389",0,7,1,0,0,5,3,2
"28390",7,0,0,8,8,0,0,8
"28391",9,7,0,8,8,6,1,7
"28392",0,3,10,4,0,9,0,0
"28393",6,7,1,0,0,2,4,7
"28395",8,4,0,7,6,2,5,6
"28396",7,6,2,5,3,1,2,4
"28397",5,6,0,2,1,4,5,5
"28398",10,5,0,7,3,0,0,7
"28399",8,3,0,5,5,2,2,3
"28401",10,4,0,5,2,0,1,7
"28402",10,2,0,0,0,0,0,0
"28403",3,6,9,5,5,6,5,5
"28404",5,8,0,0,0,3,3,3
"28406",5,5,0,0,0,0,4,4
"28407",0,4,5,0,2,6,3,1
"28408",0,1,7,3,3,7,2,0
"28409",0,0,0,0,0,0,0,0
"28411",8,6,0,5,5,1,2,5
"28412",5,4,2,1,3,2,5,3
"28413",0,3,3,0,0,10,0,0
"28415",7,8,1,3,3,2,3,5
"28416",8,3,0,6,6,4,2,10
"28417",8,6,0,10,8,0,3,2
"28419",4,4,7,6,4,8,3,2
"28420",9,5,1,3,3,6,5,9
"28421",8,0,0,9,6,0,5,5
"28422",9,5,0,6,6,1,4,7
"28423",4,6,0,0,0,5,6,4
"28425",0,0,2,0,0,0,0,0
"28426",10,5,2,10,7,4,3,8
"28427",1,4,7,1,1,5,5,1
"28428",0,0,0,0,0,0,0,0
"28429",2,8,4,5,5,6,7,6
"28430",8,4,1,5,5,0,0,8
"28432",8,2,2,2,2,3,1,1
"28433",4,10,0,4,4,0,0,4
"28434",8,0,0,10,10,0,0,5
"28435",3,0,6,0,0,7,4,0
"28436",0,0,0,0,0,2,0,0
"28437",4,5,5,3,3,6,6,5
"28438",1,1,5,8,8,5,2,1
"28439",1,1,7,5,5,1,5,3
"28441",7,4,0,1,1,0,6,9
"28442",0,6,5,0,0,10,0,0
"28443",1,5,1,1,0,7,2,0
"28445",6,2,1,10,10,0,0,2
"28446",7,10,0,3,3,6,5,5
"28447",7,5,1,2,2,4,5,4
"28448",0,6,2,0,3,4,4,0
"28449",3,0,0,0,0,0,0,0
"28451",7,6,1,2,2,8,6,3
"28452",7,3,1,8,8,3,1,8
"28453",6,6,0,0,0,0,0,4
"28454",0,1,1,0,0,1,0,0
"28455",9,0,0,2,6,0,0,7
"28456",10,2,0,2,2,1,0,2
"28457",3,5,4,4,4,6,3,2
"28459",2,8,4,2,2,4,4,2
"28460",7,9,1,2,2,4,3,3
"28461",6,4,0,2,1,0,0,10
"28462",0,7,4,0,0,8,4,0
"28464",7,6,1,2,2,4,3,5
"28465",8,5,0,7,6,3,1,6
"28466",0,0,0,0,0,0,0,0
"28467",5,0,5,10,10,5,5,5
"28468",4,7,2,0,0,1,0,0
"28469",0,0,5,4,0,0,0,0
"28470",8,8,5,6,6,7,8,7
"28472",3,7,7,0,0,8,3,0
"28474",0,5,2,0,0,7,6,0
"28475",3,0,0,8,10,0,0,1
"28476",10,8,0,8,7,5,0,8
