"","cand_A","cand_B","cand_C","cand_D","cand_E","cand_F"
"43691",5,5,5,5,5,5
"43692",5,5,5,5,5,5
"43693",5,5,5,5,5,5
"43694",5,5,5,5,5,5
"43695",5,5,5,5,5,5
"43697",5,5,5,5,5,5
"43698",5,5,5,5,5,5
"43699",6,5,5,5,5,5
"43700",0,10,7,5,5,1
"43701",6,5,8,2,3,2
"43702",8,0,6,6,0,3
"43703",9,3,3,3,2,4
"43704",0,0,0,0,0,0
"43706",4,2,2,2,5,4
"43707",1,1,1,7,1,1
"43709",7,5,5,5,5,5
"43710",8,5,5,5,5,5
"43711",8,2,7,7,7,2
"43712",1,8,1,1,1,1
"43713",5,5,5,5,5,5
"43714",5,5,9,5,5,5
"43715",5,5,5,5,5,5
"43716",6,5,6,3,3,8
"43717",10,0,0,0,0,0
"43718",2,7,7,5,5,10
"43719",8,6,5,6,5,6
"43721",8,2,8,8,0,1
"43722",8,1,8,5,1,8
"43723",10,0,5,2,0,5
"43724",6,5,4,3,0,4
"43725",5,10,5,5,5,5
"43726",5,4,2,2,5,7
"43727",10,5,5,4,5,5
"43728",4,3,7,4,3,1
"43729",5,2,7,4,2,3
"43730",7,2,5,9,2,5
"43731",9,5,6,5,5,5
"43732",9,2,7,6,2,5
"43733",9,3,5,5,3,5
"43734",7,7,5,2,4,3
"43735",5,8,1,1,1,3
"43736",8,2,4,1,2,1
"43737",5,5,5,5,5,5
"43738",4,8,6,5,5,1
"43739",5,5,5,5,5,5
"43740",5,5,5,5,5,5
"43741",5,2,6,6,2,2
"43742",5,5,5,5,5,5
"43744",10,0,10,10,0,10
"43746",10,0,0,0,0,0
"43747",5,6,5,2,3,4
"43748",5,2,7,5,0,2
"43749",5,3,2,1,0,1
"43750",6,0,0,0,4,2
"43751",10,1,1,1,1,8
"43753",6,0,8,4,0,10
"43754",10,0,6,6,0,10
"43755",7,10,2,0,10,9
"43756",7,3,5,2,0,0
"43758",9,2,2,0,1,0
"43759",10,5,6,3,5,3
"43761",0,0,0,0,0,0
"43763",9,2,6,5,1,0
"43765",9,4,1,3,2,3
"43766",5,9,2,2,5,0
"43767",9,1,6,3,1,5
"43769",1,10,2,2,2,2
"43770",10,2,1,1,1,5
"43771",5,5,8,8,2,7
"43772",5,10,5,5,5,5
"43773",5,5,5,5,5,5
"43774",1,8,2,2,10,2
"43775",10,8,9,6,0,0
"43776",6,8,5,6,8,7
"43777",6,0,10,0,0,1
"43778",9,0,10,8,0,7
"43779",10,1,2,5,1,6
"43780",4,4,6,10,0,3
"43781",5,5,5,5,5,5
"43782",5,5,0,3,0,3
"43783",6,3,2,2,0,7
"43784",6,0,0,2,1,5
"43785",9,4,4,3,1,5
"43786",10,2,2,1,2,7
"43787",6,3,3,3,3,5
"43788",3,1,3,10,1,1
"43789",5,5,5,5,5,5
"43790",3,2,7,1,0,3
"43791",0,0,7,0,0,0
"43792",8,2,1,2,2,2
"43793",5,5,0,0,0,5
"43794",2,7,5,2,7,0
"43795",7,2,7,7,0,6
"43796",5,5,5,5,5,5
"43797",9,2,6,6,2,5
"43798",2,1,2,2,1,2
"43799",10,1,1,1,1,1
"43800",0,0,1,4,0,1
"43801",8,3,7,2,3,7
"43802",5,2,3,2,2,3
"43803",5,5,5,5,5,5
"43804",5,5,5,5,5,5
"43805",6,5,7,5,5,5
"43806",5,5,8,3,2,2
"43807",10,0,5,5,0,5
"43808",5,5,5,10,5,10
"43809",5,0,5,10,0,5
"43810",5,5,5,10,5,5
"43811",5,5,5,5,5,10
"43812",10,0,10,10,0,10
"43813",5,5,10,5,5,5
"43814",5,10,5,5,5,5
"43815",5,10,5,5,5,5
"43816",5,5,5,5,5,5
"43817",0,0,0,0,0,0
"43818",5,0,5,10,0,5
"43819",10,5,0,0,0,5
"43820",5,5,5,5,5,5
"43821",10,0,10,10,0,5
"43822",4,4,4,4,4,4
"43823",5,4,3,3,3,3
"43824",5,5,5,5,5,5
"43825",5,5,5,5,5,5
"43826",6,3,3,3,3,3
"43827",4,7,3,3,8,5
"43828",5,5,5,5,5,5
"43829",5,4,5,2,2,7
"43830",5,3,7,5,2,4
"43831",5,5,5,5,5,5
"43832",5,5,5,5,5,5
"43833",6,3,4,3,3,3
"43835",5,5,5,5,5,5
"43836",5,8,5,5,5,5
"43837",5,3,7,5,2,5
"43838",2,2,2,2,2,2
"43839",5,5,5,5,5,5
"43840",5,5,5,5,5,5
"43841",6,5,3,2,4,4
"43842",5,4,4,4,4,4
"43844",3,3,3,3,3,3
"43845",6,4,4,3,4,4
"43846",7,5,4,3,5,5
"43847",5,5,5,5,5,5
"43848",10,5,5,6,5,5
"43849",7,5,3,5,3,3
"43850",8,5,5,5,1,5
"43851",10,4,2,3,0,4
"43852",4,8,1,1,2,3
"43853",6,5,3,3,3,5
"43854",3,1,7,10,0,3
"43855",7,1,5,5,1,5
"43856",8,4,4,4,0,0
"43857",5,5,3,3,3,7
"43858",9,4,3,3,1,5
"43859",8,1,3,3,0,2
"43860",5,0,0,0,0,0
"43861",9,5,2,2,1,2
"43862",5,9,2,1,9,1
"43863",8,5,7,5,2,3
"43864",1,1,1,1,1,1
"43865",4,5,6,5,6,4
"43866",9,2,7,9,2,7
"43867",7,2,4,4,2,4
"43868",4,2,6,4,4,10
"43870",6,7,3,3,3,5
"43871",7,4,3,3,2,5
"43872",8,6,5,5,5,5
"43873",7,6,5,5,5,5
"43875",6,6,4,4,6,4
"43876",6,4,4,4,1,5
"43877",10,0,2,0,0,1
"43878",0,0,0,0,0,0
"43879",0,8,0,1,0,1
"43880",10,10,5,5,5,6
"43881",8,5,10,8,5,5
"43882",9,6,6,6,6,9
"43883",7,3,7,5,3,3
"43884",9,8,9,8,9,8
"43885",10,0,5,5,0,5
"43886",9,2,7,2,2,2
"43887",8,3,6,2,3,0
"43888",5,5,0,0,1,0
"43890",5,5,1,5,1,1
"43891",0,10,0,0,8,0
"43892",0,0,5,0,0,0
"43893",5,5,5,5,5,5
"43894",3,7,3,4,6,0
"43895",1,3,8,5,0,5
"43896",0,0,10,10,0,3
"43897",6,3,5,7,2,6
"43898",1,5,6,2,3,6
"43899",3,3,6,1,2,7
"43900",5,5,5,5,5,5
"43901",5,5,5,5,5,7
"43902",8,5,8,4,3,4
"43903",7,10,0,0,5,2
"43904",7,2,7,10,2,3
"43905",2,2,2,2,2,3
"43906",8,8,4,1,3,3
"43907",6,5,2,5,2,3
"43908",4,4,4,4,2,4
"43909",5,2,3,4,2,2
"43910",7,2,2,2,1,1
"43911",7,2,3,3,1,1
"43912",2,3,1,1,3,1
"43914",6,1,2,6,2,5
"43915",8,4,3,4,2,4
"43916",5,5,5,5,5,5
"43917",6,7,5,5,5,5
"43918",6,7,5,5,3,5
"43919",8,2,5,5,2,5
"43920",9,5,5,5,5,5
"43921",5,5,5,5,5,5
"43922",10,5,5,5,5,5
"43923",0,0,2,10,0,0
"43924",5,5,7,9,5,5
"43925",5,5,5,10,5,5
"43926",5,5,5,10,5,5
"43927",5,8,6,5,6,5
"43928",10,6,8,6,6,6
"43929",10,0,10,9,0,5
"43930",5,10,7,7,5,5
"43931",5,8,1,0,5,5
"43932",9,0,9,5,0,7
"43933",9,9,9,9,9,9
"43934",10,0,10,5,0,7
"43935",6,2,8,5,2,6
"43936",10,5,5,5,5,5
"43938",6,7,5,5,7,5
"43939",8,5,10,10,5,9
"43941",10,2,8,1,0,2
"43942",6,3,4,4,2,3
"43943",10,1,10,9,0,9
"43945",6,5,5,10,5,5
"43946",7,5,5,6,6,5
"43947",5,5,5,5,5,5
"43948",7,7,5,5,5,3
"43949",4,10,10,10,10,8
"43950",6,9,0,0,8,6
"43951",1,9,3,3,2,0
"43952",10,0,10,6,0,5
"43953",3,3,4,5,5,5
"43954",6,4,7,10,0,5
"43955",0,0,0,0,0,0
"43956",6,2,3,2,2,3
"43958",5,3,5,5,1,5
"43961",5,5,5,5,5,5
"43962",0,9,0,0,9,9
"43963",6,1,6,1,1,5
"43964",5,9,2,2,5,5
"43965",2,1,6,8,0,5
"43966",8,6,1,3,1,1
"43967",8,3,3,3,2,2
"43968",1,1,8,8,1,0
"43969",7,1,5,10,1,5
"43970",5,10,5,5,5,8
"43972",8,1,8,8,1,1
"43973",5,5,5,5,5,5
"43974",5,7,5,2,4,0
"43976",8,3,2,2,7,6
"43977",5,5,3,4,5,2
"43978",8,0,6,0,2,5
"43979",5,5,5,5,0,0
"43980",9,0,1,1,0,1
"43981",8,3,3,1,3,2
"43982",7,1,1,1,1,1
"43983",4,3,8,5,0,3
"43984",5,5,5,5,5,5
"43985",2,2,2,2,2,2
"43986",6,5,5,5,5,6
"43988",6,2,5,5,6,4
"43989",9,0,7,6,0,5
"43990",5,7,2,2,2,2
"43991",5,5,5,5,5,5
"43992",8,0,6,6,0,5
"43993",5,9,5,5,5,5
"43995",9,7,8,9,1,7
"43996",5,5,5,5,5,5
"43997",5,5,2,4,3,1
"43998",5,3,10,7,2,6
"43999",9,4,3,2,3,1
"44000",5,5,5,5,5,5
"44001",5,5,5,5,5,5
"44002",5,5,5,5,5,5
"44003",7,4,6,5,3,5
"44004",5,5,5,5,5,5
"44005",7,3,3,3,2,5
"44006",3,6,2,1,5,5
"44007",8,4,5,6,4,5
"44008",2,9,3,1,5,5
"44009",5,5,5,5,5,5
"44010",5,5,5,5,5,5
"44012",6,5,5,5,5,5
"44013",6,4,4,4,4,4
"44014",5,5,5,5,5,5
"44015",5,5,5,5,5,5
"44016",5,5,5,5,5,7
"44017",6,1,5,10,0,5
"44018",5,5,5,5,5,5
"44019",5,5,5,5,5,5
"44020",5,5,5,5,5,5
"44021",5,5,5,5,5,5
"44022",8,5,5,5,5,5
"44023",9,1,3,3,1,4
"44024",9,2,3,3,2,5
"44025",5,5,5,5,5,5
"44026",5,5,5,5,5,5
"44027",5,5,5,5,5,5
"44028",5,5,5,5,5,5
"44029",4,7,6,2,2,5
"44030",5,5,5,5,5,5
"44031",7,5,6,2,4,5
"44032",5,5,5,5,5,5
"44033",5,5,5,5,5,5
"44035",5,5,5,5,5,5
"44036",4,6,4,4,4,5
"44037",5,5,5,5,5,5
"44038",5,6,5,5,5,5
"44039",7,4,7,7,3,5
"44040",7,4,8,7,5,5
"44041",8,3,6,6,3,5
"44042",6,5,5,5,5,5
