"","cand_A","cand_B","cand_C","cand_D","cand_E","cand_F","cand_G","cand_I"
"50074",4,5,6,6,6,4,4,4
"50077",3,4,1,5,2,2,4,3
"50078",2,4,3,4,3,3,4,6
"50080",3,6,3,4,2,4,4,4
"50081",3,4,3,3,3,3,3,5
"50082",5,5,2,3,1,4,1,3
"50083",2,4,3,4,5,5,2,5
"50084",2,4,2,2,2,3,4,3
"50085",3,3,3,9,3,3,3,3
"50088",4,4,3,4,2,5,2,6
"50089",3,2,3,5,3,3,2,3
"50091",4,5,2,4,2,4,3,5
"50092",0,0,0,10,0,0,0,0
"50120",0,10,10,5,5,4,4,4
"50133",3,9,10,6,8,5,8,5
"50134",5,5,2,4,3,5,3,4
"50135",5,7,5,3,5,5,5,5
"50136",2,4,2,3,2,5,2,2
"50137",3,4,8,3,4,3,3,3
"50138",5,5,10,5,6,8,3,7
"50139",5,2,5,2,5,2,3,4
"50140",2,4,6,4,4,2,4,2
"50144",5,3,4,4,4,3,3,4
"50145",5,3,8,4,6,3,3,2
"50146",4,2,6,6,4,7,4,7
"50147",8,4,7,3,7,7,7,7
"50148",5,3,4,3,4,3,3,4
"50154",3,10,10,10,10,10,10,10
"50168",0,10,10,0,0,9,3,4
"50170",0,8,5,2,1,3,1,1
"50171",3,5,4,4,3,4,4,4
"50172",0,10,6,5,2,4,4,2
"50174",0,4,8,2,1,3,3,2
"50175",1,6,5,4,2,2,2,1
"50176",0,6,4,4,2,2,5,3
"50178",1,8,9,5,3,5,5,3
"50179",0,5,5,3,3,4,2,2
"50180",1,9,5,4,5,5,3,4
"50181",0,9,6,3,4,5,4,2
"50182",3,8,5,5,4,5,5,3
"50183",1,8,8,4,4,6,5,4
"50184",2,9,10,5,4,5,4,2
"50185",0,8,6,4,4,5,2,3
"50186",0,6,5,4,2,4,3,2
"50187",0,4,5,2,1,2,1,2
"50188",0,4,5,2,1,3,1,1
"50189",1,6,8,4,2,6,4,2
"50190",1,7,4,3,1,3,3,1
"50191",0,6,5,4,3,4,2,3
"50193",0,8,5,3,2,2,3,2
"50196",0,5,9,4,5,4,3,3
"50197",0,7,7,4,5,3,1,1
"50198",0,9,5,3,2,3,4,2
"50199",1,9,6,4,5,5,4,5
"50200",1,9,6,5,4,4,4,4
"50201",0,5,3,3,1,0,2,1
"50205",1,5,9,3,4,5,3,3
"50206",0,10,7,2,3,1,1,4
"50207",1,8,6,5,5,5,3,4
"50208",0,9,4,5,2,5,1,3
"50209",1,9,7,5,3,5,4,3
"50210",0,8,5,4,5,5,6,4
"50211",1,9,6,5,3,5,4,4
"50214",1,8,5,3,4,4,3,4
"50215",1,10,7,4,4,6,4,3
"50216",1,5,5,4,1,5,3,2
"50217",1,9,7,3,2,4,4,4
"50218",4,9,6,4,4,5,6,3
"50219",5,10,5,8,5,5,5,5
"50220",5,5,5,5,5,5,5,5
"50221",4,3,5,10,7,5,4,5
"50222",5,10,8,5,5,5,5,5
"50223",3,10,5,5,5,2,5,3
"50224",5,10,5,5,2,5,6,5
"50225",3,3,3,10,3,3,3,3
"50226",5,10,5,10,5,5,5,5
"50227",10,10,10,5,5,5,5,5
"50231",1,10,10,5,4,5,6,7
"50232",8,0,4,10,2,8,3,3
"50233",0,10,10,3,0,5,5,5
"50234",0,9,10,1,4,5,7,5
"50235",5,10,10,5,5,5,5,5
"50237",6,10,4,0,5,5,5,5
"50243",0,10,10,5,0,5,5,0
"50248",5,3,10,10,5,5,5,5
"50250",5,10,5,5,5,5,5,5
"50259",0,10,9,0,0,0,0,0
"50263",0,10,9,0,0,0,0,0
"50281",3,7,5,5,5,5,5,5
"50285",5,5,5,5,5,5,5,5
"50287",5,5,5,5,5,5,5,5
"50289",5,5,5,5,5,5,5,5
"50290",0,10,2,3,2,1,1,2
"50293",1,1,10,10,10,10,1,10
"50294",5,9,4,5,6,5,5,4
"50295",1,10,9,10,3,2,2,2
"50297",1,10,10,1,2,2,2,2
"50298",6,5,6,3,5,5,2,5
"50302",0,5,7,0,4,5,3,4
"50322",10,10,5,0,5,5,5,5
"50326",1,8,10,4,1,1,3,5
"50334",0,10,5,0,4,6,3,2
"50339",5,5,5,5,5,5,5,5
"50347",5,1,1,1,2,1,2,1
"50362",8,5,5,5,4,2,3,1
"50363",8,4,4,4,4,4,4,4
"50370",10,10,0,0,10,0,0,0
"50375",0,10,10,3,10,0,2,3
"50385",2,1,1,2,2,0,1,0
"50387",8,5,9,4,5,0,1,2
"50390",7,4,2,3,0,0,0,0
"50401",4,9,8,2,1,1,1,1
"50413",9,10,9,4,2,1,7,7
"50422",4,4,7,5,6,5,5,7
"50423",3,5,5,4,5,5,6,7
"50461",5,7,5,5,5,5,5,5
"50466",5,5,5,5,5,5,5,5
"50467",8,9,7,5,6,5,4,4
"50495",0,9,9,2,7,5,5,5
"50514",6,8,7,3,8,2,2,2
"50534",6,10,3,10,3,8,3,8
"50544",0,1,10,0,1,0,1,0
"50554",7,5,7,2,7,7,6,1
"50555",7,5,7,2,7,7,6,1
"50559",7,5,7,2,7,7,6,1
