"","cand_A","cand_B","cand_C","cand_D","cand_E","cand_F","cand_G","cand_H","cand_I"
"15351",5,1,0,9,8,10,2,10,0
"15354",6,7,9,0,2,0,5,0,10
"15355",5,9,5,1,1,1,7,1,8
"15356",10,4,7,0,0,0,0,0,0
"15357",5,4,0,8,7,6,5,2,0
"15358",2,1,5,0,0,0,2,1,8
"15360",7,6,1,4,5,3,4,2,2
"15361",5,10,4,3,0,0,5,0,1
"15363",9,1,0,4,7,3,3,0,0
"15364",7,1,0,6,10,9,4,4,0
"15366",5,7,3,6,3,1,9,3,0
"15367",8,7,5,2,3,1,9,1,2
"15368",8,10,4,10,8,5,8,5,1
"15369",6,9,8,2,0,0,7,0,2
"15371",8,1,1,6,9,8,6,5,0
"15373",4,9,6,1,1,1,8,0,5
"15374",10,4,4,5,7,6,2,2,0
"15376",8,2,8,3,3,3,4,2,4
"15378",5,0,0,0,2,0,4,0,5
"15380",3,9,2,1,2,2,9,0,0
"15381",8,0,0,7,10,9,3,5,0
"15383",10,3,2,5,9,7,4,5,1
"15384",10,6,6,1,3,1,5,0,1
"15386",6,2,2,4,8,5,3,4,1
"15388",5,3,0,6,7,6,4,3,0
"15389",6,8,1,7,3,3,7,7,1
"15390",8,2,0,4,6,5,3,3,0
"15391",6,4,1,4,4,5,3,0,2
"15392",8,8,5,0,5,1,6,1,4
"15393",6,10,5,4,1,0,7,0,4
"15394",6,0,0,9,10,8,2,6,0
"15395",7,7,6,4,2,1,8,0,2
"15396",3,10,7,4,2,0,9,2,3
"15397",8,0,0,9,10,8,0,0,0
"15398",10,0,5,10,7,7,2,3,6
"15399",5,10,1,4,3,1,7,2,1
"15400",3,7,9,2,3,0,4,0,0
"15401",5,7,5,3,4,4,4,2,3
"15402",8,3,0,8,7,4,2,2,0
"15403",3,9,4,4,3,1,4,0,0
"15404",4,3,1,7,6,4,3,2,1
"15405",8,5,2,5,10,6,3,0,1
"15406",5,5,0,8,6,6,4,1,1
"15407",2,2,10,2,0,0,2,0,0
"15408",10,0,0,0,2,0,0,0,5
"15409",6,9,8,0,1,0,6,0,8
"15410",7,9,5,0,5,0,8,0,0
"15411",10,0,0,7,9,7,5,3,0
"15412",8,4,2,4,6,4,4,1,0
"15413",5,10,5,1,0,0,10,0,0
"15414",5,8,2,5,0,0,10,0,5
"15415",9,2,2,6,7,7,3,7,0
"15417",6,3,1,8,9,9,8,8,0
"15418",9,5,2,9,8,6,8,6,0
"15419",5,10,4,0,2,0,9,0,2
"15422",7,4,4,0,2,0,2,0,7
"15424",8,2,1,6,8,8,4,5,0
"15425",10,1,1,1,9,9,1,1,1
"15427",6,9,3,6,2,0,9,3,0
"15428",7,3,0,6,10,7,4,3,0
"15429",6,8,2,7,4,2,8,0,2
"15430",8,9,1,4,2,0,7,0,2
"15431",8,2,0,9,10,10,6,10,0
"15432",1,10,0,3,1,0,10,1,2
"15433",9,2,2,9,9,9,6,10,3
"15434",10,5,0,0,10,8,0,2,0
"15435",6,6,0,9,7,6,5,8,0
"15436",7,7,2,9,7,6,6,7,1
"15438",7,5,0,8,8,7,5,6,0
"15439",9,4,7,6,10,8,5,5,0
"15441",5,6,3,4,1,1,4,1,2
"15442",10,3,0,9,9,9,0,9,0
"15443",9,4,4,5,6,5,5,4,0
"15444",7,3,8,0,0,0,0,0,9
"15445",7,4,1,5,5,4,5,2,1
"15447",2,2,0,6,8,7,3,5,0
"15448",5,10,5,3,0,0,8,0,4
"15449",6,3,3,5,3,5,4,4,2
"15450",7,5,9,1,4,0,3,0,3
"15451",4,9,7,0,0,0,0,0,0
"15452",6,4,0,10,6,6,3,5,0
"15453",5,10,6,0,0,0,10,0,0
"15455",5,10,0,7,3,0,7,0,0
"15456",9,2,0,9,8,7,2,7,0
"15457",5,6,1,8,4,2,4,4,0
"15459",5,7,3,6,3,3,7,1,0
