"","cand_A","cand_B","cand_C","cand_D","cand_F"
"1089",5,2,0,3,3
"1090",8,5,0,8,3
"1091",2,6,9,0,0
"1092",8,6,0,7,7
"1093",10,3,5,3,0
"1094",5,5,0,3,2
"1095",4,9,5,3,0
"1096",5,4,4,2,0
"1097",10,3,2,9,0
"1099",8,3,5,5,2
"1100",5,5,6,5,5
"1101",10,2,0,8,0
"1102",1,1,5,4,4
"1103",8,2,0,9,0
"1104",7,3,2,5,7
"1105",5,0,0,5,10
"1106",3,5,3,3,1
"1107",3,5,5,2,0
"1108",6,10,8,5,9
"1109",0,9,8,0,0
"1110",5,10,0,0,0
"1111",1,9,7,1,0
"1112",0,9,10,1,0
"1113",5,8,10,4,0
"1114",9,4,0,8,1
"1115",9,2,5,5,5
"1116",7,0,0,7,10
"1117",0,10,4,1,0
"1118",1,6,9,1,0
"1119",10,0,0,10,0
"1120",0,6,0,0,0
"1121",1,7,2,3,0
"1122",5,7,5,5,0
"1123",6,4,6,3,0
"1124",2,7,9,1,0
"1125",6,6,0,0,6
"1126",5,8,5,5,5
"1127",0,5,5,2,5
"1128",5,7,8,5,0
"1129",9,7,5,5,3
"1130",5,7,6,5,4
"1131",6,2,0,3,5
"1132",10,10,0,0,0
"1133",2,7,6,0,0
"1134",3,9,8,3,0
"1135",0,8,9,0,0
"1136",1,0,5,5,0
"1137",6,8,7,6,0
"1138",7,7,7,7,3
"1139",2,8,9,1,0
"1140",4,9,7,4,1
"1141",10,2,0,10,5
"1142",9,4,2,7,9
"1143",0,10,0,1,0
"1144",4,10,9,1,0
"1145",5,6,1,4,3
"1146",7,5,2,3,0
"1147",0,7,9,0,0
"1148",6,0,0,6,9
"1149",5,5,5,5,5
"1150",7,5,4,6,2
"1151",9,2,0,8,3
"1152",10,1,5,10,5
"1153",10,9,3,9,2
"1154",9,1,1,5,4
"1155",9,0,1,1,1
"1156",3,9,2,0,2
"1157",3,4,0,4,2
"1158",8,7,0,7,8
"1159",8,4,0,7,8
"1160",3,10,9,5,3
"1161",6,6,6,3,5
"1162",10,8,8,8,2
"1163",7,4,3,7,6
"1164",10,1,2,10,2
"1165",4,2,2,3,8
"1166",8,7,5,5,0
"1167",5,5,5,4,1
"1168",3,7,5,1,0
"1169",1,4,5,2,0
"1170",3,7,4,1,0
"1171",10,5,0,7,4
"1172",9,3,0,10,6
"1173",8,3,2,4,1
"1174",4,9,6,3,0
"1175",0,10,4,4,4
"1176",3,9,8,3,1
"1177",5,5,5,5,0
"1178",10,1,5,5,9
"1179",2,10,5,5,5
"1180",0,10,8,0,0
"1181",0,7,7,1,0
"1182",2,7,7,4,0
"1183",7,9,7,5,6
"1184",7,6,3,4,3
"1185",6,3,0,4,0
"1186",3,8,3,3,1
"1187",4,2,10,4,0
"1188",4,8,4,2,0
"1189",10,0,0,0,0
"1190",7,6,3,4,8
"1191",2,7,10,4,0
"1192",4,6,4,3,0
"1193",5,7,6,6,0
"1194",7,0,3,7,0
"1195",6,4,2,4,4
"1196",8,5,4,8,6
"1197",1,6,8,1,0
"1198",4,10,6,4,3
"1199",5,9,10,6,0
"1200",10,3,1,9,2
"1201",6,7,9,6,2
"1202",7,3,8,2,0
"1203",4,6,7,3,0
"1204",6,4,5,4,3
"1205",8,3,10,7,0
"1206",8,7,7,7,0
"1207",0,8,7,0,0
"1208",3,8,9,2,0
"1210",4,4,4,5,4
"1211",8,7,5,8,2
"1212",6,8,5,5,0
"1213",3,3,4,2,0
"1214",5,5,6,5,0
"1215",10,3,3,8,1
"1216",5,0,0,5,0
"1217",7,0,0,8,8
"1218",8,1,0,9,4
"1219",4,6,8,3,0
"1220",6,8,7,0,0
"1221",6,6,3,3,0
"1222",8,1,0,2,2
"1223",10,0,0,10,7
"1224",9,3,4,8,4
"1225",4,3,3,4,10
"1226",3,3,5,1,0
"1227",4,6,7,0,0
"1228",0,0,0,0,0
"1229",0,8,7,0,0
"1230",4,5,7,2,0
"1231",10,0,0,9,5
"1232",2,7,6,1,10
"1234",2,7,10,3,7
"1235",10,3,4,10,7
"1236",0,6,7,0,0
"1237",3,8,6,3,0
"1238",3,7,7,2,0
"1240",5,8,7,2,0
"1241",8,4,2,8,2
"1242",1,6,3,0,0
"1243",3,10,0,2,0
"1244",8,5,10,2,0
"1245",7,2,0,5,4
"1246",0,8,8,0,0
"1247",0,10,1,0,0
"1248",8,4,5,0,0
"1249",5,5,5,5,5
"1250",2,7,0,0,0
"1251",9,8,6,10,6
"1252",7,0,0,7,0
"1253",10,2,0,7,6
"1254",8,0,4,8,0
"1255",0,9,8,0,0
"1256",6,5,1,5,5
"1257",5,0,0,2,8
"1258",10,4,2,7,4
"1259",3,9,9,3,0
"1260",6,4,4,6,6
"1261",0,6,8,0,0
"1263",5,5,5,5,1
"1264",2,7,7,4,0
"1265",0,0,8,0,0
"1266",2,10,9,4,1
"1267",1,9,10,0,0
"1268",5,0,0,0,10
"1269",6,5,3,4,7
"1270",0,3,8,0,0
"1271",1,2,2,1,1
"1272",10,0,0,1,1
"1273",8,0,0,5,2
"1274",7,5,0,7,0
"1275",9,8,6,10,4
"1276",6,5,5,5,0
"1277",7,0,0,8,6
"1278",6,8,9,7,0
"1279",9,1,0,9,2
"1280",0,10,5,3,0
"1281",8,0,0,8,0
"1282",0,10,7,0,0
"1283",8,2,0,8,6
"1284",6,7,5,4,2
"1285",0,0,0,0,7
"1286",0,8,8,0,0
"1287",0,8,8,0,0
"1288",9,2,1,8,9
"1289",8,6,5,5,3
"1290",5,5,7,5,5
"1291",10,3,3,8,0
"1292",4,10,7,5,0
"1293",2,7,5,0,0
"1294",9,6,4,8,0
"1295",4,8,7,0,0
"1296",0,6,9,0,0
"1297",0,0,0,0,0
"1298",7,6,4,6,0
"1299",7,6,5,5,5
"1300",4,6,9,3,0
"1301",6,10,9,5,0
"1302",6,7,0,0,0
"1303",6,6,6,0,0
"1305",10,7,0,10,7
"1306",10,4,5,8,2
"1307",6,5,6,7,5
"1308",2,10,10,1,0
"1309",5,5,5,5,3
"1310",8,5,1,9,0
"1311",8,3,0,8,0
"1312",5,5,5,5,5
"1313",6,9,7,5,0
"1314",0,7,0,0,0
"1315",3,7,6,2,2
"1316",5,6,5,0,0
"1317",8,4,2,5,5
"1318",4,8,7,6,0
"1319",5,10,8,3,0
"1320",8,4,7,3,2
"1321",10,2,0,9,2
"1322",7,3,0,7,8
"1324",5,1,1,5,1
"1325",9,0,0,10,10
"1326",9,0,0,8,8
"1327",6,7,6,5,4
"1328",10,1,1,8,1
"1329",7,5,5,5,0
"1330",3,10,8,2,0
"1331",10,4,0,10,7
"1332",5,5,5,5,5
"1333",7,7,5,7,1
"1334",10,2,1,9,9
"1335",5,7,7,7,0
"1336",9,2,2,4,5
"1337",2,10,9,0,0
"1338",9,1,4,5,7
"1339",10,3,1,8,0
"1340",0,7,8,0,0
"1341",6,7,5,3,0
"1342",8,7,1,5,4
"1343",5,5,0,7,8
"1344",4,7,2,3,0
"1345",0,3,4,0,0
"1346",10,1,0,8,8
"1347",8,4,3,9,5
"1348",10,4,0,2,5
"1349",6,3,1,7,5
"1350",6,7,7,5,0
"1351",5,4,1,6,1
"1352",2,4,2,2,2
"1353",6,5,5,6,8
"1354",10,0,7,10,4
"1355",2,10,10,10,2
"1356",1,1,1,1,1
"1357",6,7,8,5,3
"1358",4,1,1,6,10
"1359",9,7,8,7,5
"1360",7,4,0,8,4
"1361",5,5,0,5,10
"1362",3,10,6,4,0
"1363",1,1,1,1,10
"1364",9,5,4,7,7
"1365",2,10,4,4,0
"1366",8,3,2,7,8
"1367",8,0,0,7,5
"1368",3,4,5,0,1
"1369",8,3,2,6,6
"1370",5,6,3,5,0
"1371",2,10,0,0,7
"1372",10,6,5,5,10
"1373",5,7,6,3,0
"1374",10,3,6,9,5
"1375",6,3,7,4,0
"1376",6,5,2,3,3
"1377",0,4,5,4,3
"1378",5,5,5,4,0
"1379",1,9,8,5,0
"1380",5,5,5,5,5
"1381",8,6,4,6,5
"1382",9,7,8,5,9
"1383",6,10,9,2,0
"1385",3,9,8,1,0
"1386",7,4,4,3,1
"1387",10,6,0,6,7
"1388",10,0,0,8,5
"1389",7,2,1,2,1
"1390",7,8,3,4,2
"1391",0,10,10,0,0
"1392",2,10,10,0,0
"1393",6,3,7,3,8
"1394",6,1,0,6,6
"1395",5,2,0,4,2
"1396",8,0,1,3,3
"1398",7,3,1,6,6
"1399",7,3,1,8,8
"1400",5,8,7,4,0
"1401",7,3,0,4,4
"1402",5,9,9,3,0
"1403",5,5,5,5,3
"1404",0,9,8,0,0
"1405",4,7,6,4,0
"1407",8,4,3,5,1
"1408",6,5,9,6,1
"1409",6,5,4,4,1
"1410",9,5,1,8,1
"1411",4,4,8,4,4
"1412",2,7,8,1,0
"1413",8,1,1,6,6
"1414",5,6,6,4,6
"1415",0,10,5,5,7
"1416",8,8,5,5,0
"1417",5,7,9,5,0
"1418",5,3,3,7,3
"1419",4,9,9,5,0
"1420",5,7,4,5,0
"1421",3,7,10,2,2
"1423",4,7,7,2,0
"1424",5,5,5,5,0
"1425",9,4,6,7,0
"1426",8,6,0,0,0
"1427",9,0,0,7,6
"1428",10,1,0,10,0
"1429",8,8,1,6,6
"1430",6,6,6,10,0
"1431",1,10,7,1,0
"1432",5,5,3,3,0
"1433",3,7,7,5,5
"1434",7,0,1,6,6
"1435",4,8,5,4,0
"1436",4,6,8,0,0
"1437",1,7,10,1,0
"1438",3,4,7,2,0
"1439",7,5,3,7,5
"1440",8,3,0,0,0
"1441",8,5,0,8,2
"1442",4,8,4,6,2
"1443",2,5,2,2,0
"1444",4,10,5,4,5
"1445",9,8,7,3,0
"1446",6,5,1,1,9
"1447",5,5,5,5,1
"1448",7,7,7,0,0
"1449",7,7,3,5,2
"1450",5,8,5,5,5
"1451",6,7,6,5,1
"1452",10,1,4,10,6
"1453",5,10,3,1,1
"1454",5,6,5,6,0
"1455",10,4,0,4,10
"1456",6,4,1,0,0
"1457",4,9,7,4,0
"1458",10,0,0,10,8
"1459",7,5,6,6,5
"1460",4,4,4,4,0
"1461",3,8,10,3,0
"1462",10,2,0,6,0
"1463",10,0,0,9,10
"1464",8,6,8,0,0
"1465",1,6,8,1,0
"1467",9,8,7,8,2
"1468",8,5,0,7,1
"1469",2,1,0,10,2
"1470",3,3,3,3,0
"1471",10,1,0,10,9
"1472",10,0,0,10,7
"1473",10,3,0,7,3
"1474",3,7,6,4,6
"1475",10,2,1,10,1
"1476",0,3,8,2,0
"1477",9,0,0,8,5
"1478",5,5,5,5,8
"1479",9,2,0,7,4
"1480",6,3,0,7,0
"1481",2,7,8,5,0
"1482",5,5,5,5,5
"1483",0,5,5,5,10
"1484",3,6,4,3,0
"1485",7,7,5,2,3
"1486",3,7,1,5,0
"1487",5,7,1,4,8
"1488",10,2,0,10,0
"1489",7,0,0,7,7
"1490",0,5,1,5,10
"1491",1,10,9,4,0
"1492",3,3,4,2,3
"1493",7,4,5,6,3
"1494",6,6,5,5,3
"1495",0,8,10,0,0
"1496",0,5,0,0,0
"1497",7,4,7,2,2
"1498",3,9,8,4,0
"1499",6,3,3,5,1
"1500",9,0,0,10,0
"1501",3,7,5,3,0
"1502",8,5,2,5,1
"1503",2,8,6,2,0
"1504",3,5,3,8,6
"1505",6,3,5,6,0
"1506",2,1,0,2,1
"1507",1,7,8,2,0
"1508",9,1,4,5,2
"1509",0,7,10,1,0
"1510",10,0,0,10,1
"1511",10,0,0,10,0
"1512",4,4,8,4,0
"1513",0,0,0,5,10
"1514",7,0,0,10,2
"1515",7,5,2,7,1
"1516",4,2,0,2,0
"1517",1,8,8,7,4
"1518",0,10,10,0,0
"1519",7,4,6,5,1
"1520",1,1,4,8,10
"1521",0,6,10,0,0
"1522",7,3,0,5,6
"1523",0,6,6,0,0
"1524",5,1,0,5,9
"1525",1,6,5,2,1
"1526",0,5,2,0,0
"1527",2,8,7,3,0
"1528",3,6,4,1,0
"1529",3,6,8,3,0
"1530",6,8,8,0,0
"1531",2,6,8,1,0
"1532",0,0,10,0,0
"1533",4,8,10,4,0
"1534",0,0,7,0,0
"1535",8,5,4,6,0
"1536",2,10,7,1,0
"1537",4,5,8,3,0
"1538",9,6,4,4,5
"1539",10,5,1,5,4
"1540",7,8,7,7,4
"1541",8,6,8,7,5
"1542",7,3,6,6,3
"1543",9,0,0,10,0
"1544",0,7,10,0,0
"1545",3,5,6,1,0
"1546",10,5,0,10,2
"1547",2,8,7,0,0
"1548",5,5,3,5,4
"1549",0,8,7,0,3
"1550",5,5,5,5,4
"1551",3,7,5,3,0
"1552",5,5,7,5,0
"1553",5,7,8,6,5
"1554",1,3,9,1,0
"1555",8,8,6,10,0
"1557",10,1,0,8,2
"1558",10,9,2,8,6
"1559",9,10,2,2,2
"1560",10,0,0,10,4
"1561",9,2,0,7,5
"1562",6,2,2,2,2
"1563",7,1,0,5,2
"1564",7,1,0,6,2
"1565",0,7,9,0,0
"1566",5,7,4,0,0
"1567",1,10,10,2,0
"1568",9,0,0,8,8
"1569",9,2,3,9,7
"1570",9,2,5,7,3
"1571",5,5,2,5,5
"1572",4,6,7,4,1
"1573",5,9,9,5,0
"1574",7,4,4,6,0
"1575",3,5,6,3,1
"1576",2,8,7,1,0
"1577",8,2,5,6,0
"1578",7,7,7,5,3
"1580",5,9,5,5,1
"1582",10,1,0,10,9
"1583",8,8,5,6,4
"1584",8,6,6,7,2
"1585",5,8,5,5,5
"1586",7,4,4,7,3
"1587",0,10,6,0,0
"1588",9,0,0,8,6
"1589",5,8,8,5,7
"1590",5,6,9,5,2
"1591",5,10,5,5,0
"1592",1,1,4,10,10
"1593",5,6,6,2,0
"1594",5,5,5,5,0
"1595",4,7,8,5,0
"1596",6,9,4,8,4
"1597",8,5,0,10,5
"1598",8,4,0,4,7
"1599",8,7,1,9,8
"1600",3,8,7,3,0
"1601",9,6,8,9,10
"1602",0,0,6,0,0
"1603",0,10,7,0,5
"1604",1,5,5,5,5
"1605",10,0,0,8,1
"1606",6,3,0,6,5
"1607",10,2,0,6,6
"1608",7,1,5,1,0
"1609",4,6,10,3,0
"1610",3,8,8,3,3
"1611",7,7,3,7,0
"1612",9,4,1,8,8
"1613",7,6,6,8,1
"1614",5,5,0,2,1
"1615",6,7,4,5,1
"1616",5,5,5,5,5
"1617",0,10,6,4,0
"1618",10,3,4,9,1
"1619",10,0,0,10,5
"1620",0,7,10,2,0
"1621",8,3,0,8,3
"1622",5,10,3,2,2
"1623",0,8,8,0,0
"1624",2,8,8,0,0
"1625",8,0,0,7,7
"1626",6,7,1,4,2
"1627",5,3,1,3,4
"1628",0,8,7,0,0
"1629",7,0,0,5,5
"1630",6,7,6,4,0
"1631",4,8,5,5,10
"1632",3,3,3,3,0
"1633",3,10,7,3,0
"1634",3,7,5,3,0
"1635",4,5,6,4,2
"1636",8,6,7,6,2
"1637",10,5,5,5,0
"1638",4,8,7,5,5
"1639",5,5,1,3,4
"1640",3,7,9,2,0
"1641",7,8,9,3,0
"1642",7,5,10,0,0
"1643",3,3,8,6,6
"1644",10,0,0,9,8
"1645",0,10,2,0,4
"1646",5,7,3,3,1
"1647",2,3,5,2,0
"1648",10,0,0,10,6
"1649",2,8,9,2,0
"1650",7,3,0,9,5
"1651",3,4,0,3,6
"1652",0,4,8,0,0
"1653",2,10,7,2,4
"1654",10,5,8,5,8
"1655",7,6,2,2,1
"1656",8,3,2,7,5
"1657",5,5,4,4,0
"1658",8,8,1,9,0
"1659",10,0,0,5,3
"1660",5,3,6,1,0
"1661",1,1,1,1,1
"1662",0,2,1,0,0
"1663",0,0,0,0,0
"1664",7,0,4,7,9
"1665",4,1,0,5,10
"1666",3,4,8,4,3
"1667",2,7,4,0,0
"1668",5,6,8,4,0
"1669",8,7,6,6,1
"1670",2,9,8,3,0
"1671",1,9,9,3,0
"1672",2,2,0,0,9
"1673",4,6,7,0,0
"1674",7,3,0,5,10
"1676",6,5,4,3,1
"1677",0,4,3,0,0
"1678",9,3,0,9,6
"1679",5,5,8,8,0
"1680",2,3,8,0,0
"1681",6,8,7,5,5
"1682",2,8,3,2,1
"1683",4,3,5,4,9
"1684",1,6,9,1,0
"1685",0,2,0,0,10
"1686",0,7,8,0,0
"1687",7,4,0,5,4
"1688",7,2,8,0,0
"1689",0,6,6,0,0
"1690",10,0,0,9,0
"1691",0,10,10,0,0
"1692",5,7,3,6,3
"1693",5,5,8,5,3
"1694",2,0,0,0,0
"1695",5,5,2,5,5
"1696",5,8,6,3,2
"1697",0,1,7,0,0
"1698",3,8,5,5,0
"1699",7,3,0,7,0
"1700",10,0,0,9,0
"1701",0,7,7,0,0
"1702",5,5,5,5,0
"1703",8,1,0,6,10
"1704",0,0,0,0,0
"1705",8,1,4,5,4
"1706",3,7,5,3,0
"1707",6,3,6,5,5
"1708",10,4,2,5,4
"1709",2,0,0,2,10
"1710",2,5,5,0,0
"1711",7,6,1,7,3
"1712",4,0,0,0,10
"1713",0,0,1,0,3
"1714",6,5,0,8,6
"1715",1,5,3,5,3
"1716",0,8,7,0,0
"1717",5,8,8,6,8
"1718",4,9,5,4,3
"1719",5,5,5,5,0
"1720",3,8,6,5,8
"1721",7,5,5,8,0
"1722",8,7,5,8,7
"1723",7,7,4,5,0
"1724",6,6,4,5,0
"1725",7,6,6,4,3
"1726",10,2,0,10,0
"1727",10,5,3,9,2
"1728",1,8,9,1,0
"1729",6,4,3,5,5
"1730",4,7,5,5,6
"1731",9,4,6,9,2
"1733",2,8,8,0,0
"1734",7,8,8,5,0
"1735",7,8,2,4,2
"1736",8,4,6,8,5
"1737",3,5,7,2,0
"1738",8,7,4,3,1
"1739",10,0,0,10,6
"1740",7,3,3,2,4
"1741",9,1,2,7,2
"1742",10,2,2,2,2
"1743",2,8,5,5,0
"1744",3,8,6,0,0
"1745",7,5,6,5,0
"1746",10,6,3,8,5
"1747",10,1,1,10,3
"1748",0,1,10,0,0
"1749",4,5,9,8,7
"1750",3,7,8,3,0
"1751",8,3,1,8,6
"1752",9,2,5,2,0
"1753",2,9,8,0,0
"1754",8,5,0,8,1
"1755",5,4,5,4,0
"1756",5,10,5,0,0
"1757",6,6,6,5,4
"1758",9,3,5,8,6
"1759",2,6,1,2,8
"1761",1,5,6,1,0
"1762",7,3,4,5,0
"1763",0,8,10,0,0
"1764",1,8,5,1,2
"1765",3,4,7,5,1
"1766",0,4,4,0,0
"1767",10,1,7,0,5
"1768",9,4,0,7,2
"1769",3,4,6,3,1
"1770",5,5,0,4,2
"1771",5,7,7,5,0
"1772",9,3,0,9,5
"1773",4,9,2,3,5
"1774",1,7,8,0,0
"1775",6,8,7,4,3
"1776",9,2,1,8,1
"1777",8,7,7,0,0
"1778",7,3,0,7,0
"1779",7,2,1,10,2
"1780",10,0,0,10,2
"1781",6,0,7,3,6
"1782",1,7,7,3,3
"1783",9,5,6,7,6
"1784",6,8,7,6,1
"1785",7,9,7,5,4
"1786",4,7,5,4,3
"1787",4,5,8,4,0
"1788",9,2,4,7,3
"1790",5,3,2,4,0
"1791",6,8,3,5,8
"1792",10,0,0,0,5
"1793",4,7,4,1,1
"1794",7,6,3,7,3
"1795",3,6,4,3,2
"1796",8,8,9,9,9
"1797",6,9,8,6,0
"1798",10,3,4,2,0
"1799",4,7,0,3,0
"1800",8,0,0,10,1
"1801",8,2,0,9,1
"1802",7,3,3,6,2
"1803",2,5,0,2,5
"1804",8,8,5,3,7
"1806",8,9,5,4,4
"1807",2,5,4,4,5
"1808",5,5,2,5,3
"1809",4,4,2,3,1
"1810",0,0,0,0,1
"1811",5,4,9,6,9
"1812",6,6,8,5,10
"1813",0,7,7,0,0
"1814",6,6,5,5,0
"1815",9,0,0,9,5
"1816",8,6,5,10,0
"1817",8,8,5,3,0
"1818",6,8,4,4,0
"1819",10,5,5,5,5
"1820",5,10,9,5,0
"1821",9,5,0,4,0
"1822",7,2,0,3,10
"1823",4,4,4,4,4
"1824",2,5,8,1,0
"1825",3,7,7,3,0
"1826",5,9,8,3,0
"1827",0,4,9,1,0
"1828",8,7,6,5,5
"1829",5,5,0,4,3
"1830",10,0,5,10,5
"1831",9,4,0,8,5
"1832",1,9,7,1,1
"1833",5,5,7,5,5
"1834",8,6,5,7,4
"1835",0,9,8,0,0
"1836",5,6,10,0,0
"1837",7,7,8,5,0
"1838",8,3,7,5,7
"1839",4,6,6,3,2
"1840",0,7,6,4,3
"1841",3,8,5,3,0
"1842",7,0,0,6,5
"1843",9,7,6,7,4
"1844",5,5,5,5,5
"1845",10,3,0,9,9
"1846",10,4,6,9,4
"1847",7,4,0,7,0
"1848",7,6,1,1,1
"1849",1,8,9,1,0
"1850",10,1,0,7,5
"1851",5,8,5,5,3
"1852",10,0,0,0,0
"1853",5,5,5,5,5
"1854",5,8,7,4,2
"1855",0,7,8,1,0
"1857",9,3,5,7,5
"1858",6,7,10,5,0
"1859",8,6,6,8,0
"1860",7,8,1,7,0
"1861",5,9,6,2,0
"1862",3,8,5,2,10
"1863",6,5,10,2,1
"1864",7,4,1,5,5
"1865",7,2,9,5,0
"1866",3,4,5,5,2
"1867",2,8,10,1,0
"1868",10,6,5,4,0
"1869",7,6,5,7,7
"1870",0,10,5,0,0
"1871",9,2,1,9,0
"1872",3,7,1,8,7
"1873",3,3,3,3,0
"1874",7,7,6,7,2
"1875",4,2,0,2,1
"1876",0,0,0,0,0
"1877",5,5,7,0,0
"1878",5,6,5,2,0
"1879",0,5,5,0,0
"1880",4,6,5,5,2
"1881",2,10,10,1,0
"1882",2,8,9,2,0
"1883",9,3,4,8,7
"1884",4,8,9,2,0
"1885",5,7,7,5,1
"1886",0,10,10,0,0
"1887",2,8,5,3,0
"1888",10,2,0,8,0
"1890",6,2,3,5,4
"1891",8,5,5,5,3
"1892",6,6,5,0,0
"1893",0,5,5,0,0
"1894",7,0,0,3,0
"1895",3,7,8,1,0
"1896",0,9,10,0,0
"1897",8,1,0,8,2
"1898",5,3,3,5,0
"1899",0,10,0,0,0
"1900",7,0,2,7,5
"1901",7,9,2,6,6
"1902",3,8,8,0,0
"1903",10,4,6,10,5
"1904",3,2,0,0,0
"1906",2,7,8,2,0
"1907",6,5,5,5,1
"1908",3,7,5,4,0
"1909",9,2,5,8,9
"1910",0,9,10,0,0
"1911",7,3,0,6,9
"1912",5,7,5,5,1
"1913",7,2,0,7,6
"1914",3,5,6,3,1
"1915",2,8,9,2,1
"1916",9,3,3,9,10
"1917",0,0,0,0,5
"1918",5,10,10,5,1
"1919",4,3,8,3,0
"1920",4,9,8,1,2
"1921",2,8,9,5,1
"1922",6,6,6,5,0
"1923",5,5,10,1,0
"1925",7,2,5,0,0
"1926",8,0,1,8,6
"1927",10,0,0,8,0
"1928",5,6,7,4,0
"1929",4,9,8,3,1
"1930",1,0,7,1,1
"1931",2,4,4,0,0
"1932",10,0,5,5,0
"1933",10,5,0,10,7
"1934",0,10,7,0,0
"1935",7,0,0,7,6
"1936",10,0,0,10,5
"1937",4,4,3,1,0
"1938",4,8,8,4,0
"1939",5,7,5,5,3
"1940",4,8,8,3,0
"1941",7,5,8,7,0
"1942",3,10,8,3,1
"1944",9,1,1,7,2
"1945",0,7,7,0,0
"1946",5,0,0,0,10
"1947",3,4,4,4,0
"1949",0,3,7,0,0
"1950",4,5,3,4,5
"1951",2,6,3,2,0
"1952",5,5,5,6,0
"1954",0,7,10,0,0
"1955",10,2,0,10,8
"1956",8,9,5,6,6
"1957",6,8,8,8,10
"1958",7,6,5,4,0
"1959",10,4,4,6,4
"1960",10,0,0,5,7
"1961",4,9,5,5,2
"1962",8,4,1,8,5
"1963",10,0,0,0,10
"1964",0,10,10,0,0
"1965",8,3,0,4,1
"1966",5,8,7,5,4
"1967",0,10,5,5,5
"1968",5,5,5,5,5
"1969",7,5,1,5,4
"1970",9,6,5,7,0
"1971",8,0,0,6,5
"1972",6,6,7,8,8
"1973",10,0,5,5,5
"1974",0,10,10,0,0
"1975",0,10,5,0,0
"1976",5,6,8,5,2
