"","cand_A","cand_B","cand_C","cand_D","cand_F"
"248",0,10,7,3,0
"249",9,2,2,4,5
"250",7,6,8,7,0
"251",5,5,5,5,5
"252",4,7,6,3,1
"253",6,10,7,5,1
"254",3,6,8,3,0
"255",7,8,8,7,1
"256",7,2,5,9,10
"259",10,3,0,9,0
"260",10,0,0,10,5
"261",9,1,0,8,8
"262",7,3,2,4,3
"263",9,6,6,9,1
"264",3,5,6,1,0
"265",8,0,0,7,3
"266",10,0,0,10,6
"267",10,2,1,7,5
"268",4,10,9,0,0
"269",8,5,6,7,2
"270",10,0,0,5,0
"271",10,5,1,5,0
"272",7,4,1,6,5
"273",5,0,0,5,10
"274",8,7,4,6,6
"275",9,5,0,9,5
"276",10,3,0,10,5
"277",10,3,3,8,6
"278",8,10,5,3,0
"279",2,2,3,2,2
"280",5,5,5,5,5
"281",7,6,1,2,0
"282",0,7,9,0,0
"283",9,3,4,8,1
"284",5,8,8,0,0
"285",10,0,0,10,10
"286",10,0,0,10,7
"287",7,10,10,7,0
"288",9,1,3,9,5
"289",1,10,6,3,4
"290",7,3,6,5,0
"291",2,7,5,3,0
"292",7,5,6,4,0
"293",0,8,0,0,0
"294",0,10,7,0,0
"295",2,5,2,2,2
"296",8,3,2,7,5
"297",3,10,6,2,0
"298",8,3,1,9,1
"299",5,6,6,5,6
"300",6,6,6,5,3
"301",3,8,8,0,0
"302",7,5,5,3,5
"303",2,7,9,1,0
"304",1,1,1,1,1
"305",5,9,7,3,3
"306",4,8,8,0,0
"307",8,0,0,7,6
"308",5,5,5,5,5
"309",9,4,0,5,7
"310",0,9,6,0,0
"311",1,7,1,5,10
"312",8,2,3,8,0
"313",4,8,7,5,0
"314",0,10,5,0,0
"315",4,10,8,4,0
"316",6,9,4,3,4
"317",2,7,10,0,0
"318",10,0,0,5,9
"319",2,9,6,2,0
"320",0,10,7,5,0
"321",4,7,4,5,2
"322",9,3,5,2,0
"323",1,6,7,2,0
"324",3,8,8,3,0
"325",8,3,7,7,7
"326",0,9,0,0,0
"327",8,0,0,8,5
"328",2,9,7,1,0
"329",8,1,0,1,0
"330",9,1,0,8,6
"331",2,8,7,0,0
"332",10,0,0,10,0
"333",2,10,7,1,0
"334",10,4,1,10,5
"335",8,1,3,2,2
"336",10,0,0,10,5
"337",0,10,8,0,0
"338",3,7,6,2,0
"339",0,6,7,0,0
"340",5,5,5,5,2
"341",8,7,3,5,2
"342",5,7,10,5,0
"343",0,0,0,0,0
"344",0,7,8,0,0
"345",2,10,5,5,4
"346",10,6,5,7,3
"347",8,5,4,5,0
"348",0,6,9,0,0
"349",10,10,7,8,10
"350",8,5,5,6,5
"351",4,0,0,0,10
"352",2,5,8,0,0
"353",10,0,0,9,8
"354",2,6,6,2,0
"355",5,7,7,5,0
"356",5,5,0,5,3
"357",8,0,0,8,8
"358",7,5,3,6,5
"359",10,2,0,10,10
"360",5,5,9,4,0
"361",2,7,10,2,0
"362",5,0,5,0,10
"363",10,0,0,10,5
"364",10,0,0,10,2
"365",10,0,0,7,6
"366",8,7,4,6,0
"367",7,0,0,0,5
"368",0,6,9,0,0
"369",5,6,0,4,2
"370",5,9,5,0,0
"371",7,5,1,7,3
"372",6,5,0,6,0
"373",1,8,9,1,0
"374",2,6,8,2,0
"375",0,8,7,0,0
"376",0,3,7,1,0
"377",0,6,8,2,0
"378",3,7,10,1,0
"379",6,5,7,5,8
"380",3,5,7,0,0
"381",3,7,7,1,1
"382",3,8,8,2,0
"383",4,4,6,3,6
"384",6,6,0,7,10
"385",5,5,0,0,0
"386",3,7,8,3,0
"387",8,3,1,8,1
"388",2,6,7,1,0
