"","cand_A","cand_B","cand_C","cand_D","cand_E","cand_F"
"52525",10,0,0,10,0,0
"52526",0,5,5,0,5,1
"52527",3,7,1,2,5,1
"52528",10,0,0,10,0,0
"52529",8,2,0,6,8,2
"52530",4,7,0,3,5,1
"52531",10,0,0,10,0,0
"52532",3,2,0,5,7,1
"52533",6,0,0,5,7,2
"52534",5,0,0,0,0,0
"52535",5,1,0,5,1,2
"52536",7,3,0,5,5,2
"52537",7,4,0,1,6,3
"52538",2,5,1,1,4,1
"52540",8,3,0,6,2,0
"52541",10,1,0,1,1,1
"52542",5,5,0,1,5,3
"52543",9,1,1,1,1,1
"52544",3,5,0,5,8,5
"52545",0,10,0,0,8,0
"52546",2,10,0,2,7,5
"52547",10,7,0,8,3,3
"52548",8,10,0,0,0,0
"52549",10,1,0,7,2,0
"52550",8,2,0,5,3,2
"52551",10,0,0,10,0,0
"52552",0,10,0,0,0,0
"52553",8,2,0,6,6,2
"52554",8,2,0,6,6,2
"52555",10,0,0,0,0,0
"52556",5,3,0,5,1,0
"52557",10,0,0,5,0,0
"52558",0,0,0,0,0,0
"52559",5,5,0,5,5,0
"52560",10,2,0,8,3,0
"52561",0,5,7,1,7,2
"52562",0,5,0,0,5,5
"52563",10,0,0,8,0,0
"52564",10,0,0,5,0,0
"52565",1,5,0,4,2,0
"52566",10,0,0,7,0,0
"52567",10,0,0,0,0,0
"52568",10,0,0,8,0,0
"52569",1,5,1,1,7,5
"52570",1,8,2,1,7,6
"52572",1,7,1,1,6,5
"52573",1,7,1,1,6,5
"52574",1,5,1,1,6,5
"52576",10,0,0,8,0,0
"52577",0,10,0,5,5,5
"52578",0,6,0,0,3,2
"52579",5,5,0,5,3,0
"52580",10,0,0,6,0,0
"52581",2,8,0,2,5,0
"52582",10,3,2,8,8,3
"52583",0,10,3,0,7,2
"52584",9,5,0,7,0,3
"52585",6,2,0,4,1,1
"52586",0,10,0,0,5,5
"52587",7,1,0,1,1,0
"52588",10,0,5,0,0,0
"52589",10,2,5,6,4,3
"52590",0,1,9,0,0,0
"52591",3,6,3,0,0,3
"52592",8,5,4,5,4,3
"52594",5,0,10,0,0,0
"52595",0,1,10,0,0,0
"52596",10,0,0,7,0,0
"52597",4,4,4,4,0,0
"52598",0,0,6,0,0,0
"52599",8,0,0,2,1,0
"52600",5,0,7,0,4,3
"52601",0,10,5,0,0,2
"52602",8,1,0,2,2,1
"52603",8,4,0,5,7,2
"52604",4,7,2,1,3,2
"52605",3,4,0,3,8,2
"52606",0,10,0,0,9,0
"52607",7,0,0,6,2,1
"52608",0,6,6,0,0,0
"52609",5,4,5,0,2,0
"52610",6,8,3,2,7,0
"52611",3,4,3,2,3,1
"52612",1,1,1,1,1,1
"52614",0,7,2,6,6,3
"52615",0,10,0,2,4,4
"52616",5,7,0,9,4,3
"52617",10,4,2,9,6,8
"52618",0,4,0,0,8,2
"52619",0,8,2,3,4,3
"52620",2,10,2,3,4,4
"52621",9,4,2,9,6,8
"52622",0,9,0,2,4,5
"52623",10,4,1,6,5,4
"52624",8,5,1,9,3,4
"52625",9,3,6,7,3,3
"52626",0,8,0,0,5,5
"52627",0,10,0,0,6,4
"52628",5,0,0,1,0,0
"52629",0,10,0,0,7,4
"52630",8,4,0,5,4,4
"52631",3,3,0,3,3,3
"52632",3,3,0,3,3,3
"52633",7,3,0,4,4,3
"52634",6,0,0,5,0,7
"52635",5,5,2,7,7,3
"52636",3,5,3,1,8,2
"52637",6,8,3,4,5,5
"52638",6,8,2,3,5,5
"52639",8,2,2,5,2,2
"52640",1,9,4,0,5,2
"52641",2,8,4,0,3,3
"52642",2,9,2,1,3,3
"52643",9,2,3,6,4,3
"52644",9,4,3,4,3,3
"52645",0,8,5,0,6,4
"52646",2,8,3,0,3,3
"52647",8,3,3,5,3,3
"52648",3,7,2,4,3,4
"52649",9,2,4,5,3,4
"52650",10,1,1,6,3,3
"52651",8,5,3,4,7,4
"52652",8,2,2,5,4,2
"52653",8,1,1,7,4,3
"52654",10,1,1,5,2,2
"52655",0,8,5,0,4,3
"52656",8,2,2,5,6,3
"52657",2,9,3,4,3,3
"52658",0,0,10,0,0,0
"52659",9,1,1,1,1,1
"52660",8,1,1,7,1,1
"52661",9,1,1,1,2,1
"52662",8,1,1,1,1,1
"52663",8,1,1,8,1,1
"52664",8,3,3,4,3,3
"52665",8,1,1,8,1,1
"52666",8,4,3,2,1,1
"52667",8,1,1,8,1,1
"52668",9,1,1,9,1,1
"52669",9,0,0,0,0,0
"52670",8,0,1,3,0,0
"52671",8,0,0,0,1,0
"52672",8,0,0,4,0,0
"52673",8,0,0,0,0,1
"52674",8,0,0,6,0,0
"52675",10,0,0,0,0,0
"52676",9,1,1,4,1,1
"52677",9,0,0,5,0,0
"52678",10,0,0,3,0,0
"52679",5,0,0,7,7,3
"52680",9,0,0,7,0,0
"52681",0,0,0,7,7,0
"52682",10,0,0,7,0,0
"52683",0,2,0,0,7,2
"52684",10,0,0,0,0,0
"52685",10,0,0,0,0,0
"52686",10,0,0,5,0,0
"52687",9,0,0,10,0,0
"52688",5,0,0,0,7,0
"52689",8,0,0,5,0,0
"52690",0,0,0,0,10,0
"52692",0,7,2,0,4,2
"52693",7,0,0,5,0,8
"52694",0,0,10,0,0,0
"52695",5,1,5,0,0,2
"52696",4,7,8,0,4,4
"52697",0,0,10,0,0,0
"52698",5,5,5,5,5,5
"52699",7,0,5,0,0,1
"52700",8,0,0,0,0,0
"52701",10,0,2,0,0,2
"52702",10,5,0,2,1,5
"52703",8,0,0,5,0,0
"52704",8,2,5,0,1,5
"52706",7,4,0,7,3,10
"52707",5,8,0,0,0,0
"52709",3,0,5,0,0,0
"52710",10,0,0,9,0,5
"52711",5,1,0,0,0,0
"52713",5,0,0,0,0,0
"52714",0,10,10,0,10,10
"52715",6,3,0,5,0,0
"52716",3,3,1,3,6,3
"52717",9,0,0,6,0,0
"52718",2,5,0,4,4,1
"52719",10,1,0,1,1,1
"52720",9,2,0,7,2,6
"52721",0,6,0,0,6,0
"52722",9,0,0,0,0,0
"52723",7,4,0,0,0,0
"52724",0,3,0,0,1,2
"52725",0,10,3,0,3,3
"52726",2,2,0,2,6,0
"52727",8,4,0,7,4,6
"52728",5,7,0,8,7,6
"52729",10,0,0,8,0,0
"52730",0,10,0,0,0,0
"52731",2,0,0,2,0,0
"52732",9,1,0,9,2,2
"52733",10,1,0,8,1,1
"52734",10,1,0,10,1,1
"52735",10,0,0,7,2,1
"52736",10,1,1,10,1,1
