"","cand_A","cand_B","cand_C","cand_D","cand_E","cand_F"
"51185",0,10,10,0,10,10
"51188",6,6,0,6,4,5
"51189",0,0,1,2,0,2
"51190",0,0,0,0,0,0
"51192",0,0,0,0,0,0
"51194",5,0,0,0,2,0
"51195",0,0,0,0,0,0
"51196",7,3,0,0,9,0
"51197",1,3,10,3,3,4
"51199",0,5,1,0,0,0
"51200",6,6,3,2,4,3
"51202",0,0,1,0,3,3
"51203",0,0,6,6,0,3
"51204",0,8,0,4,3,8
"51205",0,0,0,0,0,0
"51206",0,10,9,0,10,5
"51207",0,1,2,1,1,1
"51208",0,5,8,8,1,4
"51210",0,0,0,0,0,0
"51211",0,0,0,7,0,5
"51214",0,0,0,0,10,10
"51216",0,0,0,0,0,0
"51221",0,0,0,1,0,0
"51223",0,0,0,0,0,0
"51224",0,0,0,0,0,0
"51226",0,0,0,0,0,0
"51227",9,5,3,10,4,2
"51232",4,2,1,5,7,8
"51233",0,0,0,0,0,5
"51235",5,2,0,1,1,1
"51237",0,0,0,2,0,2
"51240",0,4,9,3,2,10
"51241",8,8,10,3,6,7
"51242",1,3,2,4,5,5
"51243",5,9,3,4,6,4
"51245",0,0,0,0,0,0
"51250",0,0,0,0,0,0
"51252",0,0,10,2,0,0
"51254",0,10,0,0,0,10
"51255",0,0,10,2,0,5
"51257",10,5,6,3,4,7
"51258",0,0,0,0,0,0
"51259",5,8,9,6,3,2
"51260",0,0,4,0,0,0
"51261",0,4,5,2,1,4
"51262",0,7,10,8,7,5
"51263",0,0,0,0,0,0
"51264",5,1,0,1,1,1
"51265",0,10,0,0,0,0
"51266",1,1,1,2,2,1
"51267",6,7,7,7,7,8
"51268",0,0,0,0,0,0
"51269",0,6,3,3,0,0
"51270",0,0,8,1,0,7
"51271",4,1,1,1,2,1
"51272",0,2,0,1,3,4
"51273",0,0,0,0,0,0
"51278",10,0,0,0,10,0
"51280",0,0,0,0,0,0
"51282",0,5,9,2,0,5
"51284",0,10,0,0,0,0
"51285",0,0,0,0,0,0
"51287",2,2,0,5,0,2
"51288",0,0,3,4,0,6
"51291",10,5,0,1,2,0
"51293",0,0,0,0,0,0
"51294",0,0,0,0,0,0
"51295",0,0,0,0,0,0
"51297",0,0,0,0,0,0
"51299",10,0,0,0,0,0
"51300",1,1,2,1,1,3
"51301",0,0,3,0,0,3
"51305",0,0,0,0,0,0
"51307",0,0,0,0,0,5
"51308",0,5,10,7,0,8
"51309",5,7,0,6,8,2
"51310",0,5,10,10,10,10
"51311",0,5,10,2,0,5
"51312",0,0,5,0,0,0
"51313",0,0,0,0,0,1
"51314",7,3,0,0,6,0
"51315",0,0,0,0,0,0
"51316",5,8,0,0,0,0
"51317",0,0,0,0,0,0
"51318",3,5,7,6,2,7
"51323",4,3,4,2,2,2
"51325",8,7,7,3,2,5
"51327",3,4,10,7,9,7
"51329",4,1,0,4,3,0
"51331",6,5,2,3,5,6
"51332",0,0,0,0,0,0
"51333",0,0,0,2,1,2
"51335",0,10,5,0,10,1
"51337",10,0,0,0,0,0
"51338",0,9,0,0,0,0
"51340",0,2,1,0,0,4
"51341",0,0,0,0,0,0
"51342",0,10,10,5,5,10
"51343",0,0,0,5,0,5
"51345",0,10,10,10,0,10
"51347",0,0,0,0,0,0
"51349",0,0,0,7,0,0
"51351",0,2,5,7,0,7
"51352",0,5,3,5,5,10
"51353",0,0,0,0,0,0
"51355",3,3,3,3,3,3
"51358",10,4,1,3,2,5
"51359",9,10,4,8,5,2
"51360",0,0,0,2,0,0
"51361",0,0,0,0,0,0
"51362",0,0,0,0,0,0
"51365",0,0,0,0,0,0
"51368",5,4,0,7,0,2
"51371",7,2,8,3,6,9
"51374",0,0,0,0,0,0
"51376",0,0,0,1,0,0
"51379",6,0,0,5,0,0
"51380",3,1,0,4,0,1
"51382",8,7,4,6,3,7
"51383",0,0,0,0,0,0
"51384",0,0,0,0,0,0
"51385",3,7,2,2,8,4
"51386",5,2,0,7,2,2
"51387",4,2,0,5,1,1
"51388",0,0,5,0,0,0
"51389",0,0,0,0,0,0
"51390",0,0,0,0,0,0
"51391",0,0,0,0,0,0
"51392",8,5,3,5,5,5
"51393",0,0,6,0,0,0
"51394",0,0,0,0,0,0
"51396",5,5,0,5,5,5
"51397",3,1,0,0,1,1
"51398",0,0,2,3,0,1
"51399",0,0,0,0,0,0
"51401",0,0,10,5,0,5
"51402",0,0,0,0,0,0
"51404",0,0,10,0,0,0
"51406",0,0,2,0,0,0
"51407",0,4,0,0,0,0
"51408",0,4,0,0,0,0
"51410",0,0,0,0,0,0
"51412",5,5,0,6,2,1
"51414",0,0,4,0,0,0
"51416",0,0,0,0,0,5
"51417",0,5,10,0,0,0
"51419",0,0,0,0,0,0
"51420",5,0,0,0,10,0
"51421",0,0,0,0,0,0
"51423",0,0,0,3,0,4
"51425",0,3,5,0,0,0
"51429",0,0,8,0,0,0
"51431",0,0,10,0,0,0
"51432",0,0,0,0,0,0
"51433",0,0,5,5,0,3
"51434",10,5,0,4,10,7
"51435",0,0,0,0,0,0
"51436",0,0,0,0,0,0
"51437",0,0,0,0,0,0
"51438",10,10,10,10,0,10
"51439",6,0,0,0,10,4
"51441",0,0,10,5,0,10
"51443",3,0,0,0,4,5
"51445",0,4,5,0,0,0
"51446",0,10,10,10,8,5
"51447",0,0,0,0,0,0
"51448",0,0,0,0,0,0
"51449",0,5,6,8,0,7
"51450",0,0,10,0,0,0
"51451",0,0,0,0,0,0
"51452",0,7,3,5,0,4
"51456",0,10,10,10,10,5
"51457",10,1,0,1,10,2
"51458",0,0,0,0,0,0
"51459",10,0,0,0,0,0
"51460",0,0,0,0,7,4
"51462",3,3,2,3,2,0
"51464",0,3,1,2,0,0
"51466",4,3,0,0,6,0
"51467",7,4,0,6,8,4
"51468",0,0,0,0,0,0
"51469",0,0,0,0,0,0
"51470",0,1,3,0,0,6
"51471",0,6,10,0,0,0
"51472",0,0,0,0,0,0
"51473",0,5,0,0,0,0
"51474",0,0,0,0,0,0
"51475",0,0,10,0,10,0
"51479",0,0,0,0,0,0
"51481",0,0,10,0,0,0
"51485",0,0,0,0,0,0
"51487",3,8,10,8,5,4
"51488",0,4,1,1,1,0
"51489",0,0,6,6,0,9
"51490",0,0,3,0,0,3
"51491",0,0,0,0,0,6
"51492",5,1,0,1,5,6
"51493",0,1,0,2,3,4
"51497",10,5,0,0,7,0
"51498",5,7,6,6,4,5
"51499",0,0,3,0,0,5
"51500",0,0,10,2,5,0
"51501",0,0,0,0,0,0
"51503",0,10,5,2,4,6
"51504",6,0,0,0,0,0
"51507",0,0,0,3,3,0
"51509",0,0,0,0,0,0
"51511",0,0,0,0,0,0
"51513",0,0,0,0,0,0
"51514",0,0,0,0,0,0
"51515",0,0,0,0,0,0
"51517",5,8,10,1,1,5
"51518",0,0,0,0,0,0
"51519",0,0,0,0,0,0
"51520",0,0,0,0,0,0
"51521",0,0,0,0,0,0
"51522",0,10,0,0,0,0
"51523",0,0,0,0,0,0
"51524",0,10,10,8,5,4
"51526",0,0,3,0,0,0
"51527",3,4,4,3,5,3
"51528",5,5,0,5,5,1
"51530",6,0,0,5,5,7
"51532",0,0,9,8,0,8
"51533",0,10,10,0,0,0
"51535",0,0,1,2,2,2
"51536",0,0,5,0,0,0
"51537",1,4,10,2,6,7
"51538",7,6,0,9,5,7
"51540",0,0,8,5,0,5
"51541",0,0,10,4,0,10
"51542",4,1,0,2,1,4
"51544",3,0,1,1,1,1
"51546",0,0,1,0,0,0
"51547",0,0,0,0,0,0
"51548",2,0,1,1,0,0
"51549",0,2,10,3,5,6
"51550",0,5,0,5,1,9
"51552",0,0,0,0,0,0
"51554",0,0,0,0,0,0
"51555",0,10,2,7,7,7
"51557",0,0,0,0,0,10
"51559",0,0,10,5,0,8
"51560",0,5,5,2,0,3
"51561",0,2,10,0,0,0
"51562",0,5,7,3,6,0
"51565",0,0,0,0,0,0
"51566",0,10,10,0,0,0
"51567",0,0,0,0,0,0
"51570",9,0,0,0,0,0
"51575",0,0,6,5,0,5
"51576",0,4,0,0,0,0
"51577",0,4,10,2,0,5
"51579",0,0,0,0,0,0
"51583",0,0,0,0,0,0
"51585",8,2,3,0,0,1
"51588",0,5,2,3,0,0
"51589",0,0,0,4,0,5
"51590",0,2,3,2,5,2
"51592",0,0,0,0,0,0
"51594",0,10,10,0,0,0
"51595",0,0,0,0,0,0
"51596",0,0,0,0,0,0
"51597",4,4,6,2,3,9
"51598",0,0,0,0,0,0
"51599",0,5,0,5,0,0
"51601",0,0,3,0,0,0
"51604",2,0,2,3,2,2
"51605",0,0,0,0,0,0
"51607",0,0,0,0,0,0
"51608",0,3,3,0,0,2
"51609",5,5,5,5,5,5
"51611",4,0,0,0,0,0
"51612",0,0,10,0,0,5
"51613",0,3,0,8,0,3
"51614",4,0,0,0,0,0
"51615",0,2,7,4,6,8
"51617",0,0,10,0,0,0
"51618",0,0,0,0,0,10
"51619",3,0,3,6,0,2
"51620",0,0,10,0,0,0
"51621",0,0,0,0,0,6
"51622",0,5,3,5,5,6
"51624",0,0,10,0,0,2
"51625",0,0,0,0,0,0
"51626",0,4,5,2,0,5
"51628",0,0,0,0,0,0
"51629",5,0,0,3,9,4
"51632",0,2,7,1,4,3
"51634",5,0,0,7,6,7
"51635",8,0,0,3,6,2
"51636",0,0,0,0,0,0
"51637",0,1,5,2,0,2
"51638",10,8,0,3,10,0
"51640",0,2,10,3,0,5
"51641",0,8,7,3,5,5
"51642",0,1,2,3,5,6
"51643",0,4,5,3,2,6
"51644",0,0,0,10,0,0
"51645",0,1,2,2,0,2
"51647",5,5,5,3,5,3
"51649",0,3,10,4,6,10
"51650",0,0,5,2,0,8
"51654",5,7,6,6,4,8
"51657",2,1,1,0,3,3
"51658",5,0,0,0,0,0
"51663",0,0,0,0,0,0
"51665",0,4,3,2,1,6
"51666",9,5,4,3,1,4
"51668",0,0,8,0,0,0
"51669",0,0,0,0,0,0
"51671",0,2,4,2,0,0
"51672",0,5,0,0,0,5
"51674",3,0,0,4,3,5
"51676",0,0,7,0,0,1
"51680",5,2,3,2,0,3
"51682",0,0,0,0,0,0
"51684",0,0,0,0,1,1
"51685",0,10,10,10,10,0
"51686",3,1,3,4,1,5
"51690",0,0,10,9,0,0
"51691",0,0,0,0,0,0
"51692",10,0,0,0,10,10
"51694",0,6,9,0,0,0
"51695",0,10,5,8,7,10
"51696",5,3,0,5,6,2
"51697",0,5,3,9,0,8
"51698",0,0,0,0,0,0
"51700",0,0,0,0,0,0
"51702",0,0,0,3,0,5
"51703",0,0,5,0,0,5
"51705",5,2,0,0,3,0
"51706",0,0,0,0,0,0
"51709",0,0,0,0,0,0
"51710",0,0,0,8,0,5
"51711",0,0,5,0,0,6
"51712",2,0,2,5,0,5
"51715",0,2,4,2,2,2
"51716",0,0,5,3,0,3
"51719",0,0,0,0,0,0
"51724",1,5,4,6,3,6
"51728",0,0,0,0,0,0
"51731",10,7,0,3,9,0
"51733",0,0,9,3,2,5
"51734",0,1,0,0,10,5
"51737",1,1,0,1,5,0
"51739",0,0,10,7,0,7
"51742",0,1,6,2,5,3
"51743",0,0,0,0,0,0
"51744",0,4,4,3,3,5
"51745",10,6,0,5,8,3
"51746",0,10,0,10,10,10
"51747",3,3,3,3,0,5
"51749",5,0,0,6,6,7
"51751",3,1,1,5,1,3
"51755",10,9,10,7,9,10
"51756",0,0,0,0,0,0
"51757",3,1,6,6,3,1
"51760",0,0,2,6,0,3
"51762",1,4,5,3,1,2
"51763",0,5,6,0,4,8
"51765",0,0,0,3,0,3
"51767",3,2,10,4,5,8
"51768",5,0,5,0,0,0
"51770",5,4,7,0,0,3
"51773",4,4,5,6,5,3
"51775",4,6,10,7,9,6
"51778",0,0,10,0,0,0
"51779",0,9,8,8,8,9
"51780",5,5,1,7,1,7
"51781",0,0,10,4,0,0
"51786",0,3,10,4,3,1
"51788",7,3,0,0,9,0
"51789",5,10,5,1,1,8
"51790",9,5,0,8,1,3
"51791",8,10,7,1,3,6
"51794",3,1,1,0,0,2
"51796",0,0,0,0,0,0
"51797",3,5,10,2,1,1
"51798",0,0,0,0,0,10
"51805",0,0,0,0,0,0
"51806",0,3,1,4,1,10
"51809",1,3,5,3,4,4
"51811",0,3,0,0,0,0
"51812",0,0,0,0,0,5
"51813",1,5,1,10,1,6
"51815",0,0,0,0,0,0
"51817",0,0,0,0,0,0
"51818",0,0,8,4,0,3
"51819",0,0,0,0,0,0
"51820",0,0,0,0,0,0
"51821",0,0,4,7,6,3
"51822",6,2,0,0,7,0
"51824",0,0,0,0,10,0
"51826",0,0,0,0,0,10
"51828",10,8,1,5,9,1
"51831",5,7,4,6,4,5
"51833",0,0,9,6,0,3
"51834",0,10,5,5,4,8
"51837",0,2,5,5,0,9
"51838",0,7,10,0,0,4
"51840",0,7,9,6,6,4
"51841",0,0,10,10,10,10
"51843",0,10,10,4,6,8
"51844",0,0,0,0,0,0
"51847",0,0,1,2,0,2
"51848",5,1,0,1,6,1
"51849",0,5,5,0,0,5
