"","cand_A","cand_B","cand_C","cand_D","cand_E","cand_F","cand_G","cand_H","cand_I"
"38353",5,10,5,0,5,5,3,3,2
"38354",4,7,6,4,3,6,2,4,1
"38355",5,10,2,5,5,2,3,1,0
"38356",10,4,0,4,4,4,5,7,6
"38357",0,5,10,3,0,0,0,0,0
"38358",0,10,7,3,0,8,3,0,0
"38359",9,5,1,4,6,6,4,4,3
"38360",7,3,4,4,4,5,5,1,3
"38361",10,5,0,6,4,4,3,2,3
"38362",8,5,3,7,6,5,3,6,4
"38363",10,3,0,6,3,4,4,6,5
"38364",7,6,4,6,8,6,6,7,8
"38365",2,9,10,4,1,4,4,1,0
"38366",6,7,6,7,3,4,5,3,2
"38367",3,1,0,3,10,2,2,3,9
"38368",8,3,2,4,5,5,1,7,6
"38369",2,5,8,5,0,2,4,0,0
"38370",8,7,3,6,4,4,4,3,3
"38371",5,8,7,6,0,3,0,0,0
"38372",3,6,4,3,3,2,3,3,3
"38373",6,10,7,2,3,6,4,1,3
"38374",2,8,3,4,6,4,8,4,1
"38375",5,5,5,5,5,5,5,5,5
"38376",3,2,0,6,7,6,5,5,8
"38377",4,8,7,6,1,3,1,0,0
"38378",7,7,6,6,5,8,5,7,3
"38379",9,7,6,4,3,4,4,0,0
"38380",2,5,0,0,2,0,2,0,0
"38381",5,5,2,5,5,5,5,5,1
"38382",6,3,1,4,7,3,5,10,5
"38383",8,3,0,7,8,1,1,2,7
"38384",9,4,0,7,7,4,4,1,5
"38385",2,9,8,5,1,2,2,0,1
"38386",5,8,1,0,0,7,6,0,1
"38387",4,7,4,7,2,6,8,6,2
"38388",1,6,7,8,3,5,5,7,4
"38389",5,8,3,7,2,7,2,2,1
"38390",7,5,3,9,6,4,7,0,6
"38391",8,7,2,7,6,6,7,5,5
"38392",8,7,7,6,2,5,2,0,4
"38393",1,9,8,3,2,6,1,0,3
"38394",9,5,3,8,2,2,1,0,1
"38395",6,9,6,0,0,6,1,0,0
"38396",8,6,2,6,7,6,2,6,6
"38397",0,4,5,10,5,0,0,0,0
"38398",8,3,0,8,4,0,0,3,6
"38399",6,2,4,8,3,0,1,0,4
"38400",7,6,0,1,4,5,3,2,0
"38401",6,4,3,7,7,8,7,8,5
"38402",6,6,7,6,7,7,7,7,2
"38403",8,4,2,4,4,4,5,5,2
"38404",5,5,5,4,4,4,4,5,5
"38405",5,9,6,7,3,7,5,0,0
"38406",7,7,5,7,3,3,8,2,1
"38407",1,7,10,1,1,2,6,1,1
"38408",3,5,6,5,6,5,3,1,5
"38409",2,8,7,3,0,1,1,0,0
