"","cand_A","cand_B","cand_C","cand_D","cand_E","cand_F","cand_G","cand_H","cand_I"
"36522",8,2,9,5,6,5,8,9,3
"36523",6,4,5,6,6,6,6,6,6
"36524",5,4,7,6,7,7,6,9,5
"36525",9,0,9,9,8,8,9,8,7
"36526",6,0,6,7,7,3,8,8,5
"36527",8,0,6,8,8,5,8,7,8
"36528",6,2,6,5,5,4,4,6,4
"36529",8,2,5,8,6,3,7,7,5
"36530",9,2,7,8,6,5,6,6,5
"36531",7,0,6,6,7,4,8,5,3
"36532",8,1,5,9,6,5,8,3,3
"36533",7,1,6,8,8,7,7,7,8
"36534",8,0,9,8,3,2,6,6,4
"36535",5,4,7,6,6,6,4,7,6
"36537",8,1,5,4,9,8,1,5,7
"36538",5,0,5,5,8,7,4,5,8
"36539",6,0,7,4,4,4,3,7,6
"36540",7,4,7,8,8,7,8,7,7
"36541",3,1,8,6,8,7,4,7,5
"36542",7,3,4,4,6,7,8,3,8
"36543",6,6,7,3,1,3,3,7,2
"36544",10,2,8,6,0,1,3,7,4
"36545",1,0,2,7,9,6,8,5,7
"36546",6,1,4,8,8,8,6,5,10
"36547",6,1,6,8,7,4,7,4,5
"36548",8,3,9,8,8,9,9,10,8
"36549",0,0,8,7,7,6,4,7,5
"36550",5,0,3,4,6,4,5,8,5
"36551",7,2,6,7,8,6,7,7,6
"36552",5,1,5,5,6,5,5,5,7
"36553",5,0,5,10,8,2,6,5,4
"36554",7,8,4,4,6,6,3,4,4
"36555",6,0,7,8,9,9,7,7,10
"36557",3,5,4,3,3,4,2,4,4
"36558",6,2,3,8,8,6,8,6,6
"36559",5,5,5,5,5,5,5,5,3
"36560",7,6,7,5,2,4,4,6,6
"36561",6,5,5,3,3,3,3,2,4
"36562",5,0,6,8,7,3,6,5,4
"36563",9,7,5,6,6,5,7,4,7
"36564",8,2,6,7,5,6,6,7,5
"36565",7,0,7,8,7,6,7,7,7
"36566",7,0,7,7,7,7,5,5,8
"36567",7,0,3,9,8,6,4,8,6
"36568",7,1,8,7,8,6,2,3,7
"36569",5,3,6,5,8,9,5,6,8
"36570",7,0,5,6,7,6,8,5,3
"36571",8,0,7,8,7,7,5,4,4
"36572",8,2,5,8,7,4,6,4,6
"36573",1,0,4,6,7,5,4,3,8
"36574",7,0,4,9,5,3,6,5,4
"36575",7,7,8,7,7,7,6,9,6
"36576",4,0,5,7,9,7,6,4,9
"36577",10,0,7,8,3,6,3,5,8
"36578",5,1,5,5,8,6,8,6,6
"36580",6,7,3,6,6,5,6,4,0
"36581",4,7,5,6,8,8,5,5,8
"36582",7,0,1,8,7,7,8,2,5
"36583",8,1,8,9,8,8,8,7,7
"36584",5,0,4,5,8,7,8,6,8
"36585",8,5,6,6,3,1,6,7,5
"36586",3,1,6,5,4,4,2,6,6
"36587",2,0,4,6,10,9,6,2,6
"36589",7,4,6,7,8,8,8,5,7
"36590",8,1,5,8,8,5,6,4,7
"36591",5,1,4,7,8,6,6,7,6
"36592",5,4,5,6,8,7,6,6,6
"36593",2,1,3,5,6,4,3,5,7
"36594",6,1,7,7,7,7,6,8,7
"36595",6,0,5,4,9,8,5,4,10
"36597",6,1,1,3,2,1,2,1,3
"36598",7,0,8,7,4,6,7,5,5
"36599",8,3,6,6,5,4,5,7,3
"36600",10,0,7,6,5,4,5,7,5
"36601",7,0,5,9,9,5,4,9,7
"36602",6,3,6,3,6,8,7,5,7
"36603",6,5,5,5,5,5,10,5,5
"36604",7,0,4,9,7,6,9,8,6
"36607",8,7,6,5,7,3,6,2,1
"36608",4,0,4,6,9,5,8,7,5
"36609",4,0,2,6,7,4,5,2,4
"36610",8,0,4,8,9,6,10,5,8
"36611",5,0,5,5,7,4,6,5,10
"36612",4,2,4,6,7,5,5,5,5
"36613",0,5,7,5,3,2,3,8,4
"36615",6,0,5,8,8,7,7,5,7
"36617",1,2,7,3,3,9,3,6,6
"36618",7,3,6,5,6,8,4,6,4
"36619",4,0,6,7,8,6,4,6,8
"36620",7,0,5,7,8,5,8,7,7
"36621",4,1,4,7,9,8,5,5,10
"36622",7,3,5,7,6,5,8,6,8
"36623",6,0,3,6,7,6,5,4,7
"36624",1,0,4,6,10,7,4,8,6
"36625",7,0,4,6,8,6,5,0,7
"36626",2,0,5,10,8,7,5,7,5
"36627",9,8,8,3,3,2,5,5,7
"36629",5,4,6,7,5,6,6,5,5
"36630",8,6,7,5,5,6,6,5,5
"36631",5,5,6,4,3,6,6,5,3
"36632",5,0,4,6,7,4,8,4,3
"36633",3,0,8,8,9,8,6,6,10
"36634",6,1,5,7,6,4,4,6,5
"36635",5,1,4,6,8,6,7,7,9
"36637",8,0,8,7,5,5,5,8,7
"36638",7,2,8,7,8,7,8,8,6
"36639",6,1,5,8,8,5,6,7,6
"36640",7,3,2,5,5,6,6,2,2
"36641",7,5,6,7,6,6,6,6,7
"36642",8,6,6,6,2,3,2,5,2
"36643",9,1,7,7,7,7,7,6,9
"36644",7,5,9,6,4,10,8,3,1
"36645",7,0,5,7,4,4,4,2,2
"36646",7,6,8,7,7,8,6,6,7
"36647",7,4,6,7,7,7,7,6,5
"36648",7,3,5,2,2,5,5,5,4
"36649",6,3,6,5,5,4,6,4,4
"36650",6,2,6,6,7,6,6,6,5
"36651",1,5,1,6,6,3,3,3,9
"36652",6,2,5,4,5,6,7,6,8
"36653",5,1,5,8,5,3,3,4,10
"36654",7,0,6,8,7,3,7,4,6
"36655",1,0,2,7,8,7,7,4,8
"36656",3,0,7,10,8,6,5,2,6
"36657",8,2,6,8,7,6,7,7,7
"36659",7,4,6,7,6,6,6,5,4
"36660",8,3,8,5,6,6,6,6,7
"36661",7,2,7,7,6,6,7,6,6
"36662",5,5,4,6,7,6,6,6,6
"36663",5,0,5,5,5,5,5,5,10
"36664",7,4,6,8,8,8,7,6,6
"36665",8,6,7,6,7,6,7,6,6
"36666",8,0,6,7,6,4,7,6,2
"36669",6,1,5,7,5,5,4,4,4
"36670",8,5,6,7,6,5,7,5,6
"36671",3,0,7,7,9,5,5,8,6
"36672",8,6,7,5,6,7,7,7,6
"36673",8,1,4,8,9,10,7,7,7
"36674",8,6,7,6,7,7,5,7,7
"36676",8,1,6,6,3,5,6,6,3
"36677",6,5,6,6,5,5,5,5,6
"36678",10,5,5,9,9,0,0,8,8
"36679",6,3,4,7,8,10,7,5,7
"36680",8,0,4,7,5,4,4,6,0
"36681",5,0,7,6,6,5,3,4,3
"36683",2,1,5,6,8,7,6,7,7
"36684",8,4,8,9,8,5,6,7,3
"36685",5,3,5,5,5,5,5,7,5
"36686",8,5,8,6,7,7,8,7,6
"36687",7,4,6,7,6,7,6,7,6
"36688",7,0,7,8,8,7,9,8,7
"36689",8,5,7,5,3,4,5,7,2
"36690",9,0,3,7,3,6,4,0,0
"36691",9,5,6,5,2,4,6,6,4
"36692",3,0,6,5,7,5,5,10,3
"36693",4,0,5,6,8,7,7,6,6
"36694",6,0,6,6,6,6,6,6,6
"36695",7,0,3,8,5,2,9,3,5
"36698",7,1,7,7,7,7,7,7,7
"36699",7,7,7,3,1,3,3,6,6
"36700",5,0,5,7,7,6,5,6,6
"36701",6,3,8,6,5,6,0,7,7
"36703",7,3,6,9,7,7,5,5,7
