"","cand_A","cand_B","cand_C","cand_D","cand_E","cand_F"
"31233",2,10,5,5,7,5
"31234",2,4,5,1,5,3
"31235",3,5,6,3,3,7
"31236",5,3,3,3,3,3
"31237",5,6,5,4,5,5
"31238",5,5,5,5,5,5
"31239",7,5,3,7,4,4
"31240",6,6,3,1,2,2
"31241",7,2,5,3,3,5
"31242",4,2,3,2,0,4
"31243",5,3,4,5,5,3
"31244",6,5,4,2,5,6
"31245",7,1,3,5,2,6
"31248",7,5,4,4,3,6
"31249",8,4,5,5,3,6
"31250",0,8,9,0,5,8
"31251",1,5,7,3,5,5
"31252",8,8,3,5,1,7
"31253",10,0,2,2,0,3
"31254",0,2,1,0,7,2
"31255",5,5,5,3,3,5
"31256",5,5,5,4,4,5
"31257",7,5,5,5,5,5
"31258",5,5,5,5,5,4
"31259",0,4,1,10,1,0
"31260",6,8,4,4,3,7
"31261",3,3,3,0,0,6
"31262",6,5,5,6,3,5
"31264",5,8,8,5,8,5
"31265",5,8,5,5,7,5
"31266",0,9,0,0,10,0
"31267",5,8,2,0,5,3
"31268",0,8,0,1,8,0
"31269",8,3,4,6,2,5
"31270",5,2,3,5,2,5
"31271",5,3,3,5,5,5
"31272",8,5,0,0,0,7
"31273",7,5,5,5,5,5
"31274",4,8,0,0,7,0
"31275",6,3,2,4,3,3
"31276",0,0,0,0,0,0
"31277",8,5,6,6,0,5
"31278",3,4,5,2,4,3
"31279",5,5,5,5,1,4
"31280",5,5,5,5,5,5
"31281",5,5,5,2,2,4
"31282",3,5,4,0,5,4
"31283",0,5,5,0,5,5
"31285",8,0,3,0,0,0
"31286",5,6,5,5,5,5
"31287",5,5,5,5,5,5
"31288",5,5,5,5,5,5
"31289",5,7,3,6,4,4
"31290",4,8,2,2,8,2
"31291",0,9,0,0,8,0
"31292",7,0,0,1,1,5
"31293",5,5,3,3,1,5
"31294",6,3,4,5,4,3
"31295",4,6,5,4,1,5
"31296",10,2,5,4,2,1
"31297",3,8,1,3,5,1
"31298",5,7,6,5,4,2
"31299",7,5,5,3,2,5
"31300",5,1,2,2,1,10
"31301",0,10,1,0,2,0
"31302",6,3,4,2,0,3
"31303",7,7,5,5,8,5
"31304",5,4,5,0,0,4
"31305",10,0,0,3,0,10
"31306",8,4,5,6,3,4
"31308",5,3,2,2,1,0
"31310",6,6,5,5,4,2
"31311",5,0,0,5,5,0
"31312",4,6,5,3,5,5
"31313",5,1,4,2,1,1
"31314",8,4,3,2,2,5
"31315",3,5,5,0,0,6
"31316",7,5,5,4,2,7
"31317",6,5,3,3,5,4
"31318",3,8,7,5,4,5
"31319",7,1,3,3,0,3
"31320",7,5,4,4,3,3
"31321",5,5,5,5,5,5
"31322",7,1,2,3,0,3
"31323",3,8,5,1,6,4
"31324",7,1,2,5,0,2
"31325",5,5,5,1,5,5
"31326",6,3,4,3,3,2
"31327",3,6,0,0,0,7
"31328",5,5,5,3,3,5
"31332",6,4,2,4,1,3
"31333",3,8,6,4,8,4
"31334",5,0,0,5,0,0
"31335",1,0,1,1,0,3
"31336",4,8,5,3,2,3
"31337",0,8,0,0,7,0
"31338",6,7,4,4,4,4
"31339",6,7,5,3,1,5
"31340",7,8,2,8,0,5
"31341",5,5,5,5,5,5
"31342",3,5,3,2,1,4
"31343",2,6,2,3,3,3
"31344",6,1,1,1,1,1
"31345",6,6,1,1,1,2
"31346",5,8,4,5,4,5
"31347",2,2,5,0,0,2
"31348",5,5,5,5,5,5
"31349",5,5,0,5,5,0
"31350",9,1,4,1,1,1
"31351",5,6,2,5,1,3
"31352",8,1,7,9,1,2
"31353",5,5,3,4,2,4
"31354",4,2,6,4,0,2
"31357",4,1,0,0,0,1
"31358",5,4,4,3,4,4
"31359",7,7,2,2,2,5
"31360",9,1,6,5,1,6
"31361",3,5,5,1,5,5
"31362",8,7,5,3,2,5
"31363",3,6,1,3,2,5
"31364",7,5,5,5,5,5
"31365",0,10,0,0,10,0
"31366",5,5,5,8,5,5
"31367",3,8,5,3,7,5
"31368",7,7,7,5,5,3
"31369",8,4,2,5,2,5
"31370",4,5,2,1,3,5
"31372",5,5,4,5,5,4
"31373",4,6,0,0,0,4
"31374",8,7,5,5,5,6
"31375",7,5,5,5,5,5
"31376",7,7,6,3,3,5
"31377",4,6,5,5,5,5
"31378",7,3,3,4,2,0
"31379",7,6,4,4,2,5
"31380",8,0,0,0,0,5
"31381",8,5,5,5,5,5
"31383",4,7,2,8,3,2
"31384",7,6,5,4,4,4
"31385",1,1,1,1,1,1
"31386",5,5,5,3,2,7
"31387",0,5,5,0,8,9
"31388",7,5,7,5,3,5
"31389",8,0,1,1,0,5
"31390",5,3,3,3,3,3
"31391",5,1,4,8,0,2
"31392",8,5,2,2,5,5
"31393",7,2,4,2,2,7
"31394",8,3,3,2,2,2
"31395",5,6,0,7,7,0
"31396",5,8,7,0,2,5
"31397",5,6,2,2,3,4
"31398",7,5,5,6,3,4
"31399",8,2,6,6,1,7
"31400",9,2,4,5,1,5
"31401",5,6,5,5,5,6
"31402",5,7,6,5,3,6
"31403",4,8,6,5,5,6
"31404",8,7,5,5,4,6
"31405",0,0,3,3,3,3
"31406",7,6,4,5,4,4
"31407",7,2,1,1,1,2
"31408",0,9,3,1,7,3
"31409",5,4,1,8,9,4
"31410",5,5,5,5,5,5
"31411",6,5,4,4,1,5
"31412",3,5,5,5,1,5
"31413",5,3,5,5,1,3
"31414",7,3,4,4,3,3
"31415",5,5,5,5,5,5
"31416",7,4,3,3,3,4
"31417",5,5,5,5,5,5
"31418",5,5,5,3,5,5
"31419",5,5,5,5,5,5
"31420",9,2,3,4,0,0
"31421",5,7,3,5,7,3
"31422",5,5,5,10,3,3
"31423",7,5,8,5,5,5
"31424",8,7,0,3,4,1
"31425",5,0,0,0,0,5
"31426",5,3,1,4,4,3
"31427",2,0,0,4,0,0
"31428",5,4,4,0,0,2
"31429",3,5,5,7,4,5
"31431",0,5,5,5,5,5
"31432",7,4,4,2,6,4
"31433",8,3,1,1,0,3
"31434",0,8,0,1,5,7
"31435",1,5,3,3,4,3
"31436",6,1,3,3,3,1
"31437",5,5,5,5,5,5
"31438",3,8,2,3,3,1
"31439",5,5,5,5,5,5
"31440",2,7,2,0,2,2
"31441",10,0,4,7,0,5
"31442",5,5,5,5,3,5
"31443",3,6,3,5,5,5
"31444",6,7,9,7,5,7
"31445",0,8,5,0,5,5
"31447",5,3,3,1,3,1
"31448",2,5,3,3,5,4
"31449",6,6,3,6,5,5
"31450",7,0,8,3,0,5
"31451",5,6,5,4,1,3
"31452",6,4,4,4,4,4
"31453",7,6,3,5,4,5
"31454",6,2,5,5,1,5
"31456",1,2,2,2,2,2
"31457",4,7,6,5,5,6
"31458",4,5,2,4,2,3
"31459",5,4,7,0,4,2
"31460",5,4,5,4,3,3
"31462",5,4,5,6,4,5
"31463",7,6,5,5,3,5
"31464",8,2,8,1,5,4
"31465",8,3,2,5,3,2
"31467",3,3,3,10,1,3
"31468",0,2,9,1,1,2
"31469",5,5,5,5,5,5
"31470",8,5,3,6,3,3
"31471",8,9,6,4,1,4
"31472",5,5,5,5,5,5
"31474",4,7,5,2,3,5
"31475",3,5,5,8,8,5
"31476",3,1,2,2,0,3
"31477",5,5,5,5,5,5
"31478",7,2,2,5,2,2
"31479",5,5,3,3,3,3
"31480",2,4,2,2,2,2
"31481",4,9,0,0,5,0
"31482",5,3,1,5,0,3
"31483",9,8,5,5,5,5
"31484",7,8,3,2,7,3
"31485",8,2,5,3,0,5
"31486",5,4,5,5,4,4
"31487",7,5,4,5,4,5
"31488",5,4,3,4,5,5
"31489",2,5,1,0,2,2
"31490",1,7,3,3,3,4
"31491",5,5,5,8,5,5
"31492",7,5,5,5,5,5
"31493",4,5,2,5,3,3
"31494",5,4,4,6,4,4
"31495",8,3,6,6,0,5
"31496",7,6,2,4,4,6
"31497",5,5,3,1,2,3
"31498",4,5,2,1,1,7
"31499",5,5,7,3,3,6
"31501",5,5,5,2,2,5
"31503",10,5,3,8,0,5
"31504",6,3,3,3,3,3
"31505",5,6,5,5,2,5
"31506",7,5,5,5,1,4
"31507",3,2,1,3,3,3
"31509",5,5,5,5,4,5
"31510",6,4,4,4,3,3
"31513",3,3,2,2,5,3
"31516",9,5,8,7,6,5
"31517",3,1,1,1,0,2
"31518",8,5,5,5,5,5
"31520",7,3,3,3,3,3
"31521",7,4,5,2,2,6
"31522",5,6,6,3,9,8
"31523",10,10,4,5,7,5
"31524",5,0,0,0,2,0
"31525",5,0,0,2,7,7
"31527",7,5,3,5,5,3
"31528",5,5,5,5,5,5
"31529",3,7,5,5,5,5
"31530",0,8,5,0,6,0
"31531",5,5,5,5,5,5
"31532",5,6,5,6,1,7
"31533",5,5,5,5,5,5
"31534",8,0,0,1,0,0
"31535",3,6,5,1,3,6
"31536",2,8,7,3,3,5
"31537",5,4,4,4,4,4
"31538",6,2,5,2,2,10
"31539",6,5,5,9,5,9
"31540",3,2,2,5,1,1
"31541",3,6,5,3,5,6
"31542",5,5,3,4,5,4
"31543",1,10,1,1,5,9
"31545",6,8,6,5,5,5
"31546",5,0,3,0,0,0
"31547",5,5,5,5,5,5
"31548",2,5,2,5,5,3
"31550",5,5,5,5,5,5
"31551",2,8,0,0,6,0
"31552",8,5,2,3,3,2
"31554",7,6,4,6,4,4
"31555",8,3,5,5,3,5
"31556",5,5,5,5,5,5
"31557",7,4,4,4,0,2
"31558",6,5,6,5,5,6
"31560",5,7,3,3,2,5
"31561",5,6,3,0,0,6
"31562",8,5,5,5,1,5
"31563",10,2,3,7,0,1
"31564",7,4,4,2,2,5
"31567",7,4,5,5,4,5
"31568",7,3,3,5,5,7
"31571",8,2,2,5,1,2
"31573",8,7,6,8,4,5
"31574",8,0,5,0,0,10
"31575",5,4,4,2,5,2
"31576",7,5,7,6,6,5
"31577",2,3,3,1,2,1
"31578",3,8,1,2,3,7
"31579",10,9,6,6,5,7
"31580",4,4,2,1,4,2
"31581",2,3,2,2,2,2
"31582",7,2,3,0,0,2
"31583",7,7,3,5,3,5
"31584",8,5,5,7,5,7
"31585",3,3,2,4,3,2
"31586",0,9,5,0,9,5
"31587",10,2,3,8,1,2
"31588",10,0,3,0,0,6
"31589",10,0,4,10,0,8
"31590",5,2,2,0,1,7
"31591",3,5,5,1,7,4
"31592",5,0,0,5,0,0
"31593",5,0,4,10,0,2
"31594",6,2,0,0,1,0
"31595",0,5,3,0,8,5
"31596",7,3,5,3,3,3
"31597",5,10,0,0,5,3
"31598",0,7,1,1,5,1
"31599",4,6,5,3,3,5
"31600",1,10,0,0,3,0
"31601",5,5,5,5,5,5
"31602",5,5,5,5,0,5
"31603",4,2,3,4,1,2
"31604",2,8,1,4,7,1
"31605",3,1,1,1,0,1
"31606",5,5,8,5,5,9
"31607",5,10,6,8,5,3
"31608",3,8,3,5,3,3
"31610",0,0,4,5,0,0
"31612",5,5,2,5,5,5
"31613",5,3,2,5,5,0
"31614",5,4,6,5,2,8
"31615",5,5,5,5,3,5
"31616",5,4,4,7,3,5
"31617",10,5,5,5,3,5
"31618",7,5,5,6,1,5
"31619",4,8,5,5,5,3
"31620",0,10,0,0,9,0
"31621",5,8,5,5,3,5
"31622",1,9,2,2,7,2
"31624",3,4,0,0,5,0
"31625",5,2,3,2,2,3
"31626",5,4,6,5,6,7
"31627",5,5,5,5,5,5
"31628",5,5,2,2,1,1
"31629",5,2,5,3,1,2
"31630",2,8,0,0,6,0
"31631",8,4,4,5,5,3
"31632",5,2,2,0,0,0
"31633",5,6,4,5,5,6
"31634",5,5,5,5,2,5
"31635",3,5,0,3,3,5
"31636",7,5,1,4,1,1
"31639",5,0,1,1,1,3
"31640",2,5,5,2,5,5
"31641",0,8,5,0,5,0
"31645",5,6,3,3,5,4
"31646",5,6,2,7,7,5
"31647",5,7,1,2,4,0
"31648",7,1,0,0,1,2
"31649",6,5,5,6,6,5
"31650",7,6,4,8,5,4
"31651",5,5,5,3,3,6
"31652",3,5,5,4,5,5
"31653",2,6,2,3,5,3
"31654",5,4,3,4,6,3
"31657",5,6,2,5,5,5
"31658",4,6,4,3,3,3
"31659",6,4,2,3,3,4
"31660",7,5,5,5,5,5
"31661",5,5,5,5,5,5
"31662",5,5,5,0,5,5
"31663",0,0,0,0,0,0
"31664",8,6,7,9,7,6
"31666",6,3,3,4,5,6
"31667",5,5,5,5,7,6
"31668",0,0,0,0,0,0
"31669",5,5,5,5,5,5
"31670",8,1,5,9,0,3
"31671",7,7,0,3,3,7
"31672",9,5,4,7,7,5
"31673",2,7,1,1,2,2
"31674",9,0,0,0,0,0
"31675",5,5,5,0,0,5
"31677",4,2,2,2,1,2
"31678",10,3,5,5,3,3
"31680",8,1,3,4,3,5
"31681",5,5,5,5,5,5
"31682",4,4,0,2,2,4
"31683",9,6,5,2,2,5
"31684",5,5,2,2,6,3
"31686",8,8,0,0,2,0
"31687",10,5,5,10,0,5
"31688",7,3,5,6,6,5
"31689",8,7,4,4,6,3
"31690",5,5,5,5,5,5
"31691",5,5,2,2,6,9
"31693",7,5,3,4,3,5
"31694",4,3,2,3,2,2
"31696",5,0,0,0,0,0
"31698",9,0,0,0,0,0
"31699",4,6,3,6,2,2
"31700",5,6,5,7,6,3
"31701",5,8,2,0,0,2
"31702",5,5,5,5,3,5
"31703",5,5,5,5,5,5
"31704",10,8,5,5,1,3
"31705",6,5,3,5,5,5
"31706",5,7,5,5,5,5
"31707",0,8,5,0,5,5
"31708",7,0,0,0,0,0
"31709",6,7,5,6,4,5
"31710",8,0,3,1,0,3
"31711",5,5,3,5,5,5
"31712",6,5,5,5,5,5
"31714",5,0,0,10,0,0
"31715",8,4,3,2,2,2
"31716",7,5,2,0,0,3
"31717",5,6,2,2,5,2
"31718",7,2,3,5,2,3
"31719",2,3,5,5,7,6
"31720",4,5,2,1,6,4
"31721",6,5,2,5,1,0
"31722",6,3,5,2,2,3
"31723",10,0,0,7,5,0
"31724",5,5,6,3,2,5
"31725",3,5,4,3,2,5
"31726",0,8,3,3,5,5
"31727",5,2,2,2,2,2
"31728",5,5,5,5,5,5
"31729",3,0,0,0,0,0
"31730",5,5,5,5,5,5
"31732",5,5,5,5,5,5
"31733",5,5,5,4,5,5
"31734",5,5,5,5,5,5
"31735",5,5,5,5,5,5
"31736",7,2,5,5,2,8
"31737",4,4,3,4,3,3
"31738",5,4,3,3,3,3
"31742",5,4,4,5,4,4
"31745",2,8,3,3,6,7
"31746",8,7,1,1,3,5
"31747",3,2,3,1,0,4
"31748",5,5,6,3,2,4
"31749",5,6,6,0,5,6
"31750",7,5,4,5,3,4
"31751",5,2,5,5,2,1
"31752",5,10,5,0,0,5
"31753",5,5,3,3,5,5
"31754",5,5,5,5,5,5
"31755",8,4,6,7,4,5
"31756",7,4,5,3,3,4
"31757",5,5,5,2,2,3
"31758",7,8,2,0,4,4
"31759",4,5,3,5,5,4
"31761",7,4,3,3,3,4
"31762",5,5,5,5,5,5
"31764",7,5,7,4,3,6
"31765",7,5,5,7,6,6
"31766",2,8,1,1,3,1
"31767",4,5,7,2,2,5
"31768",6,7,6,7,5,6
"31769",8,3,3,10,0,1
"31770",7,4,5,1,1,4
"31771",2,8,4,5,5,4
"31772",8,4,3,7,2,3
"31773",6,6,6,5,3,5
"31774",6,6,6,3,2,5
"31775",9,3,5,6,3,6
"31776",0,10,0,0,3,0
"31777",0,10,3,3,8,0
"31778",7,7,3,1,2,5
"31779",5,5,5,5,5,5
"31780",6,7,3,3,4,3
"31781",5,5,5,5,5,5
"31782",6,5,6,5,5,6
"31783",5,5,5,5,5,5
"31784",0,5,0,2,5,3
"31785",5,5,5,5,5,5
"31786",8,0,5,5,2,0
"31787",6,2,4,3,2,2
"31788",1,8,2,1,3,2
"31789",6,4,4,7,4,6
"31790",5,2,2,2,0,2
"31791",8,2,10,5,1,10
"31792",6,7,5,5,4,8
"31793",8,5,5,5,5,5
"31794",5,5,5,5,5,5
"31795",5,3,2,6,3,4
"31796",5,5,4,5,5,5
"31797",8,0,0,0,0,5
"31798",6,2,3,8,2,2
"31799",5,5,5,5,5,5
"31800",3,5,4,3,2,4
"31801",5,5,5,5,5,5
