,A,B,F,G,H,I
v1245,0.9,0.2,0.5,0.6,0.3,0.7
v1246,0.2,0.2,0.0,0.0,0.0,0.0
v1247,0.0,0.0,0.0,0.0,0.0,0.0
v1248,1.0,0.1,0.8,0.1,0.1,0.5
v1249,0.0,0.8,0.0,0.6,0.0,0.0
v1250,0.0,0.7,0.0,0.5,0.2,0.0
v1251,0.2,0.8,0.2,0.1,0.1,0.1
v1252,0.0,1.0,0.0,0.2,0.8,0.0
v1253,0.5,0.3,0.2,0.4,0.1,0.3
v1254,0.5,0.0,0.5,0.0,0.0,0.0
v1255,0.9,0.2,0.5,0.4,0.1,0.5
v1256,0.3,0.6,0.1,0.3,0.0,
v1257,0.0,1.0,0.0,1.0,0.0,0.0
v1258,0.8,0.1,0.8,0.1,0.1,0.6
v1259,,0.1,0.1,0.1,0.1,0.1
v1260,0.0,0.0,0.0,0.0,0.0,0.0
v1261,0.8,0.2,0.8,0.1,0.0,0.0
v1262,0.0,0.8,0.0,0.4,0.0,0.0
v1263,0.0,1.0,0.0,0.8,0.0,0.0
v1264,0.1,0.7,0.1,0.4,0.5,0.1
v1265,1.0,0.1,0.2,0.1,0.1,0.1
v1266,0.5,0.1,0.4,0.1,0.1,0.3
v1267,0.0,1.0,0.0,0.5,0.0,0.0
v1268,0.2,0.4,0.1,0.3,0.4,0.1
v1269,0.5,0.1,0.6,0.2,0.0,
v1270,0.7,0.5,0.5,0.4,0.2,0.3
v1271,0.5,0.0,0.0,0.0,0.0,0.0
v1272,0.0,0.7,0.0,0.4,0.0,0.0
v1273,0.0,0.3,0.0,0.2,0.2,0.0
v1274,1.0,0.3,0.8,0.5,0.4,0.9
v1275,0.7,0.0,1.0,0.1,0.0,0.3
v1276,0.0,0.4,0.2,0.1,0.1,0.1
v1277,0.0,0.8,0.0,0.7,0.0,0.0
v1278,0.8,0.1,0.4,0.0,0.0,0.2
v1279,1.0,0.0,1.0,0.0,0.0,0.0
v1280,0.8,0.5,0.5,0.4,0.3,0.6
v1281,1.0,0.3,0.3,0.3,0.0,0.4
v1282,1.0,0.1,0.7,0.3,0.0,0.5
v1283,0.2,0.2,0.2,0.2,0.0,0.2
v1284,0.1,1.0,0.1,0.5,0.5,0.5
v1285,0.9,0.0,0.7,0.4,0.0,0.5
v1286,0.0,1.0,0.0,0.5,0.0,0.0
v1287,0.0,0.1,0.0,0.0,0.2,0.0
v1288,0.6,0.0,0.6,0.0,0.0,0.0
v1289,1.0,0.3,0.8,0.5,0.8,0.5
v1290,0.2,0.8,0.1,0.3,0.8,0.2
v1291,0.0,0.0,0.0,0.0,0.0,0.0
v1292,0.2,0.1,0.3,0.2,0.1,0.1
v1293,0.4,0.2,0.4,0.0,0.0,0.2
v1294,0.0,0.7,0.0,0.7,0.5,0.0
v1295,0.5,0.6,0.1,0.3,0.3,0.2
v1296,0.5,0.0,0.0,0.0,0.0,0.3
v1297,1.0,0.0,0.5,0.0,0.0,0.5
v1298,0.7,0.0,0.5,0.0,0.0,0.0
v1299,0.9,0.2,0.8,0.3,0.1,0.8
v1300,1.0,0.0,0.6,0.0,0.0,0.4
v1301,0.1,0.2,0.0,0.1,0.2,0.0
v1302,0.2,0.8,0.1,0.3,,
v1303,0.1,0.7,0.1,0.1,0.1,0.1
v1304,0.0,0.9,0.2,0.4,0.0,0.0
v1305,0.6,0.0,0.7,0.6,0.0,0.0
v1306,0.6,0.1,0.3,0.1,0.1,0.1
v1307,0.1,0.7,0.1,0.3,0.4,0.2
v1308,0.1,0.3,0.1,0.4,0.3,0.1
v1309,0.0,1.0,0.0,1.0,0.5,0.0
v1310,0.1,0.9,0.1,0.1,0.1,0.1
v1311,0.1,0.4,0.0,0.2,0.0,0.0
v1312,0.0,1.0,0.0,0.8,0.0,0.0
v1313,0.6,0.1,0.2,0.3,0.2,0.4
v1314,0.5,0.5,0.0,0.5,0.7,0.0
v1315,0.0,0.6,0.0,0.0,0.0,0.0
v1316,0.8,0.9,0.8,0.7,0.6,0.5
v1317,0.7,0.0,0.3,0.0,0.0,0.3
v1318,0.6,0.0,0.0,0.0,0.0,0.0
v1319,0.5,0.3,0.5,0.2,0.0,0.7
v1320,0.1,0.8,0.1,0.1,0.4,0.1
v1321,1.0,0.1,0.5,0.1,0.1,0.0
v1322,0.7,0.3,0.6,0.2,0.0,0.8
v1323,1.0,0.0,1.0,0.0,0.0,0.5
v1324,0.1,0.1,0.1,0.1,0.1,0.1
v1325,0.1,0.8,0.2,0.5,0.1,0.2
v1326,0.0,0.6,0.0,0.0,0.0,0.0
v1327,0.9,0.1,0.2,0.1,0.1,0.2
v1328,0.2,0.8,0.0,0.5,0.0,0.0
v1329,1.0,0.0,0.0,0.0,0.0,0.0
v1330,1.0,0.4,0.4,0.4,0.3,0.2
v1331,0.2,0.8,0.0,0.4,0.6,0.0
v1332,0.1,0.5,0.1,0.1,0.8,0.1
v1333,0.7,0.5,0.0,0.0,0.0,0.0
v1334,0.0,0.8,0.0,0.2,0.0,0.0
v1335,1.0,0.0,0.9,0.0,0.0,0.0
v1336,0.0,0.6,0.0,0.2,0.9,0.2
v1337,0.2,0.5,0.2,0.4,0.3,0.2
v1338,0.4,0.3,0.2,0.1,0.0,0.0
v1339,1.0,0.0,0.8,0.4,0.0,0.9
v1340,1.0,0.0,1.0,0.0,0.0,0.5
v1341,1.0,0.1,0.3,0.1,0.1,0.1
v1342,0.0,0.3,0.0,0.1,0.1,0.0
v1343,0.8,0.1,0.6,0.1,0.1,0.1
v1344,0.0,0.0,0.0,0.0,0.0,0.0
v1345,0.2,0.7,0.1,0.6,0.0,0.0
v1346,0.7,0.5,0.6,0.5,0.2,0.5
v1347,1.0,0.4,0.7,0.3,0.0,0.4
v1348,0.3,0.0,0.0,0.2,0.0,0.7
v1349,0.7,0.0,0.8,0.0,0.0,0.0
v1350,0.2,0.5,0.1,0.3,0.2,0.0
v1351,0.0,1.0,0.0,0.0,0.0,0.0
v1352,0.1,0.8,0.1,0.4,0.4,0.1
v1353,0.5,0.5,0.5,0.5,0.5,0.5
v1354,0.3,0.8,0.2,0.1,0.2,0.0
v1355,0.0,0.2,0.0,0.0,0.9,0.0
v1356,0.5,0.2,0.5,0.5,0.2,0.3
v1357,0.5,0.4,0.0,0.0,0.0,0.0
v1358,1.0,0.1,0.2,0.1,0.2,0.1
v1359,0.1,0.6,0.1,0.1,0.0,0.3
v1360,0.1,0.7,0.1,0.5,0.1,0.1
v1361,1.0,0.0,0.8,0.0,0.0,0.0
v1362,1.0,0.0,0.7,0.5,0.0,0.8
v1363,1.0,0.0,0.8,0.0,0.0,1.0
v1364,0.7,0.2,0.7,0.2,0.0,0.2
v1365,0.1,1.0,0.0,0.4,0.4,0.0
v1366,0.0,0.5,0.0,0.0,0.8,0.0
v1367,0.8,0.2,0.2,0.1,0.1,0.1
v1368,0.4,,,,,
v1369,0.0,1.0,0.0,0.5,0.0,0.0
v1370,0.0,1.0,0.8,0.7,1.0,0.5
v1371,1.0,0.0,1.0,0.0,0.0,0.5
v1372,0.5,0.2,0.5,0.2,0.0,0.2
v1373,0.3,0.0,0.0,0.3,0.0,0.0
v1374,0.0,0.7,0.0,0.0,0.8,0.0
v1375,1.0,0.0,0.9,0.0,0.0,0.0
v1376,0.9,0.1,0.1,0.1,0.1,0.1
v1377,0.0,0.5,0.0,0.1,0.0,0.0
v1378,0.0,0.7,0.0,0.8,0.0,0.0
v1379,0.0,0.0,0.0,0.0,1.0,0.0
v1380,0.0,1.0,0.0,0.6,0.0,0.0
v1381,0.6,0.1,0.6,0.1,,
v1382,0.7,0.0,0.0,0.0,0.0,0.0
v1383,0.5,0.5,0.7,0.4,0.2,0.3
v1384,0.0,1.0,0.0,1.0,0.0,0.0
v1385,1.0,0.0,1.0,0.0,0.0,0.0
v1386,0.7,0.0,0.2,0.1,0.0,0.0
v1387,1.0,0.0,0.8,0.0,0.0,0.7
v1388,0.9,0.1,0.1,0.1,0.1,0.1
v1389,0.0,0.0,0.0,0.0,0.0,0.0
v1390,0.7,0.3,0.6,0.4,0.1,0.8
v1391,0.3,0.9,0.0,0.2,0.3,0.2
v1392,0.5,0.5,0.5,0.5,0.5,0.5
v1393,0.5,0.6,0.2,0.4,0.2,0.2
v1394,1.0,0.0,0.8,0.5,0.0,0.7
v1395,0.0,0.8,0.1,0.5,0.2,0.0
v1396,0.0,1.0,0.0,0.5,0.0,0.0
v1397,0.1,0.8,0.1,0.1,,0.1
v1398,0.4,0.3,0.3,0.5,0.2,0.5
v1399,0.1,0.8,0.1,0.1,0.1,0.1
v1400,1.0,0.2,0.6,0.4,0.0,0.6
v1401,0.1,0.8,0.1,0.1,0.1,0.1
v1402,1.0,0.0,0.8,0.0,0.0,0.0
v1403,0.1,0.1,0.1,0.1,0.1,0.1
v1404,1.0,0.1,0.5,0.0,0.0,0.0
v1405,0.5,0.5,0.5,0.5,0.0,0.5
v1406,1.0,0.2,0.8,0.3,0.1,0.5
v1407,0.1,0.7,0.1,0.1,0.1,0.1
v1408,1.0,0.0,0.0,0.0,0.0,0.0
v1409,0.0,0.8,0.0,0.3,0.0,0.0
v1410,1.0,0.0,0.6,0.0,0.0,0.3
v1411,0.8,0.2,0.4,0.4,0.3,0.2
v1412,0.0,1.0,0.0,0.0,0.0,0.0
v1413,0.0,0.8,0.2,0.8,0.0,0.0
v1414,0.5,0.5,0.2,0.2,0.5,0.1
v1415,0.4,0.6,0.1,0.3,0.4,0.2
v1416,0.3,0.9,0.0,0.0,0.1,0.1
v1417,0.0,0.9,0.0,0.5,0.2,0.0
v1418,1.0,0.0,1.0,0.0,0.0,1.0
v1419,0.0,0.0,0.0,0.2,0.0,0.0
v1420,1.0,0.2,0.9,0.5,0.0,0.7
v1421,0.0,0.0,0.0,0.0,0.0,0.0
v1422,0.4,0.0,0.0,0.0,0.0,0.5
v1423,0.9,0.1,0.6,0.4,0.1,0.4
v1424,1.0,0.3,0.6,0.5,0.3,0.6
v1425,0.6,0.6,0.6,0.6,0.6,0.6
v1426,0.6,0.5,0.5,0.4,0.0,0.5
v1427,0.5,0.1,0.3,0.0,0.0,0.0
v1428,1.0,0.0,0.8,0.2,0.0,0.6
v1429,0.7,0.3,0.3,0.3,,
v1430,0.0,0.2,0.0,0.0,0.2,0.0
v1431,0.7,0.3,0.6,0.4,0.1,0.7
v1432,0.9,0.2,0.5,0.5,0.1,0.7
v1433,0.1,0.7,0.0,0.8,0.3,0.2
v1434,0.0,1.0,0.0,0.0,0.8,0.0
v1435,0.7,0.2,0.3,0.1,0.1,0.1
v1436,0.0,0.8,0.0,0.5,0.4,0.0
v1437,0.1,0.7,0.1,0.2,0.2,0.1
v1438,0.8,0.1,0.1,0.1,0.1,0.1
v1439,0.8,0.1,0.8,0.0,0.0,0.2
v1440,1.0,0.0,0.5,0.0,0.0,0.9
v1441,0.0,0.4,0.0,0.4,0.1,0.0
v1442,0.1,0.5,0.1,0.8,0.1,0.1
