,A,B,F,G,H,I
v865,1.0,0.0,0.7,0.0,0.1,0.6
v866,0.8,0.5,0.7,0.2,,
v867,0.6,0.4,0.4,0.2,0.0,0.0
v868,0.1,0.8,0.1,0.3,0.1,0.1
v869,0.3,0.2,0.3,0.4,0.0,0.0
v870,0.5,0.5,0.1,0.4,0.6,0.1
v871,0.9,0.0,0.0,0.3,0.0,0.0
v872,0.6,0.1,0.1,0.1,0.1,0.1
v873,1.0,0.2,0.5,0.4,0.0,1.0
v874,0.0,1.0,0.0,0.8,0.0,0.0
v875,0.0,0.1,0.0,0.1,0.0,0.0
v876,0.0,1.0,0.0,0.5,0.0,0.0
v877,0.8,1.0,0.5,0.5,,
v878,0.9,0.3,0.5,0.3,0.1,0.4
v879,1.0,0.8,0.7,0.5,0.2,0.6
v880,0.0,0.2,0.0,0.2,0.0,0.0
v881,0.0,0.6,0.0,0.0,1.0,0.0
v882,1.0,0.1,0.8,0.4,0.1,0.1
v883,0.0,0.0,0.0,0.0,0.0,0.0
v884,0.9,0.1,0.1,0.1,0.1,0.1
v885,0.0,0.1,0.0,0.0,0.7,0.0
v886,1.0,0.0,0.0,0.5,0.0,1.0
v887,0.0,1.0,0.0,0.0,0.5,0.0
v888,0.8,0.2,0.5,0.1,0.2,0.1
v889,0.7,0.9,0.0,0.5,0.9,0.0
v890,0.5,0.0,0.4,0.1,0.0,0.2
v891,0.0,0.0,0.0,0.0,1.0,0.0
v892,0.0,0.6,0.0,0.3,1.0,0.0
v893,0.3,0.4,0.2,0.3,0.4,0.2
v894,0.9,0.3,0.4,0.5,0.2,0.3
v895,0.0,0.5,0.0,0.2,0.0,0.0
v896,0.6,0.1,0.1,0.1,0.6,0.1
v897,1.0,0.0,1.0,0.0,0.0,0.0
v898,0.0,1.0,0.0,0.0,0.0,0.0
v899,0.5,0.0,0.0,0.5,0.0,0.0
v900,,0.7,0.1,0.2,0.1,0.1
v901,0.0,0.9,0.0,0.5,0.6,0.2
v902,0.0,0.8,0.0,0.0,1.0,0.0
v903,1.0,0.2,0.8,0.3,0.0,0.4
v904,1.0,0.0,1.0,0.0,0.0,0.3
v905,0.4,0.4,0.0,0.0,0.0,0.0
v906,0.3,0.6,0.1,0.2,0.7,0.2
v907,0.1,0.7,0.1,0.1,0.1,0.1
v908,0.4,0.1,0.1,0.1,0.1,0.1
v909,0.5,0.0,0.5,0.0,0.0,0.0
v910,0.0,0.0,0.0,0.0,0.0,0.0
v911,0.1,0.5,0.0,0.0,0.6,0.0
v912,0.3,0.8,0.1,0.4,0.3,0.2
v913,0.0,0.0,0.0,0.3,0.0,0.0
v914,0.1,0.9,0.1,0.1,0.1,0.1
v915,0.0,1.0,0.0,0.0,0.0,0.0
v916,1.0,0.1,0.8,0.1,0.1,0.1
v917,0.4,0.3,0.3,0.1,0.1,0.1
v918,0.5,0.2,0.5,0.4,0.2,0.7
v919,0.9,0.2,0.5,0.5,0.4,0.6
v920,0.1,1.0,0.1,0.5,0.1,0.1
v921,0.0,0.0,0.0,0.0,1.0,0.0
v922,0.6,0.3,0.0,1.0,0.0,0.0
v923,1.0,0.0,0.6,0.0,0.0,0.3
v924,0.1,0.8,0.1,0.1,0.1,0.1
v925,0.6,0.1,0.3,0.1,,0.6
v926,1.0,0.0,0.8,0.0,0.0,0.0
v927,0.0,0.3,0.0,0.0,0.0,0.0
v928,0.3,0.3,0.3,0.3,0.0,0.3
v929,1.0,0.0,0.8,0.0,0.0,0.0
v930,0.3,0.8,0.4,0.8,0.2,0.3
v931,0.8,0.3,0.7,0.2,,
v932,0.0,0.5,0.0,0.2,1.0,0.0
v933,1.0,0.0,1.0,0.0,0.0,0.8
v934,0.0,0.8,0.0,0.5,0.0,0.0
v935,0.1,0.7,0.1,0.5,0.1,0.1
v936,0.0,1.0,0.0,0.0,0.0,0.0
v937,1.0,0.1,0.7,0.2,0.0,
v938,0.2,0.4,0.1,0.1,0.1,0.1
v939,0.0,0.5,0.0,0.0,0.6,0.0
v940,0.1,1.0,0.1,0.5,0.5,0.0
v941,0.0,0.7,0.0,0.9,0.0,0.0
v942,0.2,0.8,0.1,0.3,0.4,0.2
v943,0.8,0.2,0.5,0.5,0.2,0.7
v944,0.1,0.4,0.9,0.2,0.1,0.1
v945,0.9,0.1,0.1,0.1,0.1,0.1
v946,0.8,0.1,0.1,0.1,0.1,0.1
v947,0.4,0.0,0.4,0.2,0.3,1.0
v948,1.0,0.0,1.0,0.0,0.0,0.0
v949,0.0,0.0,0.0,0.0,0.0,0.0
v950,0.8,0.2,0.5,0.4,0.0,0.6
v951,0.1,0.8,0.1,0.3,,0.1
v952,1.0,0.2,0.5,0.2,0.0,0.9
v953,0.8,0.3,0.4,0.2,0.2,0.2
v954,0.0,0.0,0.0,0.0,0.0,0.0
v955,0.1,0.4,0.2,0.1,0.0,0.0
v956,0.3,0.1,0.2,0.1,0.1,0.3
v957,0.0,1.0,0.0,0.5,0.0,0.0
v958,0.1,0.1,0.1,0.1,0.0,0.1
v959,0.0,0.0,0.0,0.1,0.8,0.2
v960,1.0,0.1,0.9,0.1,0.4,0.5
v961,0.0,0.5,0.0,0.0,0.0,0.0
v962,0.0,0.6,0.2,0.3,0.0,0.0
v963,0.8,0.1,1.0,0.1,0.0,0.5
v964,0.0,0.7,0.0,0.0,0.0,0.0
v965,1.0,0.0,0.5,0.6,0.2,0.7
v966,0.6,0.2,0.2,0.3,0.2,0.2
v967,0.1,0.2,0.2,0.3,0.1,0.2
v968,0.8,0.2,0.5,0.4,0.3,0.2
v969,0.8,0.1,0.1,0.1,0.1,0.1
v970,0.2,0.3,0.1,0.2,0.0,0.0
v971,0.8,0.2,0.5,0.4,0.0,0.0
v972,0.0,1.0,0.0,0.0,0.0,0.0
v973,0.5,0.4,0.5,0.5,0.0,0.4
v974,0.9,0.3,0.6,0.2,0.0,0.3
v975,0.0,0.7,0.0,0.0,0.0,0.0
v976,0.0,0.8,0.0,0.0,0.0,0.0
v977,0.1,0.6,0.2,1.0,0.4,0.3
v978,1.0,0.1,0.8,0.1,0.1,0.1
v979,,,,,0.0,
v980,0.0,0.8,0.0,0.0,0.0,0.0
v981,0.1,0.1,0.1,0.1,0.1,0.1
v982,0.9,0.1,0.6,0.3,0.2,0.4
v983,1.0,0.2,0.2,0.3,0.2,0.2
v984,0.5,,,0.5,0.5,0.0
v985,0.1,0.8,0.1,0.3,0.1,0.1
v986,0.0,0.9,0.0,0.7,0.0,0.0
v987,0.0,0.1,0.0,0.1,0.0,0.0
v988,0.3,0.3,0.3,0.3,0.0,0.3
v989,0.1,0.8,0.1,0.3,0.1,0.1
v990,0.8,0.0,0.6,0.2,,0.8
v991,0.0,0.3,0.0,0.3,0.2,0.1
v992,0.1,0.3,0.1,0.2,0.7,0.1
v993,1.0,0.1,0.3,0.2,0.1,0.5
v994,0.9,0.1,0.1,0.1,0.1,0.1
v995,1.0,0.0,0.4,0.0,0.0,0.0
v996,0.0,0.0,0.0,0.0,0.0,0.0
v997,0.1,0.8,0.1,0.1,0.1,0.1
v998,1.0,0.0,0.5,0.0,0.0,0.5
v999,0.1,0.1,0.1,0.1,0.1,0.1
v1000,0.4,0.2,0.0,0.2,0.0,0.0
v1001,0.7,0.1,0.1,0.1,0.1,0.1
v1002,0.0,1.0,0.0,1.0,0.0,0.0
v1003,0.8,0.2,0.7,0.1,0.1,0.4
v1004,0.3,0.2,0.5,0.4,0.1,0.3
