"","cand_A","cand_B","cand_C","cand_D","cand_E","cand_F"
"12086",5,0,0,10,0,5
"12087",0,0,0,0,0,0
"12088",3,9,0,2,3,4
"12090",0,0,0,0,0,0
"12092",6,2,6,7,1,5
"12093",10,2,0,5,0,4
"12094",5,10,0,7,6,5
"12095",5,0,0,0,0,0
"12096",0,3,3,0,2,2
"12097",5,7,6,5,4,4
"12098",5,0,8,5,0,0
"12099",5,0,8,5,8,5
"12102",1,2,2,1,4,1
"12103",5,0,3,5,0,5
"12104",0,0,0,0,0,0
"12106",3,8,0,2,5,5
"12107",9,8,7,3,5,4
"12108",0,5,0,0,0,0
"12111",1,3,4,2,2,3
"12114",8,0,5,5,5,5
"12115",0,0,0,0,0,0
"12116",1,2,3,2,3,2
"12117",5,10,3,5,2,2
"12118",0,0,10,0,0,0
"12119",1,3,2,3,3,4
"12123",5,9,3,1,2,0
"12125",7,7,6,5,6,6
"12126",6,8,8,6,6,7
"12127",0,0,0,0,0,0
"12129",3,8,5,10,7,5
"12130",2,0,6,1,0,0
"12131",5,2,2,4,4,5
"12133",6,4,5,6,2,2
"12134",0,0,0,0,0,0
"12136",5,5,3,10,5,4
"12137",8,5,3,5,1,1
"12138",7,7,7,8,4,8
"12140",3,0,3,3,2,3
"12141",7,0,0,5,2,6
"12142",0,10,8,0,5,2
"12143",5,5,3,4,0,3
"12144",0,0,8,7,0,6
"12145",0,0,0,0,0,0
"12147",4,0,6,4,3,5
"12148",3,0,4,2,3,3
"12149",3,5,7,2,7,1
"12150",6,0,8,9,6,8
"12151",3,9,0,0,4,0
"12152",8,3,0,0,0,2
"12153",0,0,6,3,0,0
"12154",0,0,0,0,0,0
"12155",8,5,3,9,2,4
"12157",0,0,0,0,0,0
"12158",5,0,7,8,4,5
"12160",0,0,0,0,0,0
"12161",1,3,2,2,0,3
"12162",10,0,0,0,0,0
"12164",10,0,5,0,3,6
"12165",5,4,4,3,2,3
"12166",7,0,7,8,1,1
"12167",10,0,0,0,0,0
"12171",10,0,10,10,0,10
"12173",0,4,8,4,0,5
"12174",7,1,1,0,1,1
"12175",2,2,5,2,2,1
"12176",0,3,0,3,2,2
"12177",8,4,5,8,4,8
"12178",0,0,0,0,3,6
"12179",0,0,0,0,0,0
"12180",3,0,6,5,5,3
"12181",0,1,8,10,2,1
"12183",0,0,5,0,0,0
"12184",0,10,10,10,0,10
"12185",2,1,8,2,3,3
"12186",5,2,7,5,3,5
"12187",7,8,8,7,8,5
"12188",0,0,5,3,0,2
"12189",0,8,8,0,0,1
"12191",3,3,1,5,3,4
"12193",8,5,6,7,7,6
"12194",3,0,0,0,0,0
"12195",0,5,0,5,5,5
"12200",0,0,0,0,0,0
"12201",1,0,9,0,9,0
"12203",6,0,0,0,0,0
