"","cand_A","cand_B","cand_C","cand_D","cand_E","cand_F","cand_G","cand_H","cand_I"
"16703",0,6,7,7,0,0,5,6,4
"16704",0,1,2,10,0,0,0,1,0
"16705",0,1,2,8,1,1,1,1,1
"16707",7,9,3,4,6,10,2,5,0
"16708",5,9,6,6,7,6,6,8,2
"16709",8,3,6,7,10,8,8,6,5
"16710",7,1,9,4,8,5,6,3,1
"16711",8,0,5,2,8,7,7,6,1
"16712",7,5,7,5,6,6,4,3,2
"16713",8,9,4,5,5,5,1,2,4
"16714",5,5,0,0,5,0,0,0,0
"16716",10,5,4,3,4,4,4,0,0
"16717",8,10,5,7,9,10,5,5,3
"16720",7,4,9,6,6,5,6,6,5
"16721",0,2,2,2,0,1,0,0,0
"16722",6,0,3,4,9,5,4,3,0
"16724",8,6,4,3,8,2,2,3,1
"16725",6,0,6,2,8,5,6,2,0
"16726",7,0,8,0,8,9,7,2,0
"16727",6,0,7,0,8,10,7,2,0
"16728",9,3,0,0,4,4,4,2,0
"16729",4,5,10,2,4,0,5,2,5
"16730",7,2,3,9,6,9,5,4,2
"16731",7,0,8,5,9,6,1,2,2
"16732",4,1,5,5,6,8,5,0,0
"16733",8,0,6,6,8,5,4,1,3
"16734",8,0,2,2,6,8,2,2,0
"16735",8,5,1,6,8,9,8,2,2
"16736",0,10,1,1,0,0,0,1,0
"16737",8,1,6,8,8,7,9,4,0
"16738",0,10,0,0,0,0,0,0,0
"16739",8,8,4,5,3,4,6,6,6
"16740",8,7,7,7,5,5,5,9,7
"16741",10,6,0,0,10,10,0,0,0
"16742",8,8,6,7,5,5,2,1,0
"16746",5,0,0,0,0,10,0,0,0
"16747",3,10,2,5,4,8,2,4,1
"16751",3,7,0,3,1,1,1,1,0
"16752",0,2,9,1,3,0,0,2,0
"16755",5,3,7,8,5,1,4,2,7
"16756",2,3,8,6,2,1,2,2,1
"16757",2,0,7,8,5,0,2,3,1
"16759",2,9,2,2,0,1,1,1,4
"16760",5,2,7,5,5,4,5,6,5
"16761",5,5,5,5,5,5,0,0,5
"16762",5,4,3,7,5,6,5,5,6
"16763",8,1,0,2,4,2,1,3,0
"16764",8,2,6,6,9,6,4,4,4
"16766",6,3,6,5,5,4,2,2,0
"16768",4,1,10,8,7,1,5,7,2
"16769",5,0,5,5,0,0,0,0,0
"16770",6,6,10,7,7,6,5,5,3
"16771",9,3,3,1,6,7,4,4,2
"16772",5,2,5,5,4,4,4,4,5
"16773",8,4,9,4,4,3,3,3,2
"16774",7,6,6,5,6,5,6,5,3
"16775",10,2,3,4,5,5,1,2,0
"16776",0,0,0,0,6,0,0,0,0
