"","cand_A","cand_B","cand_C","cand_D","cand_E","cand_F","cand_G"
"13346",9,8,0,5,6,5,9
"13347",6,8,0,6,6,9,8
"13348",3,7,0,7,2,1,0
"13349",8,6,0,7,6,0,10
"13351",6,10,0,3,2,7,2
"13352",8,5,0,8,1,8,0
"13353",9,9,0,7,6,9,8
"13354",10,7,0,8,0,8,5
"13355",5,10,0,5,8,10,1
"13356",1,2,0,0,2,2,0
"13357",10,8,0,7,4,7,6
"13358",8,10,4,4,7,3,9
"13359",8,7,1,6,5,6,8
"13360",8,10,4,9,8,7,3
"13361",8,7,0,7,4,6,3
"13362",8,9,0,8,9,6,7
"13363",6,2,6,2,0,0,8
"13364",9,7,0,8,0,1,9
"13365",10,9,2,7,6,7,9
"13366",2,5,0,4,1,5,1
"13367",8,9,0,7,1,9,5
"13368",6,10,0,5,3,7,7
"13369",2,2,1,4,4,4,2
"13370",5,8,0,5,10,8,5
"13371",5,6,2,5,9,8,5
"13372",5,6,0,0,7,10,1
"13373",10,6,0,5,5,8,7
"13374",7,7,0,0,5,7,7
"13375",5,7,7,5,3,5,5
"13376",5,8,5,6,7,2,5
"13377",1,5,8,6,5,2,2
"13378",8,9,5,4,6,6,8
"13379",7,3,0,8,0,3,5
"13380",3,6,9,3,7,8,7
"13381",3,3,0,4,0,6,5
"13382",9,8,0,9,3,4,9
"13383",8,6,9,9,7,5,10
"13384",9,7,0,6,3,8,5
"13385",8,8,0,5,3,9,5
"13386",9,8,0,10,5,5,8
"13387",9,7,2,5,2,7,5
"13388",10,7,0,8,1,7,5
"13389",8,7,0,5,0,6,4
"13390",8,7,0,8,8,9,5
"13392",8,8,3,6,6,7,6
"13393",8,7,0,9,3,8,5
"13394",6,7,3,5,5,7,5
"13395",6,5,0,8,0,1,9
"13396",4,8,0,3,8,8,3
"13397",8,7,5,8,5,8,8
"13398",10,8,0,5,4,8,8
"13399",9,6,0,5,2,7,5
"13400",9,7,3,7,2,7,9
"13401",9,7,2,5,3,4,5
"13402",5,7,0,5,5,7,5
