rule,social_acceptability_mean,utility_mean_mean,utility_median_mean,utility_var_mean,rank_mean_mean,rank_median_mean,rank_var_mean,freq_first_mean,freq_last_mean,has_tie_mean,n_cowinners_mean
AP_T05,0.44541290857210164,0.5065628230865832,0.475,0.08907777758428768,2.398894160412296,2.0,1.994273145191551,0.38693668871198034,0.13187951885652408,0.0,1.0
AP_T07,0.44541290857210164,0.5065628230865832,0.475,0.08907777758428768,2.398894160412296,2.0,1.994273145191551,0.38693668871198034,0.13187951885652408,0.0,1.0
AP_T0GE,0.7596731057515328,0.4001371343466559,0.425,0.07732070764829099,3.0,3.0,2.0,1.0,1.0,1.0,5.0
BALD,0.44541290857210164,0.5065628230865832,0.475,0.08907777758428768,2.398894160412296,2.0,1.994273145191551,0.38693668871198034,0.13187951885652408,0.0,1.0
BLAC,0.44541290857210164,0.5065628230865832,0.475,0.08907777758428768,2.398894160412296,2.0,1.994273145191551,0.38693668871198034,0.13187951885652408,0.0,1.0
BORD,0.44541290857210164,0.5065628230865832,0.475,0.08907777758428768,2.398894160412296,2.0,1.994273145191551,0.38693668871198034,0.13187951885652408,0.0,1.0
BUCK_I,0.44541290857210164,0.5065628230865832,0.475,0.08907777758428768,2.398894160412296,2.0,1.994273145191551,0.38693668871198034,0.13187951885652408,0.0,1.0
BUCK_R,0.44541290857210164,0.5065628230865832,0.475,0.08907777758428768,2.398894160412296,2.0,1.994273145191551,0.38693668871198034,0.13187951885652408,0.0,1.0
COOM,0.40973353418304986,0.4912402424414219,0.45,0.07960390251728047,2.4182001232666464,2.25,1.7630956049609412,0.3412377639807975,0.10353152276659253,0.0,1.0
COPE,0.44541290857210164,0.5065628230865832,0.475,0.08907777758428768,2.398894160412296,2.0,1.994273145191551,0.38693668871198034,0.13187951885652408,0.0,1.0
HARE,0.44541290857210164,0.5065628230865832,0.475,0.08907777758428768,2.398894160412296,2.0,1.994273145191551,0.38693668871198034,0.13187951885652408,0.0,1.0
KIMR,0.40973353418304986,0.4912402424414219,0.45,0.07960390251728047,2.4182001232666464,2.25,1.7630956049609412,0.3412377639807975,0.10353152276659253,0.0,1.0
L4DV,0.44541290857210164,0.5065628230865832,0.475,0.08907777758428768,2.398894160412296,2.0,1.994273145191551,0.38693668871198034,0.13187951885652408,0.0,1.0
L6DV,0.44541290857210164,0.5065628230865832,0.475,0.08907777758428768,2.398894160412296,2.0,1.994273145191551,0.38693668871198034,0.13187951885652408,0.0,1.0
MJ,0.44541290857210164,0.5065628230865832,0.475,0.08907777758428768,2.398894160412296,2.0,1.994273145191551,0.38693668871198034,0.13187951885652408,0.0,1.0
MMIN,0.44541290857210164,0.5065628230865832,0.475,0.08907777758428768,2.398894160412296,2.0,1.994273145191551,0.38693668871198034,0.13187951885652408,0.0,1.0
NANS,0.44541290857210164,0.5065628230865832,0.475,0.08907777758428768,2.398894160412296,2.0,1.994273145191551,0.38693668871198034,0.13187951885652408,0.0,1.0
PLU1,0.44541290857210164,0.5065628230865832,0.475,0.08907777758428768,2.398894160412296,2.0,1.994273145191551,0.38693668871198034,0.13187951885652408,0.0,1.0
PLU2,0.44541290857210164,0.5065628230865832,0.475,0.08907777758428768,2.398894160412296,2.0,1.994273145191551,0.38693668871198034,0.13187951885652408,0.0,1.0
RV,0.44541290857210164,0.5065628230865832,0.475,0.08907777758428768,2.398894160412296,2.0,1.994273145191551,0.38693668871198034,0.13187951885652408,0.0,1.0
SCHU,0.44541290857210164,0.5065628230865832,0.475,0.08907777758428768,2.398894160412296,2.0,1.994273145191551,0.38693668871198034,0.13187951885652408,0.0,1.0
STAR,0.44541290857210164,0.5065628230865832,0.475,0.08907777758428768,2.398894160412296,2.0,1.994273145191551,0.38693668871198034,0.13187951885652408,0.0,1.0
VETO,0.40973353418304986,0.4912402424414219,0.45,0.07960390251728047,2.4182001232666464,2.25,1.7630956049609412,0.3412377639807975,0.10353152276659253,0.0,1.0
WOOD,0.44541290857210164,0.5065628230865832,0.475,0.08907777758428768,2.398894160412296,2.0,1.994273145191551,0.38693668871198034,0.13187951885652408,0.0,1.0
YOUN,0.44541290857210164,0.5065628230865832,0.475,0.08907777758428768,2.398894160412296,2.0,1.994273145191551,0.38693668871198034,0.13187951885652408,0.0,1.0
AP_K2,0.44541290857210164,0.5065628230865832,0.475,0.08907777758428768,2.398894160412296,2.0,1.994273145191551,0.38693668871198034,0.13187951885652408,0.0,1.0
AP_K3,0.40973353418304986,0.4912402424414219,0.45,0.07960390251728047,2.4182001232666464,2.25,1.7630956049609412,0.3412377639807975,0.10353152276659253,0.0,1.0
AP_KRP,0.44541290857210164,0.5065628230865832,0.475,0.08907777758428768,2.398894160412296,2.0,1.994273145191551,0.38693668871198034,0.13187951885652408,0.0,1.0
COND,0.7049210396358303,0.4301412665780608,0.425,0.07711350943778625,2.7807851239669423,2.75,1.8674900963048973,0.8502066115702479,0.7663223140495867,0.75,4.0
