,AP_T05,AP_T07,AP_T0GE,BALD,BLAC,BORD,BUCK_I,BUCK_R,CAIR,COOM,COPE,HARE,KIMR,L4DV,L6DV,MJ,MMIN,NANS,PLU1,PLU2,RV,SCHU,STAR,VETO,WOOD,YOUN,AP_K2,AP_K3,AP_KRP,DODG_C,COND
AP_T05,0.0,8.333333,51.851852,37.03704,37.03704,37.03704,53.703705,45.370373,16.666666,53.703705,44.444447,53.703705,62.03704,0.0,16.666666,8.333333,37.03704,37.03704,70.37037,53.703705,0.0,37.03704,0.0,78.703705,38.88889,30.555557,70.37037,44.444447,44.444447,8.333333,44.444447
AP_T07,8.333333,0.0,51.851852,45.370373,45.370373,45.370373,62.03704,53.703705,25.0,62.03704,52.77778,62.03704,70.37037,8.333333,8.333333,16.666666,45.370373,45.370373,62.03704,62.03704,8.333333,45.370373,8.333333,78.703705,47.22222,38.88889,62.03704,52.77778,52.77778,16.666666,44.444447
AP_T0GE,51.851852,51.851852,0.0,88.88889,88.88889,88.88889,88.88889,88.88889,51.851852,88.88889,87.03704,88.88889,88.88889,51.851852,51.851852,51.851852,88.88889,88.88889,88.88889,88.88889,51.851852,88.88889,51.851852,88.88889,74.07408,74.07408,88.88889,87.96297,87.96297,52.77778,7.4074078
BALD,37.03704,45.370373,88.88889,0.0,0.0,0.0,33.333332,33.333332,53.703705,25.0,20.833334,16.666666,33.333332,37.03704,53.703705,45.370373,0.0,0.0,50.0,33.333332,37.03704,0.0,37.03704,66.666664,31.481482,23.14815,41.666668,12.5,41.666668,45.370373,81.48148
BLAC,37.03704,45.370373,88.88889,0.0,0.0,0.0,33.333332,33.333332,53.703705,25.0,20.833334,16.666666,33.333332,37.03704,53.703705,45.370373,0.0,0.0,50.0,33.333332,37.03704,0.0,37.03704,66.666664,31.481482,23.14815,41.666668,12.5,41.666668,45.370373,81.48148
BORD,37.03704,45.370373,88.88889,0.0,0.0,0.0,33.333332,33.333332,53.703705,25.0,20.833334,16.666666,33.333332,37.03704,53.703705,45.370373,0.0,0.0,50.0,33.333332,37.03704,0.0,37.03704,66.666664,31.481482,23.14815,41.666668,12.5,41.666668,45.370373,81.48148
BUCK_I,53.703705,62.03704,88.88889,33.333332,33.333332,33.333332,0.0,41.666668,62.03704,8.333333,16.666666,41.666668,25.0,53.703705,70.37037,53.703705,33.333332,33.333332,83.333336,66.666664,53.703705,33.333332,53.703705,50.0,39.814816,31.481482,75.0,45.833332,50.0,53.703705,81.48148
BUCK_R,45.370373,53.703705,88.88889,33.333332,33.333332,33.333332,41.666668,0.0,53.703705,41.666668,33.333332,41.666668,50.0,45.370373,62.03704,45.370373,33.333332,33.333332,75.0,50.0,45.370373,33.333332,45.370373,50.0,39.814816,31.481482,75.0,41.666668,50.0,45.370373,81.48148
CAIR,16.666666,25.0,51.851852,53.703705,53.703705,53.703705,62.03704,53.703705,0.0,62.03704,48.611115,37.03704,62.03704,16.666666,33.333332,8.333333,53.703705,53.703705,78.703705,53.703705,16.666666,53.703705,16.666666,78.703705,22.222223,30.555557,78.703705,44.444447,61.111115,16.666666,44.444447
COOM,53.703705,62.03704,88.88889,25.0,25.0,25.0,8.333333,41.666668,62.03704,0.0,16.666666,33.333332,16.666666,53.703705,70.37037,53.703705,25.0,25.0,75.0,58.333332,53.703705,25.0,53.703705,58.333332,39.814816,31.481482,66.666664,37.5,58.333332,53.703705,81.48148
