,AP_T05,AP_T07,AP_T0GE,BALD,BLAC,BORD,BUCK_I,BUCK_R,CAIR,COOM,COPE,HARE,KIMR,L4DV,L6DV,MJ,MMIN,NANS,PLU1,PLU2,RV,SCHU,STAR,VETO,WOOD,YOUN,AP_K2,AP_K3,AP_KRP,DODG_C,COND
AP_T05,0.0,27.272728,85.71429,45.454544,45.454544,36.363636,45.454544,36.363636,27.272728,45.454544,45.454544,27.272728,63.636364,27.272728,27.272728,27.272728,45.454544,45.454544,45.454544,36.363636,27.272728,45.454544,36.363636,63.636364,27.272728,45.454544,27.272728,36.363636,36.363636,45.454544,85.71429
AP_T07,27.272728,0.0,85.71429,36.363636,36.363636,45.454544,36.363636,45.454544,18.181818,36.363636,36.363636,18.181818,54.545456,36.363636,36.363636,36.363636,36.363636,36.363636,36.363636,27.272728,36.363636,36.363636,45.454544,90.90909,18.181818,36.363636,36.363636,45.454544,27.272728,36.363636,85.71429
AP_T0GE,85.71429,85.71429,0.0,85.71429,85.71429,85.71429,85.71429,85.71429,85.71429,85.71429,85.71429,85.71429,85.71429,85.71429,85.71429,85.71429,85.71429,85.71429,85.71429,85.71429,85.71429,85.71429,85.71429,85.71429,85.71429,85.71429,85.71429,85.71429,85.71429,85.71429,0.0
BALD,45.454544,36.363636,85.71429,0.0,0.0,27.272728,0.0,9.090909,18.181818,0.0,0.0,18.181818,18.181818,36.363636,36.363636,27.272728,0.0,0.0,45.454544,18.181818,27.272728,0.0,18.181818,72.72727,18.181818,0.0,36.363636,9.090909,18.181818,0.0,85.71429
BLAC,45.454544,36.363636,85.71429,0.0,0.0,27.272728,0.0,9.090909,18.181818,0.0,0.0,18.181818,18.181818,36.363636,36.363636,27.272728,0.0,0.0,45.454544,18.181818,27.272728,0.0,18.181818,72.72727,18.181818,0.0,36.363636,9.090909,18.181818,0.0,85.71429
BORD,36.363636,45.454544,85.71429,27.272728,27.272728,0.0,27.272728,18.181818,36.363636,27.272728,27.272728,36.363636,45.454544,9.090909,9.090909,9.090909,27.272728,27.272728,54.545456,27.272728,9.090909,27.272728,9.090909,45.454544,36.363636,27.272728,18.181818,18.181818,18.181818,27.272728,85.71429
BUCK_I,45.454544,36.363636,85.71429,0.0,0.0,27.272728,0.0,9.090909,18.181818,0.0,0.0,18.181818,18.181818,36.363636,36.363636,27.272728,0.0,0.0,45.454544,18.181818,27.272728,0.0,18.181818,72.72727,18.181818,0.0,36.363636,9.090909,18.181818,0.0,85.71429
BUCK_R,36.363636,45.454544,85.71429,9.090909,9.090909,18.181818,9.090909,0.0,27.272728,9.090909,9.090909,27.272728,27.272728,27.272728,27.272728,18.181818,9.090909,9.090909,54.545456,27.272728,18.181818,9.090909,9.090909,63.636364,27.272728,9.090909,27.272728,0.0,27.272728,9.090909,85.71429
CAIR,27.272728,18.181818,85.71429,18.181818,18.181818,36.363636,18.181818,27.272728,0.0,18.181818,18.181818,0.0,36.363636,27.272728,27.272728,27.272728,18.181818,18.181818,36.363636,9.090909,27.272728,18.181818,36.363636,81.818184,0.0,18.181818,27.272728,27.272728,18.181818,18.181818,85.71429
COOM,45.454544,36.363636,85.71429,0.0,0.0,27.272728,0.0,9.090909,18.181818,0.0,0.0,18.181818,18.181818,36.363636,36.363636,27.272728,0.0,0.0,45.454544,18.181818,27.272728,0.0,18.181818,72.72727,18.181818,0.0,36.363636,9.090909,18.181818,0.0,85.71429
COPE,45.454544,36.363636,85.71429,0.0,0.0,27.272728,0.0,9.090909,18.181818,0.0,0.0,18.181818,18.181818,36.363636,36.363636,27.272728,0.0,0.0,45.454544,18.181818,27.272728,0.0,18.181818,72.72727,18.181818,0.0,36.363636,9.090909,18.181818,0.0,85.71429
HARE,27.272728,18.181818,85.71429,18.181818,18.181818,36.363636,18.181818,27.272728,0.0,18.181818,18.181818,0.0,36.363636,27.272728,27.272728,27.272728,18.181818,18.181818,36.363636,9.090909,27.272728,18.181818,36.363636,81.818184,0.0,18.181818,27.272728,27.272728,18.181818,18.181818,85.71429
KIMR,63.636364,54.545456,85.71429,18.181818,18.181818,45.454544,18.181818,27.272728,36.363636,18.181818,18.181818,36.363636,0.0,54.545456,54.545456,45.454544,18.181818,18.181818,63.636364,36.363636,45.454544,18.181818,36.363636,54.545456,36.363636,18.181818,54.545456,27.272728,36.363636,18.181818,85.71429
L4DV,27.272728,36.363636,85.71429,36.363636,36.363636,9.090909,36.363636,27.272728,27.272728,36.363636,36.363636,27.272728,54.545456,0.0,0.0,18.181818,36.363636,36.363636,54.545456,18.181818,18.181818,36.363636,18.181818,54.545456,27.272728,36.363636,18.181818,27.272728,27.272728,36.363636,85.71429
L6DV,27.272728,36.363636,85.71429,36.363636,36.363636,9.090909,36.363636,27.272728,27.272728,36.363636,36.363636,27.272728,54.545456,0.0,0.0,18.181818,36.363636,36.363636,54.545456,18.181818,18.181818,36.363636,18.181818,54.545456,27.272728,36.363636,18.181818,27.272728,27.272728,36.363636,85.71429
