rule,social_acceptability_mean,utility_mean_mean,utility_median_mean,utility_var_mean,rank_mean_mean,rank_median_mean,rank_var_mean,freq_first_mean,freq_last_mean,has_tie_mean,n_cowinners_mean
AP_T05,0.466247625851554,0.4973265890931176,0.509090909090909,0.09660214725709357,3.225427211498699,3.0,3.7046891954760537,0.2553750472099238,0.06909574098609762,0.0,1.0
AP_T07,0.4606016059315673,0.4932786726247318,0.5,0.10114000417720061,3.255343950806305,3.090909090909091,3.837796435885191,0.2653901854004259,0.07654185408860786,0.0,1.0
AP_T0GE,0.8709457351412627,0.3868698022523271,0.3727272727272728,0.09249523035190176,4.0,4.0,4.0,1.0,1.0,1.0,7.0
BALD,0.45672085691318043,0.49977381387969094,0.509090909090909,0.09040047331889914,3.1625411849909026,2.909090909090909,3.4507892956167754,0.25288834489060596,0.06169382371369399,0.0,1.0
BLAC,0.45672085691318043,0.49977381387969094,0.509090909090909,0.09040047331889914,3.1625411849909026,2.909090909090909,3.4507892956167754,0.25288834489060596,0.06169382371369399,0.0,1.0
BORD,0.4551520559470571,0.5015003449180117,0.509090909090909,0.08805971925001073,3.153275042935577,3.0,3.359420475521422,0.24514271184240807,0.05984702133987709,0.0,1.0
BUCK_I,0.45672085691318043,0.49977381387969094,0.509090909090909,0.09040047331889914,3.1625411849909026,2.909090909090909,3.4507892956167754,0.25288834489060596,0.06169382371369399,0.0,1.0
BUCK_R,0.4580838117993737,0.5011367687658842,0.509090909090909,0.08933054555959494,3.156748626724581,2.909090909090909,3.4083648726912616,0.24525579752792367,0.060739755293358705,0.0,1.0
COOM,0.45672085691318043,0.49977381387969094,0.509090909090909,0.09040047331889914,3.1625411849909026,2.909090909090909,3.4507892956167754,0.25288834489060596,0.06169382371369399,0.0,1.0
COPE,0.45672085691318043,0.49977381387969094,0.509090909090909,0.09040047331889914,3.1625411849909026,2.909090909090909,3.4507892956167754,0.25288834489060596,0.06169382371369399,0.0,1.0
HARE,0.46364750959151285,0.49884844173721343,0.509090909090909,0.09701739452236592,3.1908913627671724,3.0,3.677839731782706,0.2674925570382112,0.06665890472160814,0.0,1.0
KIMR,0.4427622546472599,0.489432388278056,0.5,0.08384049712542173,3.209931644677441,2.909090909090909,3.2334169586163073,0.22034256362208768,0.05873329634423106,0.0,1.0
L4DV,0.4588169241136049,0.5005434071189686,0.509090909090909,0.09112384908493093,3.1738390254256514,3.090909090909091,3.4331699623794587,0.24890938190247122,0.062392068677757574,0.0,1.0
L6DV,0.4588169241136049,0.5005434071189686,0.509090909090909,0.09112384908493093,3.1738390254256514,3.090909090909091,3.4331699623794587,0.24890938190247122,0.062392068677757574,0.0,1.0
MJ,0.46114953069453174,0.5017107826284494,0.509090909090909,0.09187237318129893,3.162639521050055,2.909090909090909,3.5482156173330566,0.25524372194341816,0.06289836814122389,0.0,1.0
MMIN,0.45672085691318043,0.49977381387969094,0.509090909090909,0.09040047331889914,3.1625411849909026,2.909090909090909,3.4507892956167754,0.25288834489060596,0.06169382371369399,0.0,1.0
NANS,0.45672085691318043,0.49977381387969094,0.509090909090909,0.09040047331889914,3.1625411849909026,2.909090909090909,3.4507892956167754,0.25288834489060596,0.06169382371369399,0.0,1.0
PLU1,0.4389439821630448,0.47798488555796736,0.4818181818181818,0.10358698675531595,3.3757989933120687,3.1818181818181817,4.2438207113479125,0.2791361166989304,0.09556724352651612,0.0,1.0
PLU2,0.45765003484403805,0.4986380040267757,0.509090909090909,0.09320474059107772,3.1815268846526936,3.090909090909091,3.4890445899710714,0.25739154693720107,0.06360755792026135,0.0,1.0
RV,0.46114953069453174,0.5017107826284494,0.509090909090909,0.09187237318129893,3.162639521050055,2.909090909090909,3.5482156173330566,0.25524372194341816,0.06289836814122389,0.0,1.0
SCHU,0.45672085691318043,0.49977381387969094,0.509090909090909,0.09040047331889914,3.1625411849909026,2.909090909090909,3.4507892956167754,0.25288834489060596,0.06169382371369399,0.0,1.0
STAR,0.4578877461827473,0.5016792169718838,0.509090909090909,0.08831958181275235,3.1548533257638596,2.909090909090909,3.394914668025163,0.2444061798558761,0.06047833447119022,0.0,1.0
VETO,0.4300670729134707,0.48354539010110265,0.5,0.07784512130622603,3.274104809119086,3.090909090909091,2.9405414928412132,0.18265596499797823,0.05031080015171214,0.0,1.0
WOOD,0.46364750959151285,0.49884844173721343,0.509090909090909,0.09701739452236592,3.1908913627671724,3.0,3.677839731782706,0.2674925570382112,0.06665890472160814,0.0,1.0
YOUN,0.45672085691318043,0.49977381387969094,0.509090909090909,0.09040047331889914,3.1625411849909026,2.909090909090909,3.4507892956167754,0.25288834489060596,0.06169382371369399,0.0,1.0
AP_K2,0.46125133258804696,0.49713987760961603,0.5,0.0952890864074169,3.215780109465,3.0,3.7655723499779143,0.2642022885727575,0.07440198210844368,0.0,1.0
AP_K3,0.4580838117993737,0.5011367687658842,0.509090909090909,0.08933054555959494,3.156748626724581,2.909090909090909,3.4083648726912616,0.24525579752792367,0.060739755293358705,0.0,1.0
AP_KRP,0.45978657580833854,0.5003478277422562,0.509090909090909,0.09294230094060313,3.1684320793163763,2.909090909090909,3.5906400402585708,0.2628762693061005,0.06385243656155917,0.0,1.0
COND,0.8709457351412627,0.3868698022523271,0.3727272727272728,0.09249523035190176,4.0,4.0,4.0,1.0,1.0,1.0,7.0
