,AP_T05,AP_T07,AP_T0GE,BALD,BLAC,BORD,BUCK_I,BUCK_R,CAIR,COOM,COPE,HARE,KIMR,L4DV,L6DV,MJ,MMIN,NANS,PLU1,PLU2,RV,SCHU,STAR,VETO,WOOD,YOUN,AP_K2,AP_K3,AP_KRP,DODG_C,COND
AP_T05,0.0,16.666666,83.33333,16.666666,16.666666,16.666666,16.666666,12.5,16.666666,16.666666,16.666666,16.666666,16.666666,0.0,8.333333,25.0,16.666666,16.666666,8.333333,16.666666,16.666666,16.666666,16.666666,50.0,16.666666,16.666666,16.666666,16.666666,16.666666,16.666666,69.44444
AP_T07,16.666666,0.0,83.33333,16.666666,16.666666,16.666666,16.666666,29.166666,16.666666,16.666666,16.666666,16.666666,16.666666,16.666666,16.666666,25.0,16.666666,16.666666,8.333333,16.666666,16.666666,16.666666,16.666666,50.0,16.666666,16.666666,16.666666,33.333332,16.666666,16.666666,69.44444
AP_T0GE,83.33333,83.33333,0.0,83.33333,83.33333,83.33333,83.33333,81.94444,83.33333,83.33333,83.33333,83.33333,83.33333,83.33333,83.33333,83.33333,83.33333,83.33333,83.33333,83.33333,83.33333,83.33333,83.33333,83.33333,83.33333,83.33333,83.33333,80.55555,83.33333,83.33333,13.888888
BALD,16.666666,16.666666,83.33333,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,16.666666,16.666666,8.333333,0.0,0.0,8.333333,0.0,0.0,0.0,0.0,41.666668,0.0,0.0,0.0,16.666666,0.0,0.0,69.44444
BLAC,16.666666,16.666666,83.33333,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,16.666666,16.666666,8.333333,0.0,0.0,8.333333,0.0,0.0,0.0,0.0,41.666668,0.0,0.0,0.0,16.666666,0.0,0.0,69.44444
BORD,16.666666,16.666666,83.33333,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,16.666666,16.666666,8.333333,0.0,0.0,8.333333,0.0,0.0,0.0,0.0,41.666668,0.0,0.0,0.0,16.666666,0.0,0.0,69.44444
BUCK_I,16.666666,16.666666,83.33333,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,16.666666,16.666666,8.333333,0.0,0.0,8.333333,0.0,0.0,0.0,0.0,41.666668,0.0,0.0,0.0,16.666666,0.0,0.0,69.44444
BUCK_R,12.5,29.166666,81.94444,12.5,12.5,12.5,12.5,0.0,12.5,12.5,12.5,12.5,12.5,12.5,20.833334,12.5,12.5,12.5,20.833334,12.5,12.5,12.5,12.5,37.5,12.5,12.5,12.5,4.1666665,12.5,12.5,68.05555
CAIR,16.666666,16.666666,83.33333,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,16.666666,16.666666,8.333333,0.0,0.0,8.333333,0.0,0.0,0.0,0.0,41.666668,0.0,0.0,0.0,16.666666,0.0,0.0,69.44444
COOM,16.666666,16.666666,83.33333,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,16.666666,16.666666,8.333333,0.0,0.0,8.333333,0.0,0.0,0.0,0.0,41.666668,0.0,0.0,0.0,16.666666,0.0,0.0,69.44444
COPE,16.666666,16.666666,83.33333,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,16.666666,16.666666,8.333333,0.0,0.0,8.333333,0.0,0.0,0.0,0.0,41.666668,0.0,0.0,0.0,16.666666,0.0,0.0,69.44444
HARE,16.666666,16.666666,83.33333,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,16.666666,16.666666,8.333333,0.0,0.0,8.333333,0.0,0.0,0.0,0.0,41.666668,0.0,0.0,0.0,16.666666,0.0,0.0,69.44444
KIMR,16.666666,16.666666,83.33333,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,16.666666,16.666666,8.333333,0.0,0.0,8.333333,0.0,0.0,0.0,0.0,41.666668,0.0,0.0,0.0,16.666666,0.0,0.0,69.44444
L4DV,0.0,16.666666,83.33333,16.666666,16.666666,16.666666,16.666666,12.5,16.666666,16.666666,16.666666,16.666666,16.666666,0.0,8.333333,25.0,16.666666,16.666666,8.333333,16.666666,16.666666,16.666666,16.666666,50.0,16.666666,16.666666,16.666666,16.666666,16.666666,16.666666,69.44444
L6DV,8.333333,16.666666,83.33333,16.666666,16.666666,16.666666,16.666666,20.833334,16.666666,16.666666,16.666666,16.666666,16.666666,8.333333,0.0,25.0,16.666666,16.666666,8.333333,16.666666,16.666666,16.666666,16.666666,50.0,16.666666,16.666666,16.666666,25.0,16.666666,16.666666,69.44444
MJ,25.0,25.0,83.33333,8.333333,8.333333,8.333333,8.333333,12.5,8.333333,8.333333,8.333333,8.333333,8.333333,25.0,25.0,0.0,8.333333,8.333333,16.666666,8.333333,8.333333,8.333333,8.333333,33.333332,8.333333,8.333333,8.333333,16.666666,8.333333,8.333333,69.44444
MMIN,16.666666,16.666666,83.33333,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,16.666666,16.666666,8.333333,0.0,0.0,8.333333,0.0,0.0,0.0,0.0,41.666668,0.0,0.0,0.0,16.666666,0.0,0.0,69.44444
NANS,16.666666,16.666666,83.33333,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,16.666666,16.666666,8.333333,0.0,0.0,8.333333,0.0,0.0,0.0,0.0,41.666668,0.0,0.0,0.0,16.666666,0.0,0.0,69.44444
PLU1,8.333333,8.333333,83.33333,8.333333,8.333333,8.333333,8.333333,20.833334,8.333333,8.333333,8.333333,8.333333,8.333333,8.333333,8.333333,16.666666,8.333333,8.333333,0.0,8.333333,8.333333,8.333333,8.333333,50.0,8.333333,8.333333,8.333333,25.0,8.333333,8.333333,69.44444
PLU2,16.666666,16.666666,83.33333,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,16.666666,16.666666,8.333333,0.0,0.0,8.333333,0.0,0.0,0.0,0.0,41.666668,0.0,0.0,0.0,16.666666,0.0,0.0,69.44444
RV,16.666666,16.666666,83.33333,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,16.666666,16.666666,8.333333,0.0,0.0,8.333333,0.0,0.0,0.0,0.0,41.666668,0.0,0.0,0.0,16.666666,0.0,0.0,69.44444
SCHU,16.666666,16.666666,83.33333,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,16.666666,16.666666,8.333333,0.0,0.0,8.333333,0.0,0.0,0.0,0.0,41.666668,0.0,0.0,0.0,16.666666,0.0,0.0,69.44444
STAR,16.666666,16.666666,83.33333,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,16.666666,16.666666,8.333333,0.0,0.0,8.333333,0.0,0.0,0.0,0.0,41.666668,0.0,0.0,0.0,16.666666,0.0,0.0,69.44444
VETO,50.0,50.0,83.33333,41.666668,41.666668,41.666668,41.666668,37.5,41.666668,41.666668,41.666668,41.666668,41.666668,50.0,50.0,33.333332,41.666668,41.666668,50.0,41.666668,41.666668,41.666668,41.666668,0.0,41.666668,41.666668,41.666668,33.333332,41.666668,41.666668,69.44444
WOOD,16.666666,16.666666,83.33333,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,16.666666,16.666666,8.333333,0.0,0.0,8.333333,0.0,0.0,0.0,0.0,41.666668,0.0,0.0,0.0,16.666666,0.0,0.0,69.44444
YOUN,16.666666,16.666666,83.33333,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,16.666666,16.666666,8.333333,0.0,0.0,8.333333,0.0,0.0,0.0,0.0,41.666668,0.0,0.0,0.0,16.666666,0.0,0.0,69.44444
AP_K2,16.666666,16.666666,83.33333,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,16.666666,16.666666,8.333333,0.0,0.0,8.333333,0.0,0.0,0.0,0.0,41.666668,0.0,0.0,0.0,16.666666,0.0,0.0,69.44444
AP_K3,16.666666,33.333332,80.55555,16.666666,16.666666,16.666666,16.666666,4.1666665,16.666666,16.666666,16.666666,16.666666,16.666666,16.666666,25.0,16.666666,16.666666,16.666666,25.0,16.666666,16.666666,16.666666,16.666666,33.333332,16.666666,16.666666,16.666666,0.0,16.666666,16.666666,66.666664
AP_KRP,16.666666,16.666666,83.33333,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,16.666666,16.666666,8.333333,0.0,0.0,8.333333,0.0,0.0,0.0,0.0,41.666668,0.0,0.0,0.0,16.666666,0.0,0.0,69.44444
DODG_C,16.666666,16.666666,83.33333,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,16.666666,16.666666,8.333333,0.0,0.0,8.333333,0.0,0.0,0.0,0.0,41.666668,0.0,0.0,0.0,16.666666,0.0,0.0,69.44444
COND,69.44444,69.44444,13.888888,69.44444,69.44444,69.44444,69.44444,68.05555,69.44444,69.44444,69.44444,69.44444,69.44444,69.44444,69.44444,69.44444,69.44444,69.44444,69.44444,69.44444,69.44444,69.44444,69.44444,69.44444,69.44444,69.44444,69.44444,66.666664,69.44444,69.44444,0.0
