,AP_T05,AP_T07,AP_T0GE,BALD,BLAC,BORD,BUCK_I,BUCK_R,CAIR,COOM,COPE,HARE,KIMR,L4DV,L6DV,MJ,MMIN,NANS,PLU1,PLU2,RV,SCHU,STAR,VETO,WOOD,YOUN,AP_K2,AP_K3,AP_KRP,DODG_C,COND
AP_T05,0.0,27.272728,85.71429,36.363636,36.363636,36.363636,45.454544,36.363636,9.090909,45.454544,33.333332,9.090909,45.454544,27.272728,27.272728,27.272728,36.363636,36.363636,45.454544,9.090909,27.272728,36.363636,36.363636,54.545456,9.090909,36.363636,27.272728,36.363636,36.363636,36.363636,85.71429
AP_T07,27.272728,0.0,85.71429,45.454544,45.454544,45.454544,54.545456,45.454544,18.181818,54.545456,42.424244,18.181818,54.545456,36.363636,36.363636,36.363636,45.454544,45.454544,36.363636,18.181818,36.363636,45.454544,45.454544,81.818184,18.181818,45.454544,36.363636,45.454544,27.272728,45.454544,85.71429
AP_T0GE,85.71429,85.71429,0.0,85.71429,85.71429,85.71429,85.71429,85.71429,85.71429,85.71429,83.11688,85.71429,85.71429,85.71429,85.71429,85.71429,85.71429,85.71429,85.71429,85.71429,85.71429,85.71429,85.71429,85.71429,85.71429,85.71429,85.71429,85.71429,85.71429,87.012985,0.0
BALD,36.363636,45.454544,85.71429,0.0,9.090909,9.090909,9.090909,0.0,27.272728,9.090909,6.0606065,27.272728,9.090909,27.272728,27.272728,18.181818,0.0,0.0,54.545456,27.272728,18.181818,0.0,9.090909,54.545456,27.272728,9.090909,27.272728,0.0,27.272728,9.090909,85.71429
BLAC,36.363636,45.454544,85.71429,9.090909,0.0,0.0,18.181818,9.090909,27.272728,18.181818,6.0606065,27.272728,18.181818,18.181818,18.181818,9.090909,9.090909,9.090909,54.545456,27.272728,9.090909,9.090909,0.0,45.454544,27.272728,0.0,18.181818,9.090909,18.181818,9.090909,85.71429
BORD,36.363636,45.454544,85.71429,9.090909,0.0,0.0,18.181818,9.090909,27.272728,18.181818,6.0606065,27.272728,18.181818,18.181818,18.181818,9.090909,9.090909,9.090909,54.545456,27.272728,9.090909,9.090909,0.0,45.454544,27.272728,0.0,18.181818,9.090909,18.181818,9.090909,85.71429
BUCK_I,45.454544,54.545456,85.71429,9.090909,18.181818,18.181818,0.0,9.090909,36.363636,0.0,15.151516,36.363636,0.0,36.363636,36.363636,27.272728,9.090909,9.090909,63.636364,36.363636,27.272728,9.090909,18.181818,45.454544,36.363636,18.181818,36.363636,9.090909,36.363636,18.181818,85.71429
BUCK_R,36.363636,45.454544,85.71429,0.0,9.090909,9.090909,9.090909,0.0,27.272728,9.090909,6.0606065,27.272728,9.090909,27.272728,27.272728,18.181818,0.0,0.0,54.545456,27.272728,18.181818,0.0,9.090909,54.545456,27.272728,9.090909,27.272728,0.0,27.272728,9.090909,85.71429
CAIR,9.090909,18.181818,85.71429,27.272728,27.272728,27.272728,36.363636,27.272728,0.0,36.363636,24.242424,0.0,36.363636,18.181818,18.181818,18.181818,27.272728,27.272728,36.363636,0.0,18.181818,27.272728,27.272728,63.636364,0.0,27.272728,18.181818,27.272728,27.272728,27.272728,85.71429
COOM,45.454544,54.545456,85.71429,9.090909,18.181818,18.181818,0.0,9.090909,36.363636,0.0,15.151516,36.363636,0.0,36.363636,36.363636,27.272728,9.090909,9.090909,63.636364,36.363636,27.272728,9.090909,18.181818,45.454544,36.363636,18.181818,36.363636,9.090909,36.363636,18.181818,85.71429
COPE,33.333332,42.424244,83.11688,6.0606065,6.0606065,6.0606065,15.151516,6.0606065,24.242424,15.151516,0.0,24.242424,15.151516,24.242424,24.242424,15.151516,6.0606065,6.0606065,51.515152,24.242424,15.151516,6.0606065,6.0606065,51.515152,24.242424,6.0606065,24.242424,6.0606065,24.242424,9.090909,83.11688
HARE,9.090909,18.181818,85.71429,27.272728,27.272728,27.272728,36.363636,27.272728,0.0,36.363636,24.242424,0.0,36.363636,18.181818,18.181818,18.181818,27.272728,27.272728,36.363636,0.0,18.181818,27.272728,27.272728,63.636364,0.0,27.272728,18.181818,27.272728,27.272728,27.272728,85.71429
KIMR,45.454544,54.545456,85.71429,9.090909,18.181818,18.181818,0.0,9.090909,36.363636,0.0,15.151516,36.363636,0.0,36.363636,36.363636,27.272728,9.090909,9.090909,63.636364,36.363636,27.272728,9.090909,18.181818,45.454544,36.363636,18.181818,36.363636,9.090909,36.363636,18.181818,85.71429
L4DV,27.272728,36.363636,85.71429,27.272728,18.181818,18.181818,36.363636,27.272728,18.181818,36.363636,24.242424,18.181818,36.363636,0.0,0.0,18.181818,27.272728,27.272728,54.545456,18.181818,18.181818,27.272728,18.181818,45.454544,18.181818,18.181818,18.181818,27.272728,27.272728,27.272728,85.71429
L6DV,27.272728,36.363636,85.71429,27.272728,18.181818,18.181818,36.363636,27.272728,18.181818,36.363636,24.242424,18.181818,36.363636,0.0,0.0,18.181818,27.272728,27.272728,54.545456,18.181818,18.181818,27.272728,18.181818,45.454544,18.181818,18.181818,18.181818,27.272728,27.272728,27.272728,85.71429
MJ,27.272728,36.363636,85.71429,18.181818,9.090909,9.090909,27.272728,18.181818,18.181818,27.272728,15.151516,18.181818,27.272728,18.181818,18.181818,0.0,18.181818,18.181818,45.454544,18.181818,0.0,18.181818,9.090909,45.454544,18.181818,9.090909,9.090909,18.181818,9.090909,18.181818,85.71429
