rule,social_acceptability_mean,utility_mean_mean,utility_median_mean,utility_var_mean,rank_mean_mean,rank_median_mean,rank_var_mean,freq_first_mean,freq_last_mean,has_tie_mean,n_cowinners_mean
AP_T05,0.4598961378645437,0.5032306682218084,0.4897959183673469,0.09354589641507205,3.186002810949681,2.704081632653061,4.169167184610998,0.29869375577386215,0.07653155885687067,0.0,1.0
AP_T07,0.45787966579867356,0.5010239631401092,0.48163265306122444,0.09533264424597104,3.2108405675473066,2.7448979591836733,4.269532613027734,0.30240959130398576,0.08128569453069955,0.0,1.0
AP_T0GE,0.8211608190725763,0.3758419426362693,0.3612244897959184,0.08675573741299811,4.142857142857143,4.142857142857143,4.479591836734692,1.0,1.0,1.0,7.285714285714286
BALD,0.4572317987833673,0.5042714770768629,0.4918367346938775,0.09057425814498017,3.1643785615730313,2.7244897959183674,4.046106199411,0.29334773344658227,0.07172699421980391,0.0,1.0
BLAC,0.4571877840531042,0.504393251163924,0.4918367346938775,0.09034730709977061,3.1626326439392627,2.7244897959183674,4.039680787117807,0.29334773344658227,0.07138954795445379,0.0,1.0
BORD,0.45688583559748164,0.5045708679025255,0.4918367346938775,0.0898682106035027,3.1582810338435277,2.7448979591836733,3.9926497915747503,0.29032824889035763,0.07060803430460742,0.0,1.0
BUCK_I,0.4542347950840837,0.5028361272279103,0.49387755102040815,0.08928143125934786,3.172253835084477,2.7448979591836733,3.970540064687931,0.2872090764635353,0.07083625315007376,0.0,1.0
BUCK_R,0.4578274463513262,0.5035084213131625,0.49387755102040815,0.09055124864660276,3.1702186191066577,2.704081632653061,4.058688116981704,0.29746092182785827,0.07432574942701876,0.02040816326530612,1.0204081632653061
COOM,0.4472345491990588,0.4991507517047142,0.4897959183673469,0.08668067450080413,3.1850561919140357,2.7857142857142856,3.856932601211395,0.27780644956296136,0.0664897380701,0.0,1.0
COPE,0.4624402085311628,0.5041770899330765,0.4918367346938775,0.09065922146980608,3.165063235154901,2.7244897959183674,4.050180737344726,0.30091826705182884,0.07460262326365727,0.02040816326530612,1.0408163265306123
HARE,0.4584302350083322,0.5032832436169129,0.4918367346938775,0.0935762977131073,3.180110994370028,2.704081632653061,4.187468596830291,0.30059953368791076,0.07584051043571018,0.0,1.0
KIMR,0.4452958271332631,0.4980738902078262,0.48775510204081635,0.08612048494900477,3.186255876929727,2.826530612244898,3.7844376300143203,0.27269235262448716,0.06586846799048038,0.0,1.0
L4DV,0.4579260726922388,0.5041304277825396,0.4897959183673469,0.09183697788015538,3.172041730133524,2.7448979591836733,4.058172891349382,0.29339134326262,0.0737786522320381,0.0,1.0
L6DV,0.4558499590531854,0.5024626568010034,0.48163265306122444,0.09287413175800728,3.193965848542085,2.7653061224489797,4.143598654014736,0.29435086924674797,0.07771235958381391,0.0,1.0
MJ,0.4557011365540741,0.5036253674617222,0.49387755102040815,0.09084748737907762,3.168503953289856,2.704081632653061,4.081556836507854,0.2951935038716648,0.07213598408996182,0.0,1.0
MMIN,0.4572317987833673,0.5042714770768629,0.4918367346938775,0.09057425814498017,3.1643785615730313,2.7244897959183674,4.046106199411,0.29334773344658227,0.07172699421980391,0.0,1.0
NANS,0.4572317987833673,0.5042714770768629,0.4918367346938775,0.09057425814498017,3.1643785615730313,2.7244897959183674,4.046106199411,0.29334773344658227,0.07172699421980391,0.0,1.0
PLU1,0.4431296757629428,0.4912429385812054,0.4653061224489796,0.09818526384644305,3.3059871958921403,2.9081632653061225,4.61885667423676,0.31029563592803766,0.0910437136989139,0.0,1.0
PLU2,0.45773816007110174,0.5029693956802619,0.4897959183673469,0.09387140629032795,3.184311728291357,2.704081632653061,4.210526011886991,0.3009375237735349,0.07640382724508377,0.0,1.0
RV,0.45808666892632655,0.504584417463284,0.4918367346938775,0.0914213080125061,3.1624178297600998,2.7244897959183674,4.076725829644398,0.2955641021390206,0.07252848115846114,0.0,1.0
SCHU,0.4572317987833673,0.5042714770768629,0.4918367346938775,0.09057425814498017,3.1643785615730313,2.7244897959183674,4.046106199411,0.29334773344658227,0.07172699421980391,0.0,1.0
STAR,0.4571877840531042,0.504393251163924,0.4918367346938775,0.09034730709977061,3.1626326439392627,2.7244897959183674,4.039680787117807,0.29334773344658227,0.07138954795445379,0.0,1.0
VETO,0.4161353833506636,0.4806705972044083,0.4714285714285713,0.0789288596474739,3.31219560009268,3.0408163265306123,3.561868394044531,0.23832230470184454,0.060447864247809374,0.02040816326530612,1.0204081632653061
WOOD,0.4584302350083322,0.5032832436169129,0.4918367346938775,0.0935762977131073,3.180110994370028,2.704081632653061,4.187468596830291,0.30059953368791076,0.07584051043571018,0.0,1.0
YOUN,0.4571877840531042,0.504393251163924,0.4918367346938775,0.09034730709977061,3.1626326439392627,2.7244897959183674,4.039680787117807,0.29334773344658227,0.07138954795445379,0.0,1.0
AP_K2,0.4534250750552504,0.5001243933422208,0.48163265306122444,0.09454223377360788,3.221582960776887,2.7653061224489797,4.366319982994346,0.30378849278239356,0.07927941001323194,0.0,1.0
AP_K3,0.45956438442054187,0.5027692570112622,0.48979591836734687,0.08986860356146106,3.1674625777863503,2.7448979591836733,4.012815148978063,0.29515476226642556,0.0720179960375046,0.04081632653061224,1.0408163265306123
AP_KRP,0.4562782126157293,0.5035450651874277,0.49387755102040815,0.09144510270034076,3.1684612940857058,2.704081632653061,4.107153011275434,0.2993033994733146,0.07320525910708434,0.0,1.0
COND,0.7631307429273321,0.4115408896434634,0.3979591836734694,0.0855099156369919,3.8658475322675128,3.7653061224489797,4.2382750940672835,0.8840643839960194,0.8232301110782829,0.8163265306122449,6.081632653061225
