,AP_T05,AP_T07,AP_T0GE,BALD,BLAC,BORD,BUCK_I,BUCK_R,CAIR,COOM,COPE,HARE,KIMR,L4DV,L6DV,MJ,MMIN,NANS,PLU1,PLU2,RV,SCHU,STAR,VETO,WOOD,YOUN,AP_K2,AP_K3,AP_KRP,DODG_C,COND
AP_T05,0.0,12.244898,85.80661,14.285714,14.285714,16.32653,20.408163,13.265306,8.163265,24.489796,13.605442,8.163265,28.571428,8.163265,14.285714,14.285714,14.285714,14.285714,28.571428,10.204082,12.244898,14.285714,14.285714,51.02041,8.163265,14.285714,18.367348,16.32653,14.285714,14.285714,69.973274
AP_T07,12.244898,0.0,85.80661,18.367348,18.367348,20.408163,24.489796,21.428572,12.244898,28.571428,17.687075,12.244898,32.65306,16.32653,16.32653,18.367348,18.367348,18.367348,24.489796,14.285714,16.32653,18.367348,18.367348,57.142857,12.244898,18.367348,18.367348,24.489796,14.285714,18.367348,69.973274
AP_T0GE,85.80661,85.80661,0.0,85.80661,85.80661,85.80661,85.80661,85.46647,85.80661,85.80661,85.22352,85.80661,85.80661,85.80661,85.80661,85.80661,85.80661,85.80661,85.80661,85.80661,85.80661,85.80661,85.80661,85.551506,85.80661,85.80661,85.80661,85.126335,85.80661,86.09815,15.833333
BALD,14.285714,18.367348,85.80661,0.0,2.0408163,4.0816326,6.122449,7.142857,10.204082,10.204082,1.3605443,10.204082,14.285714,14.285714,18.367348,10.204082,0.0,0.0,30.612246,12.244898,8.163265,0.0,2.0408163,47.959183,10.204082,2.0408163,16.32653,10.204082,10.204082,2.0408163,69.973274
BLAC,14.285714,18.367348,85.80661,2.0408163,0.0,2.0408163,8.163265,9.183674,10.204082,12.244898,1.3605443,10.204082,16.32653,12.244898,16.32653,8.163265,2.0408163,2.0408163,30.612246,12.244898,6.122449,2.0408163,0.0,45.918365,10.204082,0.0,14.285714,12.244898,8.163265,2.0408163,69.973274
BORD,16.32653,20.408163,85.80661,4.0816326,2.0408163,0.0,10.204082,11.22449,12.244898,14.285714,3.4013608,12.244898,14.285714,10.204082,14.285714,10.204082,4.0816326,4.0816326,32.65306,14.285714,4.0816326,4.0816326,2.0408163,43.877552,12.244898,2.0408163,16.32653,10.204082,10.204082,4.0816326,69.973274
BUCK_I,20.408163,24.489796,85.80661,6.122449,8.163265,10.204082,0.0,9.183674,16.32653,4.0816326,7.482993,16.32653,8.163265,20.408163,24.489796,12.244898,6.122449,6.122449,36.734695,18.367348,14.285714,6.122449,8.163265,45.918365,16.32653,8.163265,22.44898,16.32653,12.244898,8.163265,69.973274
BUCK_R,13.265306,21.428572,85.46647,7.142857,9.183674,11.22449,9.183674,0.0,13.265306,13.265306,8.503402,13.265306,17.34694,13.265306,19.387754,7.142857,7.142857,7.142857,35.714287,15.306123,11.22449,7.142857,9.183674,47.959183,13.265306,9.183674,19.387754,7.142857,9.183674,9.183674,69.63314
CAIR,8.163265,12.244898,85.80661,10.204082,10.204082,12.244898,16.32653,13.265306,0.0,20.408163,9.523809,0.0,24.489796,12.244898,16.32653,10.204082,10.204082,10.204082,26.530613,2.0408163,8.163265,10.204082,10.204082,51.02041,0.0,10.204082,12.244898,16.32653,10.204082,10.204082,69.973274
COOM,24.489796,28.571428,85.80661,10.204082,12.244898,14.285714,4.0816326,13.265306,20.408163,0.0,11.564626,20.408163,4.0816326,24.489796,28.571428,16.32653,10.204082,10.204082,40.816326,22.44898,18.367348,10.204082,12.244898,41.836735,20.408163,12.244898,26.530613,16.32653,16.32653,12.244898,69.973274
COPE,13.605442,17.687075,85.22352,1.3605443,1.3605443,3.4013608,7.482993,8.503402,9.523809,11.564626,0.0,9.523809,15.646258,13.605442,17.687075,9.523809,1.3605443,1.3605443,29.931973,11.564626,7.482993,1.3605443,1.3605443,47.27891,9.523809,1.3605443,15.646258,11.564626,9.523809,2.0408163,69.39018
HARE,8.163265,12.244898,85.80661,10.204082,10.204082,12.244898,16.32653,13.265306,0.0,20.408163,9.523809,0.0,24.489796,12.244898,16.32653,10.204082,10.204082,10.204082,26.530613,2.0408163,8.163265,10.204082,10.204082,51.02041,0.0,10.204082,12.244898,16.32653,10.204082,10.204082,69.973274
KIMR,28.571428,32.65306,85.80661,14.285714,16.32653,14.285714,8.163265,17.34694,24.489796,4.0816326,15.646258,24.489796,0.0,24.489796,28.571428,20.408163,14.285714,14.285714,44.89796,26.530613,18.367348,14.285714,16.32653,41.836735,24.489796,16.32653,30.612246,16.32653,20.408163,16.32653,69.973274
L4DV,8.163265,16.32653,85.80661,14.285714,12.244898,10.204082,20.408163,13.265306,12.244898,24.489796,13.605442,12.244898,24.489796,0.0,6.122449,14.285714,14.285714,14.285714,32.65306,14.285714,8.163265,14.285714,12.244898,46.938774,12.244898,12.244898,18.367348,12.244898,14.285714,14.285714,69.973274
