,AP_T05,AP_T07,AP_T0GE,BALD,BLAC,BORD,BUCK_I,BUCK_R,CAIR,COOM,COPE,HARE,KIMR,L4DV,L6DV,MJ,MMIN,NANS,PLU1,PLU2,RV,SCHU,STAR,VETO,WOOD,YOUN,AP_K2,AP_K3,AP_KRP,DODG_C,COND
AP_T05,0.0,0.0,61.25,26.25,26.25,36.25,26.25,26.25,10.0,26.25,25.0,36.25,36.25,10.0,10.0,0.0,26.25,26.25,56.25,26.25,10.0,26.25,0.0,56.25,18.75,8.75,26.25,36.25,35.0,0.0,43.75
AP_T07,0.0,0.0,61.25,26.25,26.25,36.25,26.25,26.25,10.0,26.25,25.0,36.25,36.25,10.0,10.0,0.0,26.25,26.25,56.25,26.25,10.0,26.25,0.0,56.25,18.75,8.75,26.25,36.25,35.0,0.0,43.75
AP_T0GE,61.25,61.25,0.0,87.5,87.5,87.5,87.5,87.5,61.25,87.5,86.25,87.5,87.5,61.25,61.25,61.25,87.5,87.5,87.5,87.5,61.25,87.5,61.25,87.5,70.0,70.0,87.5,87.5,86.25,61.25,17.5
BALD,26.25,26.25,87.5,0.0,20.0,30.0,10.0,20.0,36.25,10.0,15.0,30.0,30.0,36.25,36.25,26.25,10.0,0.0,60.0,20.0,36.25,10.0,26.25,50.0,27.5,17.5,10.0,30.0,30.0,26.25,70.0
BLAC,26.25,26.25,87.5,20.0,0.0,10.0,10.0,10.0,36.25,20.0,15.0,30.0,40.0,36.25,36.25,26.25,10.0,20.0,50.0,20.0,36.25,10.0,26.25,60.0,27.5,17.5,20.0,20.0,35.0,26.25,70.0
BORD,36.25,36.25,87.5,30.0,10.0,0.0,20.0,20.0,46.25,30.0,25.0,40.0,30.0,26.25,26.25,36.25,20.0,30.0,60.0,30.0,26.25,20.0,36.25,50.0,37.5,27.5,30.0,10.0,25.0,36.25,70.0
BUCK_I,26.25,26.25,87.5,10.0,10.0,20.0,0.0,20.0,36.25,10.0,15.0,30.0,30.0,36.25,36.25,26.25,0.0,10.0,60.0,30.0,36.25,0.0,26.25,50.0,27.5,17.5,20.0,30.0,25.0,26.25,70.0
BUCK_R,26.25,26.25,87.5,20.0,10.0,20.0,20.0,0.0,36.25,20.0,5.0,20.0,40.0,36.25,36.25,26.25,20.0,20.0,50.0,20.0,36.25,20.0,26.25,60.0,27.5,17.5,20.0,20.0,35.0,26.25,70.0
CAIR,10.0,10.0,61.25,36.25,36.25,46.25,36.25,36.25,0.0,36.25,35.0,26.25,46.25,20.0,20.0,10.0,36.25,36.25,46.25,36.25,20.0,36.25,10.0,66.25,8.75,18.75,36.25,46.25,45.0,10.0,43.75
COOM,26.25,26.25,87.5,10.0,20.0,30.0,10.0,20.0,36.25,0.0,15.0,30.0,20.0,36.25,36.25,26.25,10.0,10.0,60.0,30.0,36.25,10.0,26.25,50.0,27.5,17.5,20.0,30.0,30.0,26.25,70.0
COPE,25.0,25.0,86.25,15.0,15.0,25.0,15.0,5.0,35.0,15.0,0.0,20.0,35.0,35.0,35.0,25.0,15.0,15.0,55.0,25.0,35.0,15.0,25.0,55.0,26.25,16.25,20.0,25.0,30.0,25.0,68.75
HARE,36.25,36.25,87.5,30.0,30.0,40.0,30.0,20.0,26.25,30.0,20.0,0.0,50.0,46.25,46.25,36.25,30.0,30.0,50.0,40.0,46.25,30.0,36.25,70.0,17.5,27.5,30.0,40.0,45.0,36.25,70.0
KIMR,36.25,36.25,87.5,30.0,40.0,30.0,30.0,40.0,46.25,20.0,35.0,50.0,0.0,26.25,26.25,36.25,30.0,30.0,70.0,40.0,26.25,30.0,36.25,40.0,47.5,37.5,40.0,30.0,20.0,36.25,70.0
L4DV,10.0,10.0,61.25,36.25,36.25,26.25,36.25,36.25,20.0,36.25,35.0,46.25,26.25,0.0,0.0,10.0,36.25,36.25,66.25,36.25,0.0,36.25,10.0,46.25,28.75,18.75,36.25,26.25,25.0,10.0,43.75
L6DV,10.0,10.0,61.25,36.25,36.25,26.25,36.25,36.25,20.0,36.25,35.0,46.25,26.25,0.0,0.0,10.0,36.25,36.25,66.25,36.25,0.0,36.25,10.0,46.25,28.75,18.75,36.25,26.25,25.0,10.0,43.75
MJ,0.0,0.0,61.25,26.25,26.25,36.25,26.25,26.25,10.0,26.25,25.0,36.25,36.25,10.0,10.0,0.0,26.25,26.25,56.25,26.25,10.0,26.25,0.0,56.25,18.75,8.75,26.25,36.25,35.0,0.0,43.75
MMIN,26.25,26.25,87.5,10.0,10.0,20.0,0.0,20.0,36.25,10.0,15.0,30.0,30.0,36.25,36.25,26.25,0.0,10.0,60.0,30.0,36.25,0.0,26.25,50.0,27.5,17.5,20.0,30.0,25.0,26.25,70.0
NANS,26.25,26.25,87.5,0.0,20.0,30.0,10.0,20.0,36.25,10.0,15.0,30.0,30.0,36.25,36.25,26.25,10.0,0.0,60.0,20.0,36.25,10.0,26.25,50.0,27.5,17.5,10.0,30.0,30.0,26.25,70.0
PLU1,56.25,56.25,87.5,60.0,50.0,60.0,60.0,50.0,46.25,60.0,55.0,50.0,70.0,66.25,66.25,56.25,60.0,60.0,0.0,50.0,66.25,60.0,56.25,80.0,47.5,57.5,60.0,50.0,60.0,56.25,70.0
PLU2,26.25,26.25,87.5,20.0,20.0,30.0,30.0,20.0,36.25,30.0,25.0,40.0,40.0,36.25,36.25,26.25,30.0,20.0,50.0,0.0,36.25,30.0,26.25,60.0,37.5,27.5,20.0,30.0,40.0,26.25,70.0
RV,10.0,10.0,61.25,36.25,36.25,26.25,36.25,36.25,20.0,36.25,35.0,46.25,26.25,0.0,0.0,10.0,36.25,36.25,66.25,36.25,0.0,36.25,10.0,46.25,28.75,18.75,36.25,26.25,25.0,10.0,43.75
SCHU,26.25,26.25,87.5,10.0,10.0,20.0,0.0,20.0,36.25,10.0,15.0,30.0,30.0,36.25,36.25,26.25,0.0,10.0,60.0,30.0,36.25,0.0,26.25,50.0,27.5,17.5,20.0,30.0,25.0,26.25,70.0
STAR,0.0,0.0,61.25,26.25,26.25,36.25,26.25,26.25,10.0,26.25,25.0,36.25,36.25,10.0,10.0,0.0,26.25,26.25,56.25,26.25,10.0,26.25,0.0,56.25,18.75,8.75,26.25,36.25,35.0,0.0,43.75
VETO,56.25,56.25,87.5,50.0,60.0,50.0,50.0,60.0,66.25,50.0,55.0,70.0,40.0,46.25,46.25,56.25,50.0,50.0,80.0,60.0,46.25,50.0,56.25,0.0,67.5,57.5,60.0,50.0,40.0,56.25,70.0
