,AP_T05,AP_T07,AP_T0GE,BALD,BLAC,BORD,BUCK_I,BUCK_R,CAIR,COOM,COPE,HARE,KIMR,L4DV,L6DV,MJ,MMIN,NANS,PLU1,PLU2,RV,SCHU,STAR,VETO,WOOD,YOUN,AP_K2,AP_K3,AP_KRP,DODG_C,COND
RV,16.666666,16.666666,69.44444,13.888888,13.888888,13.888888,13.888888,22.222221,0.0,13.888888,13.888888,13.888888,13.888888,16.666666,16.666666,8.333333,13.888888,13.888888,30.555555,13.888888,0.0,13.888888,0.0,47.22222,13.888888,13.888888,13.888888,30.555555,22.222221,0.0,55.555553
SCHU,30.555555,30.555555,83.33333,0.0,0.0,0.0,0.0,8.333333,13.888888,0.0,0.0,0.0,0.0,30.555555,30.555555,22.222221,0.0,0.0,33.333332,8.333333,13.888888,0.0,13.888888,41.666668,0.0,0.0,16.666666,16.666666,16.666666,13.888888,69.44444
STAR,16.666666,16.666666,69.44444,13.888888,13.888888,13.888888,13.888888,22.222221,0.0,13.888888,13.888888,13.888888,13.888888,16.666666,16.666666,8.333333,13.888888,13.888888,30.555555,13.888888,0.0,13.888888,0.0,47.22222,13.888888,13.888888,13.888888,30.555555,22.222221,0.0,55.555553
VETO,55.555553,55.555553,83.33333,41.666668,41.666668,41.666668,41.666668,33.333332,47.22222,41.666668,41.666668,41.666668,41.666668,55.555553,55.555553,38.88889,41.666668,41.666668,58.333332,50.0,47.22222,41.666668,47.22222,0.0,41.666668,41.666668,41.666668,25.0,58.333332,47.22222,69.44444
WOOD,30.555555,30.555555,83.33333,0.0,0.0,0.0,0.0,8.333333,13.888888,0.0,0.0,0.0,0.0,30.555555,30.555555,22.222221,0.0,0.0,33.333332,8.333333,13.888888,0.0,13.888888,41.666668,0.0,0.0,16.666666,16.666666,16.666666,13.888888,69.44444
YOUN,30.555555,30.555555,83.33333,0.0,0.0,0.0,0.0,8.333333,13.888888,0.0,0.0,0.0,0.0,30.555555,30.555555,22.222221,0.0,0.0,33.333332,8.333333,13.888888,0.0,13.888888,41.666668,0.0,0.0,16.666666,16.666666,16.666666,13.888888,69.44444
AP_K2,30.555555,30.555555,83.33333,16.666666,16.666666,16.666666,16.666666,25.0,13.888888,16.666666,16.666666,16.666666,16.666666,30.555555,30.555555,22.222221,16.666666,16.666666,25.0,16.666666,13.888888,16.666666,13.888888,41.666668,16.666666,16.666666,0.0,33.333332,25.0,13.888888,69.44444
AP_K3,47.22222,47.22222,83.33333,16.666666,16.666666,16.666666,16.666666,8.333333,30.555555,16.666666,16.666666,16.666666,16.666666,47.22222,47.22222,22.222221,16.666666,16.666666,41.666668,25.0,30.555555,16.666666,30.555555,25.0,16.666666,16.666666,33.333332,0.0,33.333332,30.555555,69.44444
AP_KRP,22.222221,22.222221,83.33333,16.666666,16.666666,16.666666,16.666666,25.0,22.222221,16.666666,16.666666,16.666666,16.666666,22.222221,22.222221,30.555555,16.666666,16.666666,25.0,16.666666,22.222221,16.666666,22.222221,58.333332,16.666666,16.666666,25.0,33.333332,0.0,22.222221,69.44444
DODG_C,16.666666,16.666666,69.44444,13.888888,13.888888,13.888888,13.888888,22.222221,0.0,13.888888,13.888888,13.888888,13.888888,16.666666,16.666666,8.333333,13.888888,13.888888,30.555555,13.888888,0.0,13.888888,0.0,47.22222,13.888888,13.888888,13.888888,30.555555,22.222221,0.0,55.555553
COND,55.555553,55.555553,13.888888,69.44444,69.44444,69.44444,69.44444,69.44444,55.555553,69.44444,69.44444,69.44444,69.44444,55.555553,55.555553,55.555553,69.44444,69.44444,69.44444,69.44444,55.555553,69.44444,55.555553,69.44444,69.44444,69.44444,69.44444,69.44444,69.44444,55.555553,0.0
